Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.08300	17.82196	0.0372
0.08300	17.82280	0.0433
0.08298	17.82196	0.0402
0.08295	17.81812	0.0403
0.08291	17.81269	0.0463
0.08308	17.80934	0.0372
0.08307	17.80655	0.0402
0.08309	17.80606	0.0463
0.08302	17.80613	0.0433
0.08304	17.80648	0.0402
0.08302	17.80662	0.0402
0.08300	17.80690	0.0463
0.08302	17.80718	0.0432
0.08300	17.80753	0.0432
0.08302	17.80767	0.0402
0.08300	17.80829	0.0402
0.08297	17.80843	0.0401
0.08297	17.80857	0.0432
0.08300	17.80878	0.0463
0.08297	17.80892	0.0432
0.08295	17.80913	0.0492
0.08297	17.80906	0.0432
0.08295	17.80955	0.0463
0.08291	17.80983	0.0432
0.08295	17.80892	0.0462
0.08313	17.80516	0.0462
0.08305	17.80237	0.0401
0.08303	17.80195	0.0402
0.08301	17.80223	0.0401
0.08298	17.80258	0.0431
0.08301	17.80237	0.0462
0.08298	17.80209	0.0401
0.08298	17.80111	0.0432
0.08302	17.80000	0.0400
0.08299	17.79561	0.0432
0.08306	17.79059	0.0461
0.08310	17.78892	0.0431
0.08307	17.78948	0.0492
0.08305	17.79017	0.0432
0.08306	17.79052	0.0432
0.08305	17.79080	0.0432
0.08303	17.79143	0.0523
0.08299	17.79198	0.0463
0.08303	17.79289	0.0401
0.08304	17.79366	0.0432
0.08309	17.79414	0.0462
0.08302	17.79463	0.0462
0.08309	17.79547	0.0462
0.08311	17.79561	0.0432
0.08309	17.79589	0.0492
0.08311	17.79672	0.0522
0.08309	17.79672	0.0431
0.08306	17.79498	0.0492
0.08309	17.79414	0.0432
0.08316	17.79421	0.0462
0.08304	17.79428	0.0402
0.08306	17.79394	0.0431
0.08309	17.79324	0.0401
0.08310	17.79184	0.0523
0.08306	17.79024	0.0493
0.08320	17.78927	0.0492
0.08317	17.78920	0.0461
0.08310	17.79010	0.0401
0.08312	17.79010	0.0462
0.08311	17.78188	0.0431
0.08309	17.77304	0.0431
0.08314	17.76398	0.0432
0.08314	17.74470	0.0553
0.08385	17.29904	0.0674
0.08531	16.44500	0.0613
0.08645	15.80734	0.0583
0.08720	15.37066	0.0673
0.08779	15.03200	0.0674
0.08823	14.82304	0.0643
0.08837	14.72576	0.0613
0.08845	14.67371	0.0704
0.08856	14.62454	0.0734
0.08984	14.56351	0.0765
0.09029	14.45263	0.0826
0.09174	14.36223	0.0734
1.50400	14.28785	0.0976
14.18888	14.18405	0.1764
29.41161	14.08362	0.2854
29.34232	14.02226	0.4157
29.40375	13.94878	0.5762
29.50071	13.86854	0.7216
29.67993	13.80400	0.7973
29.82618	13.76192	0.8154
29.91126	13.73202	0.8155
29.92694	13.71040	0.8094
29.92815	13.69120	0.8063
29.95148	13.67430	0.8004
29.98486	13.66576	0.7943
30.02703	13.66372	0.8064
30.09814	13.66743	0.8094
30.17623	13.68179	0.8064
30.15920	13.70693	0.8094
30.11102	13.72180	0.8215
30.02561	13.71746	0.8246
29.96183	13.70185	0.8307
