Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.05714	18.72940	0.0433
0.05712	18.73291	0.0525
0.05708	18.73527	0.0495
0.05708	18.73649	0.0464
0.05698	18.73828	0.0403
0.05703	18.74251	0.0434
0.05699	18.74617	0.0494
0.05703	18.74409	0.0403
0.05700	18.73377	0.0524
0.05699	18.72682	0.0524
0.05696	18.72911	0.0554
0.05699	18.73434	0.0434
0.05692	18.73878	0.0524
0.05690	18.74058	0.0494
0.05690	18.73907	0.0464
0.05688	18.72861	0.0464
0.05692	18.72015	0.0524
0.05694	18.71836	0.0463
0.05701	18.71421	0.0494
0.05691	18.70024	0.0463
0.05694	18.69380	0.0464
0.05692	18.68836	0.0524
0.05692	18.66854	0.0493
0.05695	18.63887	0.0432
0.05689	18.62587	0.0463
0.05691	18.62651	0.0494
0.05684	18.62837	0.0554
0.05691	18.62423	0.0524
0.05690	18.61951	0.0524
0.05687	18.61273	0.0494
0.05687	18.59724	0.0524
0.05690	18.58982	0.0524
0.05685	18.58818	0.0494
0.05685	18.58639	0.0494
0.05685	18.58382	0.0523
0.05681	18.57797	0.0493
0.05681	18.57419	0.0493
0.05676	18.57805	0.0524
0.05675	18.58511	0.0554
0.05675	18.58910	0.0463
0.05671	18.59324	0.0493
0.05664	18.60216	0.0554
6.82717	18.40934	0.1099
17.16583	17.01257	0.2038
25.88104	15.70904	0.3007
26.47073	14.78318	0.4279
26.97960	14.11807	0.5309
27.36992	13.68606	0.6309
27.62274	13.44167	0.7278
27.79431	13.29936	0.8217
28.10909	13.21102	0.8641
28.19408	13.16785	0.8822
28.26853	13.17512	0.8853
28.32327	13.20998	0.8883
28.29660	13.25596	0.8822
28.22863	13.28019	0.8913
28.18783	13.25944	0.8853
28.19580	13.20650	0.8913
28.23132	13.15852	0.8944
28.22845	13.12918	0.8822
28.16480	13.10371	0.8732
28.12933	13.07844	0.8701
28.12009	13.05939	0.8792
28.14303	13.04784	0.8853
28.19667	13.04175	0.9004
28.25432	13.04467	0.9004
28.26080	13.04133	0.8944
28.18435	13.01476	0.8883
28.18765	12.98445	0.8853
28.18745	12.96424	0.8822
28.16984	12.95599	0.8883
28.16965	12.95101	0.9004
28.21217	12.95029	0.9065
28.27976	12.95981	0.8975
28.29886	12.98087	0.8883
28.30245	12.98980	0.8732
28.18193	12.97547	0.8793
28.17630	12.95575	0.8944
28.20110	12.94580	0.9065
28.32037	12.94992	0.9065
28.52602	12.97856	0.8974
28.56930	13.00231	0.8823
28.33881	12.99964	0.8610
28.15699	12.97978	0.8671
28.10074	12.95047	0.8883
28.12777	12.95217	0.9095
