Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
2.00017	17.00617	0.0596
1.91789	17.00495	0.0565
1.81225	17.00399	0.0535
1.73076	17.00345	0.0535
1.66099	17.00215	0.0535
1.59407	17.00072	0.0535
1.53493	16.99909	0.0504
1.49320	16.99712	0.0565
1.47907	16.99507	0.0505
1.55533	16.99310	0.0474
1.66830	16.99140	0.0535
1.70334	16.99004	0.0535
1.69792	16.98861	0.0564
1.68275	16.98732	0.0535
1.63539	16.98616	0.0534
1.56248	16.98541	0.0565
1.51242	16.98446	0.0505
1.47895	16.98371	0.0565
1.47983	16.98330	0.0565
1.57624	16.98276	0.0535
1.81790	16.98221	0.0535
1.91261	16.98215	0.0564
1.93025	16.98174	0.0534
1.99349	16.98174	0.0535
1.89427	16.98146	0.0504
1.74818	16.98140	0.0595
1.62738	16.98167	0.0565
1.52033	16.98174	0.0535
1.49907	16.98208	0.0534
1.71211	16.98242	0.0504
1.84478	16.98289	0.0564
1.82369	16.98371	0.0565
1.82233	16.98439	0.0565
1.68924	16.98500	0.0595
1.64254	16.98541	0.0535
1.56388	16.98514	0.0534
1.50873	16.98371	0.0474
1.40603	16.98126	0.0473
1.34906	16.97929	0.0504
1.28000	16.97786	0.0535
1.23695	16.97684	0.0474
1.25016	16.97629	0.0504
1.25008	16.97609	0.0474
1.22583	16.97609	0.0504
1.18920	16.97575	0.0474
1.16309	16.97541	0.0505
1.12522	16.97473	0.0474
1.14303	16.97419	0.0444
1.09405	16.97317	0.0535
1.09255	16.97194	0.0444
1.08593	16.97099	0.0474
1.08914	16.97024	0.0535
1.09696	16.96942	0.0474
1.29358	16.96827	0.0504
1.56876	16.96351	0.0565
1.72529	16.40624	0.0959
10.19401	15.23755	0.1110
15.44244	14.37996	0.1504
26.89356	13.70049	0.2443
27.14020	13.18195	0.3715
27.34310	12.76527	0.5320
27.55313	12.42755	0.6652
28.01370	12.19616	0.7410
28.23740	12.06822	0.7440
28.35572	12.00267	0.7349
28.39779	11.99522	0.7259
28.40398	11.98394	0.7259
28.35245	11.96935	0.7380
28.29491	11.94308	0.7895
28.16570	11.90433	0.8834
28.50534	11.87710	0.9349
28.54643	11.91989	0.9379
28.46290	12.04625	0.9379
28.22820	12.13026	0.9288
28.08557	12.10447	0.9470
28.07411	12.02549	0.9561
28.12258	11.95276	0.9743
28.15477	11.89584	0.9834
28.17056	11.84966	0.9955
28.15914	11.80443	1.0106
28.15738	11.76189	1.0197
28.16179	11.72368	1.0227
28.16640	11.69477	1.0166
28.16982	11.67613	0.9985
28.16561	11.66125	0.9834
28.16773	11.64867	0.9713
28.16637	11.63942	0.9561
28.16461	11.63433	0.9531
28.17839	11.63503	0.9531
28.20529	11.64117	0.9591
28.24061	11.65171	0.9652
28.27710	11.66120	0.9652
28.26807	11.66243	0.9683
28.22085	11.65452	0.9713
28.22071	11.64445	0.9743
28.24111	11.63661	0.9835
28.25455	11.63140	0.9864
28.22568	11.62496	0.9894
28.19905	11.61718	0.9925
28.19323	11.61151	0.9955
28.19547	11.60935	1.0016
28.20819	11.60987	1.0107
28.22873	11.61385	1.0047
28.24825	11.61847	0.9955
28.19941	11.61671	0.9804
28.15909	11.61016	0.9744
28.16016	11.60402	0.9622
28.17468	11.60139	0.9562
28.18719	11.60338	0.9531
28.18714	11.60543	0.9501
28.18109	11.60432	0.9531
28.19068	11.60391	0.9622
28.20581	11.60513	0.9804
28.20452	11.60525	0.9895
28.19027	11.60285	0.9925
28.19160	11.60110	1.0016
28.20203	11.60110	1.0017
28.20622	11.59993	1.0016
28.19113	11.59660	0.9956
28.17759	11.59280	0.9986
28.17543	11.58783	0.9895
28.17588	11.57936	0.9744
28.16997	11.56796	0.9623
28.15144	11.55669	0.9623
28.15135	11.54852	0.9563
28.19162	11.54729	0.9563
28.36619	11.56049	0.9593
28.56930	11.60005	0.9624
28.72650	11.61765	0.9654
28.86446	11.66301	0.9654
28.69230	11.83242	0.9745
28.41703	12.07965	0.9865
28.21077	12.29612	0.9957
28.07782	12.44172	0.9957
27.95706	12.51609	1.0139
27.88456	12.53042	1.0017
27.87110	12.50590	1.0108
27.93345	12.49002	1.0018
27.97604	12.45817	0.9927
28.00066	12.43508	0.9805
28.01436	12.42946	0.9715
28.02851	12.42521	0.9685
28.02775	12.43424	0.9533
28.01312	12.45231	0.9413
28.00458	12.47170	0.9442
28.01456	12.48104	0.9534
28.02705	12.48290	0.9564
