Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.08563	16.63555	0.0139
0.08568	16.63488	0.0109
0.08563	16.63488	0.0199
0.08563	16.63468	0.0108
0.08558	16.63414	0.0108
0.08552	16.63400	0.0169
0.08563	16.63380	0.0108
0.08619	16.63360	0.0138
0.08620	16.63346	0.0108
0.08614	16.63279	0.0168
0.08608	16.63259	0.0138
0.08608	16.63232	0.0199
0.08603	16.63225	0.0108
0.08603	16.63192	0.0108
0.08598	16.63165	0.0108
0.08600	16.63171	0.0139
0.08603	16.63151	0.0168
0.08600	16.63111	0.0168
0.08603	16.63104	0.0168
0.08603	16.63084	0.0138
0.08603	16.63057	0.0107
0.08600	16.63043	0.0169
0.08598	16.63030	0.0108
0.08595	16.63030	0.0077
0.08593	16.62989	0.0078
0.08593	16.62956	0.0138
0.08600	16.62956	0.0108
0.08588	16.62942	0.0108
0.08586	16.62929	0.0168
0.08583	16.62922	0.0138
0.08581	16.62902	0.0108
0.08579	16.62902	0.0078
0.08578	16.62875	0.0107
0.08579	16.62868	0.0108
0.08572	16.62841	0.0138
0.08574	16.62835	0.0168
0.08573	16.62781	0.0138
0.08574	16.62781	0.0169
0.08567	16.62794	0.0078
0.08564	16.62761	0.0138
0.08564	16.62740	0.0078
0.08550	16.62707	0.0168
0.08559	16.62686	0.0138
0.08555	16.62666	0.0108
0.08554	16.62653	0.0169
0.08555	16.62612	0.0169
0.08548	16.62606	0.0168
0.08550	16.62592	0.0169
0.08548	16.62599	0.0108
0.08542	16.62559	0.0138
0.08538	16.62538	0.0135
0.08550	16.62545	0.0138
0.08543	16.62505	0.0108
0.08533	16.62478	0.0017
0.08536	16.62498	0.0200
0.08533	16.62451	0.0139
0.08528	16.62464	0.0108
0.08538	16.62410	0.0078
0.08542	16.62410	0.0109
0.08538	16.62390	0.0139
0.08537	16.62383	0.0169
0.08533	16.62357	0.0168
0.08528	16.62383	0.0138
0.08533	16.62330	0.0199
0.08533	16.62309	0.0139
0.08528	16.62282	0.0108
0.08533	16.62282	0.0138
0.08528	16.62249	0.0138
0.08523	16.62242	0.0139
0.08537	16.62222	0.0169
0.08533	16.62242	0.0138
0.08533	16.62215	0.0108
0.08539	16.62168	0.0139
0.08528	16.62141	0.0139
0.08528	16.62148	0.0108
0.08514	16.62087	0.0169
