Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.06335	13.47163	0.0043
0.06331	13.47132	0.0013
0.06331	13.47156	0.0073
0.06328	13.47175	0.0043
0.06331	13.47175	0.0012
0.06324	13.47200	0.0012
0.06326	13.47193	0.0073
0.06328	13.47193	0.0012
0.06331	13.47181	0.0072
0.06333	13.47212	0.0041
0.06337	13.47280	0.0043
0.06331	13.47273	0.0072
0.06328	13.47255	0.0012
0.06320	13.47267	0.0043
0.06318	13.47329	0.0042
0.06309	13.47366	0.0011
0.06305	13.47366	0.0041
0.06300	13.47366	0.0071
0.06300	13.47366	0.0072
0.06331	13.47335	0.0042
0.06354	13.47316	0.0011
0.06363	13.47335	0.0042
0.06365	13.47335	0.0041
0.06363	13.47341	0.0071
0.06359	13.47335	0.0042
0.06363	13.47341	0.0011
0.06365	13.47347	0.0101
0.06366	13.47360	0.0071
0.06368	13.47360	0.0040
0.06365	13.47403	0.0011
0.06363	13.47384	0.0040
0.06365	13.47403	-0.0020
0.06363	13.47421	0.0042
0.06365	13.47433	0.0041
0.06366	13.47446	0.0010
0.06364	13.47464	0.0071
0.06366	13.47483	0.0071
0.06364	13.47483	0.0132
0.06364	13.47513	0.0041
0.06363	13.47532	0.0071
0.06364	13.47550	0.0040
0.06363	13.47550	-0.0020
0.06364	13.47569	0.0010
0.06366	13.47587	0.0041
0.06364	13.47612	0.0010
0.06364	13.47612	0.0071
0.06362	13.47612	0.0010
0.06359	13.47630	0.0071
0.06362	13.47649	0.0010
0.06364	13.47661	0.0101
0.06357	13.47673	0.0040
0.06364	13.47686	0.0070
0.06357	13.47704	0.0071
0.06364	13.47710	0.0010
0.06359	13.47723	0.0041
0.06366	13.47729	-0.0020
0.06364	13.47747	0.0071
0.06362	13.47741	0.0072
0.06364	13.47784	0.0071
0.06362	13.47815	0.0042
0.06358	13.47846	0.0011
0.06357	13.47883	0.0102
0.06353	13.47926	0.0010
0.06347	13.47901	0.0071
0.06351	13.47938	-0.0021
0.06353	13.47938	0.0010
0.06351	13.47944	0.0010
0.06353	13.47920	0.0041
0.06351	13.47944	0.0039
0.06347	13.47950	0.0010
0.06351	13.47981	0.0011
0.06347	13.47987	0.0042
0.06353	13.48012	0.0041
0.06351	13.48018	0.0071
0.06347	13.48043	0.0100
0.06351	13.48055	0.0071
0.06347	13.48092	0.0071
0.06347	13.48110	0.0071
0.06353	13.48110	0.0041
0.06347	13.48135	0.0071
0.06347	13.48147	0.0042
0.06341	13.48172	0.0010
0.06347	13.48172	0.0071
0.06347	13.48160	0.0010
0.06341	13.48190	0.0010
0.06341	13.48197	0.0038
0.06347	13.48203	0.0071
0.06347	13.48227	0.0042
0.06347	13.48221	0.0040
0.06347	13.48252	0.0071
0.06341	13.48252	0.0041
0.06341	13.48264	0.0101
0.06341	13.48271	0.0071
0.06341	13.48277	0.0040
0.06341	13.48283	0.0010
0.06341	13.48307	0.0101
0.06341	13.48314	0.0040
0.06336	13.48314	-0.0050
0.06341	13.48351	0.0041
0.06336	13.48357	0.0041
0.06341	13.48394	0.0071
0.06341	13.48381	0.0131
0.06337	13.48406	0.0040
0.06341	13.48400	0.0010
0.06341	13.48418	0.0071
0.06341	13.48418	0.0071
0.06335	13.48431	0.0071
0.06341	13.48449	0.0040
0.06341	13.48437	0.0071
0.06341	13.48443	0.0010
0.06335	13.48455	0.0071
0.06337	13.48443	0.0071
0.06335	13.48443	0.0041
0.06332	13.48455	0.0041
0.06335	13.48455	0.0011
0.06335	13.48474	0.0041
0.06337	13.48467	0.0102
0.06330	13.48504	0.0010
0.06337	13.48517	0.0041
0.06335	13.48529	0.0071
0.06337	13.48541	0.0101
0.06335	13.48554	0.0071
0.06337	13.48554	0.0011
0.06335	13.48578	0.0101
0.06335	13.48584	0.0011
0.06337	13.48609	0.0041
0.06335	13.48615	0.0071
0.06332	13.48621	0.0070
0.06330	13.48634	0.0071
0.06331	13.48652	0.0071
0.06335	13.48665	0.0071
0.06335	13.48677	0.0071
0.06331	13.48695	0.0040
0.06330	13.48701	0.0041
0.06331	13.48738	0.0040
0.06330	13.48745	0.0041
0.06331	13.48751	0.0071
0.06329	13.48775	0.0040
0.06326	13.48806	0.0071
0.06329	13.48806	0.0041
0.06324	13.48843	0.0041
0.06326	13.48837	0.0072
0.06329	13.48837	0.0041
0.06326	13.48892	0.0041
0.06324	13.48886	0.0041
0.06326	13.48905	0.0042
0.06324	13.48898	-0.0019
0.06326	13.48911	0.0041
0.06324	13.48929	0.0010
0.06324	13.48942	0.0071
0.06326	13.48935	0.0071
0.06318	13.48917	0.0102
0.06326	13.48923	0.0071
0.06324	13.48935	0.0041
0.06331	13.48942	0.0010
0.06324	13.48923	0.0071
0.06316	13.48942	0.0041
0.06318	13.48929	0.0101
0.06318	13.48837	0.0071
0.06322	13.48751	0.0072
0.06324	13.48732	0.0041
0.06322	13.48732	0.0161
0.06318	13.48775	0.0071
0.06322	13.48788	0.0011
0.06324	13.48818	0.0102
0.06322	13.48837	0.0101
0.06318	13.48849	0.0102
0.06318	13.48855	0.0072
0.06322	13.48898	0.0102
0.06318	13.48923	0.0072
0.06316	13.48929	0.0071
0.06324	13.48960	0.0103
0.06337	13.48979	0.0042
0.06340	13.49028	0.0071
0.06346	13.49083	0.0041
0.06346	13.49095	0.0101
0.06351	13.49089	0.0071
0.06364	13.49052	0.0071
0.06366	13.49059	0.0071
0.06398	13.49083	0.0071
0.06411	13.49095	0.0042
0.06446	13.49089	0.0103
0.06476	13.49126	0.0102
0.06490	13.49163	0.0042
0.06503	13.49176	0.0041
0.06513	13.49182	0.0072
0.06552	13.49194	0.0102
0.06600	13.49182	0.0102
0.06624	13.49212	0.0103
