Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.28564	15.91184	-0.3045
0.28430	15.92563	-0.3075
0.27860	15.93724	-0.3046
0.27446	15.94543	-0.3076
0.27039	15.95177	-0.2986
0.26663	15.95916	-0.3076
0.26327	15.96623	-0.3046
0.26036	15.97257	-0.3015
0.25819	15.97931	-0.3016
0.26593	15.98010	-0.3106
0.26921	15.96313	-0.3106
0.27185	15.93889	-0.3015
0.27732	15.90848	-0.3046
0.28186	15.88811	-0.3047
0.29825	15.89266	-0.3016
0.30420	15.90756	-0.2955
0.30906	15.92260	-0.3017
0.31252	15.93553	-0.2955
0.30789	15.94728	-0.3017
0.30322	15.95758	-0.3017
0.30114	15.96683	-0.2986
0.29644	15.80352	-0.2805
0.75154	15.24900	-0.2593
8.84576	14.45238	-0.2016
5.57182	13.73364	-0.2381
1.37695	13.30230	-0.2926
1.07206	13.22532	-0.2805
0.90130	13.30707	-0.2865
0.80679	13.44198	-0.2804
0.78609	13.59023	-0.2775
0.76776	13.68476	-0.2804
0.75790	13.72539	-0.2713
1.29650	13.57140	-0.2532
0.87178	13.15345	-0.2472
0.76208	12.82687	-0.2592
0.75040	12.61134	-0.2774
0.75021	12.55195	-0.2836
0.74128	12.56203	-0.2744
1.03760	12.53707	-0.2592
0.79693	12.41971	-0.2745
0.70302	12.36177	-0.2805
0.65668	12.37926	-0.2714
0.63240	12.42647	-0.2775
16.76709	12.46254	-0.0898
28.26602	12.33379	0.2010
28.42512	12.14788	0.4768
28.58295	11.99711	0.6979
28.79303	11.90020	0.8130
28.83138	11.84937	0.9433
28.99205	11.82001	1.0613
29.10045	11.80401	1.1735
29.13082	11.79526	1.2612
29.08036	11.82036	1.2703
29.06113	11.93287	1.2400
28.90548	12.02845	1.2552
28.83106	12.04194	1.2855
28.88635	12.00545	1.3249
29.01573	11.97248	1.3794
29.16373	11.95524	1.4127
29.22238	11.93818	1.4249
29.11134	11.92042	1.4187
28.98564	11.90002	1.4066
28.91816	11.86992	1.3824
28.92007	11.84684	1.3642
28.92442	11.83813	1.3460
28.93981	11.83436	1.3369
28.94722	11.83013	1.3218
28.96605	11.82413	1.3097
28.96697	11.81601	1.3158
28.95995	11.80666	1.3339
28.97733	11.79972	1.3733
28.99900	11.79514	1.3915
29.02478	11.79144	1.4279
29.12795	11.78967	1.4611
29.26371	11.80243	1.4611
29.32794	11.82524	1.4309
29.21988	11.83495	1.3915
29.07490	11.83066	1.3370
28.98962	11.81524	1.2823
28.93080	11.79866	1.2370
28.88100	11.79355	1.2279
28.85023	11.80055	1.2641
28.86128	11.80660	1.3309
28.93284	11.80942	1.4006
