Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.01145	16.91771	-0.0097
0.01149	16.91852	-0.0067
0.01145	16.91947	-0.0098
0.01146	16.92035	-0.0097
0.01134	16.92069	-0.0098
0.01134	16.92124	-0.0068
0.01132	16.92185	-0.0037
0.01130	16.92246	-0.0068
0.01125	16.92253	-0.0128
0.01123	16.92287	-0.0068
0.01123	16.92300	-0.0039
0.01123	16.92314	-0.0128
0.01119	16.92287	-0.0068
0.01112	16.92300	-0.0007
0.01111	16.92314	-0.0098
0.01115	16.92361	-0.0068
0.01106	16.92361	-0.0038
0.01108	16.92232	-0.0099
0.01102	16.92001	-0.0038
0.01100	16.91934	-0.0068
0.01100	16.92015	-0.0129
0.01095	16.92124	0.0022
0.01093	16.92232	-0.0038
0.01095	16.92341	-0.0068
0.01089	16.92450	-0.0068
0.01089	16.92538	-0.0039
0.01089	16.92606	-0.0038
0.01085	16.92687	-0.0069
0.01086	16.92749	-0.0039
0.01089	16.92783	-0.0068
0.01101	16.92837	-0.0098
0.01106	16.92918	-0.0008
0.01105	16.92980	-0.0068
0.01110	16.93048	-0.0068
0.01111	16.93061	-0.0099
0.01111	16.93088	-0.0068
0.01123	16.93143	-0.0038
0.01119	16.93204	-0.0099
0.01123	16.93258	-0.0068
0.01123	16.93326	-0.0068
0.01115	16.93394	-0.0009
0.01123	16.93496	-0.0008
0.01123	16.93550	-0.0039
0.01123	16.93618	-0.0099
0.01131	16.93652	-0.0099
0.01135	16.93741	-0.0009
0.01136	16.93795	0.0052
0.01144	16.88377	0.0234
0.01250	16.55361	0.0446
0.02345	16.25231	0.0628
9.18254	16.03407	0.0991
9.29218	15.84727	0.1355
20.90751	15.71180	0.2082
21.59217	15.59018	0.3354
21.84757	15.48806	0.4657
21.93648	15.41478	0.5171
22.03192	15.37190	0.5655
21.96274	15.34976	0.6686
21.95928	15.34684	0.7715
21.91682	15.33789	0.8261
21.94835	15.33328	0.8382
21.95153	15.35346	0.8443
21.94556	15.37411	0.8473
21.95903	15.38651	0.8442
21.97500	15.39580	0.8382
21.98404	15.40626	0.8412
21.98680	15.41511	0.8322
21.97044	15.41953	0.8382
21.96774	15.41966	0.8412
22.01495	15.40470	0.8443
22.22853	15.35340	0.8411
22.55248	15.27806	0.8351
22.81987	15.20948	0.8351
23.00935	15.15233	0.8321
23.09276	15.11067	0.8503
23.12997	15.08020	0.8472
23.24043	15.05027	0.8412
23.36266	15.01779	0.8412
23.43185	14.98515	0.8291
23.47801	14.96056	0.8321
23.52301	14.94843	0.8260
23.52638	14.94298	0.8412
23.51862	14.93939	0.8412
23.52850	14.93535	0.8443
23.52148	14.93375	0.8382
23.47747	14.93169	0.8381
23.46740	14.92451	0.8382
23.51378	14.91342	0.8352
23.58762	14.90138	0.8321
23.64710	14.88549	0.8291
23.69228	14.87205	0.8291
23.71174	14.86238	0.8260
23.71807	14.85489	0.8231
23.73064	14.84671	0.8321
23.74408	14.83526	0.8322
23.76312	14.82381	0.8442
23.78932	14.81429	0.8352
23.79737	14.80445	0.8321
23.80249	14.79378	0.8200
23.82269	14.78573	0.8140
23.84889	14.78088	0.8140
23.85877	14.77615	0.8170
23.88613	14.77047	0.8200
23.88670	14.76747	0.8170
23.86431	14.76907	0.8200
23.88451	14.77660	0.8200
23.94281	14.78522	0.8200
23.94043	14.78867	0.8140
24.00083	14.78375	0.8079
24.01903	14.77903	0.8169
24.02917	14.77558	0.8139
24.04136	14.77296	0.8170
24.04030	14.77469	0.8200
24.06164	14.78529	0.8170
24.02879	14.79340	0.8200
24.09377	14.79001	0.8200
24.13311	14.78337	0.8230
24.16121	14.77737	0.8170
24.19972	14.77130	0.8261
24.23507	14.76703	0.8230
24.25827	14.76447	0.8261
24.28286	14.76530	0.8200
24.29328	14.76805	0.8170
24.28004	14.76984	0.8230
24.27670	14.76971	0.8139
24.24554	14.76932	0.8261
24.19378	14.77194	0.8261
24.01983	14.77564	0.8201
23.70244	14.79442	0.8170
23.46296	14.84997	0.8140
23.46465	14.92464	0.8110
23.54284	15.00879	0.8079
23.54971	15.08921	0.8109
23.42503	15.15007	0.8261
23.31843	15.17867	0.8231
23.27135	15.19449	0.8261
23.23952	15.21718	0.8230
23.19951	15.24130	0.8230
23.18524	15.25521	0.8110
23.17951	15.26239	0.8079
23.18311	15.27003	0.8110
23.19452	15.27709	0.8140
23.18466	15.28318	0.8109
23.19169	15.28843	0.8170
23.19096	15.29400	0.8201
23.19763	15.29853	0.8170
23.20650	15.30268	0.8231
23.19838	15.30793	0.8201
23.19572	15.31227	0.8170
23.16536	15.31325	0.8232
23.15909	15.31889	0.8292
23.14472	15.33400	0.8322
23.10708	15.33970	0.8262
23.08093	15.34379	0.8140
23.08809	15.34658	0.8201
23.11642	15.34807	0.8231
23.13334	15.35119	0.8263
23.13910	15.35443	0.8262
23.14495	15.35710	0.8322
23.15960	15.35826	0.8323
23.18615	15.35807	0.8232
23.20350	15.35301	0.8262
23.22652	15.33717	0.8293
23.23704	15.32064	0.8323
23.23139	15.31013	0.8262
23.21690	15.30495	0.8353
23.19059	15.30281	0.8262
23.14374	15.30398	0.8292
23.10223	15.31979	0.8232
23.08487	15.34165	0.8293
23.08078	15.36287	0.8202
23.06609	15.37852	0.8263
23.04785	15.38930	0.8263
23.03858	15.39853	0.8263
23.03581	15.40522	0.8293
23.04180	15.41010	0.8293
23.04236	15.41303	0.8384
23.02347	15.41504	0.8415
