Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.01178	16.13860	-0.0764
0.01181	16.13734	-0.0703
0.01181	16.12911	-0.0734
0.01178	16.11889	-0.0766
0.01176	16.11617	-0.0764
0.01180	16.11531	-0.0734
0.01180	16.11518	-0.0703
0.01176	16.11478	-0.0735
0.01178	16.11431	-0.0764
0.01176	16.11411	-0.0704
0.01176	16.11398	-0.0765
0.01173	16.11252	-0.0764
0.01176	16.11146	-0.0734
0.01177	16.11033	-0.0734
0.01176	16.10927	-0.0764
0.01176	16.10907	-0.0734
0.01177	16.10940	-0.0734
0.01176	16.10947	-0.0735
0.01180	16.10934	-0.0764
0.01176	16.10947	-0.0765
0.01176	16.10894	-0.0704
0.01177	16.10848	-0.0765
0.01176	16.10788	-0.0765
0.01177	16.10682	-0.0734
0.01180	16.10543	-0.0765
0.01176	16.10423	-0.0704
0.01177	16.10237	-0.0734
0.01176	16.10065	-0.0764
0.01177	16.09899	-0.0705
0.01176	16.09554	-0.0734
0.01176	16.09243	-0.0765
0.01173	16.09044	-0.0765
0.01171	16.08865	-0.0765
0.01177	16.08659	-0.0735
0.01175	16.08361	-0.0704
0.01175	16.08096	-0.0704
0.01172	16.07891	-0.0734
0.01179	16.07785	-0.0704
0.01177	16.07798	-0.0704
0.01175	16.07732	-0.0704
0.01175	16.07632	-0.0704
0.01176	16.07573	-0.0644
0.01175	16.07553	-0.0704
0.01176	16.07447	-0.0735
0.01175	16.07460	-0.0734
0.01179	16.07493	-0.0643
0.01172	16.07546	-0.0674
0.01175	16.07639	-0.0734
0.01177	16.07692	-0.0674
0.01175	16.07493	-0.0643
0.01175	16.06539	-0.0643
0.01158	16.04751	-0.0553
0.01141	15.63791	-0.0249
11.47550	14.73653	0.0387
24.32938	14.00195	0.1204
24.81071	13.50912	0.1931
25.15238	13.15053	0.2386
25.39189	12.87672	0.2628
25.59210	12.67491	0.2779
25.75764	12.52364	0.2749
25.90084	12.41380	0.2719
25.94280	12.33433	0.3144
25.95943	12.28509	0.4173
26.02771	12.26544	0.5596
26.10525	12.24343	0.7141
26.16148	12.21577	0.8777
26.09337	12.18487	1.0171
26.23508	12.17210	1.0897
26.20742	12.27062	1.0867
26.14129	12.40059	1.0685
26.05001	12.46637	1.0533
24.55323	12.50608	1.0564
24.02837	12.50872	1.0685
26.10094	12.45452	1.0745
26.19073	12.39545	1.0716
26.25601	12.35276	1.0806
26.31144	12.30404	1.0807
26.38930	12.25045	1.0746
26.45295	12.20971	1.0746
26.49326	12.17044	1.0716
26.52134	12.13655	1.0685
26.55127	12.11087	1.0655
26.57994	12.09558	1.0746
26.60420	12.09369	1.0746
26.61925	12.10477	1.0746
26.58752	12.11799	1.0685
26.54472	12.12166	1.0625
26.54667	12.11704	1.0655
26.55281	12.11147	1.0716
26.56097	12.11129	1.0838
26.57541	12.11923	1.0837
26.59528	12.13068	1.0898
26.60186	12.13869	1.0869
26.57567	12.13981	1.0747
26.54229	12.13275	1.0746
26.55546	12.11360	1.0686
26.60892	12.06662	1.0626
26.67906	12.01260	1.0686
26.74790	11.96645	1.0686
26.79311	11.94786	1.0716
26.80877	11.93659	1.0777
26.82994	11.91223	1.0777
26.87536	11.87846	1.0838
26.92276	11.84537	1.0868
26.95495	11.81613	1.0777
26.98584	11.77857	1.0686
27.04271	11.72919	1.0596
27.08012	11.69705	1.0535
27.14903	11.63450	1.0535
27.24539	11.55371	1.0656
27.34098	11.48085	1.0808
27.40794	11.43391	1.0838
27.43828	11.41400	1.0868
27.43260	11.42983	1.0868
27.46851	11.46989	1.0747
27.45581	11.47607	1.0717
27.52991	11.43396	1.0597
27.58694	11.38196	1.0687
27.63563	11.33845	1.0687
27.67958	11.30903	1.0778
27.69552	11.29517	1.0839
27.69790	11.31071	1.0808
27.73290	11.34856	1.0778
27.66587	11.35698	1.0748
27.70128	11.32562	1.0748
27.74927	11.28659	1.0717
27.78614	11.25448	1.0778
27.76594	11.24301	1.0808
27.75108	11.26317	1.0748
27.78249	11.27905	1.0779
27.87241	11.28003	1.0688
27.94061	11.27233	1.0687
27.94184	11.26294	1.0688
27.88697	11.26074	1.0778
27.88199	11.26456	1.0748
27.94481	11.26757	1.0809
28.00006	11.26972	1.0839
27.98093	11.27128	1.0870
27.92150	11.27499	1.0870
27.92925	11.27569	1.0779
27.99959	11.27667	1.0688
28.06963	11.28148	1.0658
28.07397	11.28438	1.0718
28.08889	11.28421	1.0688
28.10230	11.28687	1.0809
28.03095	11.29499	1.0809
28.01946	11.30230	1.0900
27.98204	11.33886	1.0840
27.93111	11.41243	1.0719
27.92481	11.46384	1.0719
27.93005	11.48971	1.0629
27.93246	11.50650	1.0628
27.93237	11.52033	1.0690
27.92545	11.53538	1.0780
27.90574	11.55838	1.0870
27.88469	11.59385	1.0871
27.86548	11.63356	1.0811
