Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.02094	16.93333	-0.1935
0.02094	16.93102	-0.1904
0.02091	16.92789	-0.1904
0.02112	16.92198	-0.1905
0.02148	16.91703	-0.1904
0.02159	16.91078	-0.1904
0.02166	16.90385	-0.1905
0.02174	16.89937	-0.1905
0.02171	16.89802	-0.1874
0.02174	16.89761	-0.1904
0.02177	16.89625	-0.1905
0.02179	16.89327	-0.1904
0.02182	16.88506	-0.1875
0.02188	16.87244	-0.1935
0.02182	16.85983	-0.1965
0.02193	16.85291	-0.1904
0.02188	16.85115	-0.1874
0.02182	16.84919	-0.1875
0.02184	16.84342	-0.1844
0.02187	16.82818	-0.1934
0.02188	16.81193	-0.1935
0.02188	16.80029	-0.1844
0.02194	16.79034	-0.1844
0.02188	16.78533	-0.1844
0.02194	16.78351	-0.1875
0.02193	16.78087	-0.1904
0.02188	16.77769	-0.1844
0.02195	16.77323	-0.1874
0.02198	16.76917	-0.1844
0.02198	16.76775	-0.1904
0.02202	16.76931	-0.1844
0.02202	16.77147	-0.1843
0.02205	16.77363	-0.1874
0.02198	16.77302	-0.1873
0.02202	16.77438	-0.1843
0.02198	16.77708	-0.1873
0.02198	16.78053	-0.1874
0.02202	16.78317	-0.1873
0.02193	16.78439	-0.1813
0.02198	16.78479	-0.1874
0.04638	16.72329	-0.1722
0.05187	15.61005	-0.1753
0.04853	14.29673	-0.1813
0.04716	13.78612	-0.1783
0.04620	13.63230	-0.1782
0.04536	13.59010	-0.1783
0.04458	13.58763	-0.1722
0.04399	13.60029	-0.1843
0.65317	13.61666	-0.1419
16.20105	13.21475	-0.0662
27.48811	12.35927	0.0308
28.14202	11.69360	0.1155
28.53523	11.19746	0.2337
28.90275	10.82149	0.4033
29.21545	10.55461	0.5639
29.47467	10.38175	0.6911
29.63174	10.27984	0.7728
29.70220	10.22286	0.8031
29.80332	10.26014	0.7910
29.73937	10.31734	0.8334
29.65470	10.34877	0.9303
29.63674	10.32717	1.0546
29.73838	10.27244	1.1818
29.95518	10.22670	1.2574
29.99693	10.23955	1.2907
29.99215	10.34227	1.3090
29.94118	10.45365	1.2998
29.82535	10.52824	1.2877
29.75465	10.53699	1.2513
29.72974	10.46454	1.2120
29.73882	10.38192	1.1696
29.74806	10.31491	1.1424
29.76882	10.26003	1.1454
29.80854	10.21430	1.1727
29.88572	10.17825	1.2121
30.09302	10.15905	1.2484
30.28140	10.17121	1.2666
30.29461	10.18033	1.2726
30.27908	10.21091	1.2636
30.08578	10.23487	1.2455
29.93099	10.23329	1.2333
29.89664	10.20697	1.2333
29.93292	10.18534	1.2363
29.98263	10.18022	1.2333
30.03262	10.17588	1.2273
30.01264	10.15629	1.2242
29.97547	10.12570	1.2212
30.00928	10.09759	1.2242
30.06467	10.08046	1.2091
30.10929	10.07844	1.1909
30.04152	10.07990	1.1758
29.95828	10.07080	1.1758
29.94144	10.05958	1.1940
29.95231	10.06182	1.2364
30.04436	10.08451	1.2636
30.30874	10.12795	1.3030
30.33046	10.15252	1.3121
30.39449	10.16096	1.3122
30.34820	10.19874	1.2939
30.26543	10.22066	1.2667
30.15555	10.24040	1.2183
30.05963	10.25134	1.1577
29.94485	10.24181	1.1032
29.83752	10.20066	1.0608
29.76499	10.16001	1.0457
29.73303	10.14161	1.0941
29.73469	10.13379	1.1970
29.85052	10.12570	1.3031
30.25925	10.12350	1.3879
30.41607	10.12513	1.4243
30.20657	10.24919	1.4243
30.00482	10.47084	1.3698
29.78347	10.65955	1.2789
29.66334	10.78452	1.1911
29.64860	10.82871	1.0972
29.68257	10.75695	1.0366
29.74542	10.64154	1.0124
29.80661	10.53239	1.0397
29.79292	10.44843	1.0973
29.74901	10.37253	1.1760
29.78243	10.29463	1.2639
30.00245	10.23673	1.3486
30.21034	10.22190	1.3941
30.31747	10.20421	1.4153
30.26527	10.27222	1.4063
30.13035	10.42882	1.3729
30.00717	10.58152	1.2942
29.90509	10.70000	1.2124
29.79415	10.77525	1.1185
29.69635	10.82338	1.0428
29.67244	10.85323	1.0004
29.66383	10.80225	1.0217
29.55666	10.67883	1.0822
29.51242	10.55439	1.1731
29.56362	10.44067	1.2640
29.82670	10.35867	1.3427
30.06119	10.31237	1.3822
30.19677	10.27374	1.3973
30.18448	10.32644	1.3730
30.11128	10.43256	1.3337
30.02497	10.52705	1.2671
29.89168	10.58801	1.1974
29.77684	10.63162	1.1369
29.73351	10.65613	1.1006
29.76048	10.62530	1.0976
29.80317	10.57060	1.1097
29.87434	10.53404	1.1339
29.96670	10.53512	1.1703
29.99814	10.55854	1.2127
30.01029	10.56371	1.2702
30.02503	10.54364	1.3066
30.04561	10.53693	1.3157
30.01846	10.58066	1.3096
29.97412	10.65226	1.2975
29.92028	10.71256	1.2733
29.84708	10.75672	1.2522
29.81581	10.78171	1.2370
29.83767	10.78915	1.2400
29.90142	10.79018	1.2370
29.90089	10.79962	1.2340
29.87831	10.81187	1.2008
29.84633	10.85541	1.1735
29.80068	10.91156	1.1281
29.70165	10.95406	1.1008
29.62564	10.95199	1.0978
29.56000	10.89285	1.1463
29.52229	10.74501	1.2039
29.59902	10.59768	1.2766
29.88451	10.49984	1.3373
30.06792	10.45320	1.3796
30.16176	10.41414	1.3978
30.09938	10.48491	1.3706
29.98781	10.61300	1.3130
29.85810	10.73695	1.2343
29.70224	10.82957	1.1465
29.62203	10.87186	1.0799
29.61077	10.89888	1.0405
29.58133	10.86653	1.0527
29.48874	10.73381	1.1133
29.47552	10.58641	1.2011
29.58192	10.45813	1.2769
29.91499	10.37292	1.3375
30.13645	10.31350	1.3466
30.17528	10.31429	1.3375
30.08681	10.41720	1.2982
29.90516	10.52404	1.2437
29.74826	10.59370	1.2104
29.67803	10.62798	1.1953
29.71066	10.62433	1.1983
29.84559	10.58977	1.1984
29.90767	10.56741	1.2044
29.95425	10.55643	1.1984
29.91349	10.58209	1.1893
29.81345	10.62980	1.1803
29.74009	10.65727	1.1894
29.74055	10.65049	1.2137
29.83306	10.60913	1.2410
29.91665	10.58903	1.2683
29.94773	10.58379	1.2864
29.95619	10.59751	1.3015
29.90905	10.64724	1.2956
29.84332	10.70160	1.2895
29.80888	10.73061	1.2774
29.80604	10.74198	1.2502
29.81526	10.74461	1.2229
29.80738	10.74695	1.1837
29.77526	10.74478	1.1534
29.73626	10.72872	1.1413
29.73434	10.70480	1.1474
29.77155	10.65716	1.1747
29.89141	10.58909	1.2050
29.97516	10.56201	1.2354
29.99911	10.55581	1.2566
30.00775	10.57054	1.2656
29.96013	10.62034	1.2748
29.88647	10.67484	1.2870
29.83330	10.71433	1.2930
29.82613	10.73284	1.2930
29.85691	10.74061	1.2871
29.87432	10.75238	1.2688
29.87555	10.75884	1.2326
29.84681	10.76633	1.1932
29.77324	10.77605	1.1629
29.70352	10.77348	1.1387
29.66187	10.73204	1.1540
29.72010	10.62439	1.1752
29.88656	10.52375	1.2086
30.00676	10.49104	1.2328
30.08715	10.45830	1.2329
30.04706	10.47855	1.2329
29.89456	10.54574	1.2360
29.78888	10.58061	1.2541
29.79298	10.57412	1.2876
29.91975	10.56041	1.3087
29.99410	10.54404	1.3209
30.02440	10.54989	1.3089
29.95550	10.63880	1.2695
29.81351	10.73512	1.2241
29.69457	10.78955	1.1726
29.63457	10.80489	1.1363
29.64336	10.78429	1.1334
29.69400	10.71399	1.1425
29.78008	10.61471	1.1667
29.89696	10.54444	1.2001
29.95370	10.53580	1.2364
