Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.02657	15.73462	-0.0134
0.02654	15.73331	-0.0104
0.02654	15.73161	-0.0043
0.02659	15.73010	-0.0134
0.02654	15.72885	-0.0133
0.02654	15.72695	-0.0195
0.02654	15.72518	-0.0104
0.02654	15.72386	-0.0164
0.02654	15.72183	-0.0104
0.02654	15.72052	-0.0074
0.02651	15.71908	-0.0073
0.02654	15.71704	-0.0134
0.02654	15.71481	-0.0105
0.02654	15.71291	-0.0043
0.02654	15.71114	-0.0074
0.02651	15.70950	-0.0044
0.02654	15.70812	-0.0104
0.02651	15.70662	-0.0074
0.02650	15.70498	-0.0074
0.02651	15.70347	-0.0074
0.02650	15.70229	-0.0103
0.02650	15.70118	-0.0134
0.02655	15.69986	-0.0103
0.02650	15.69849	-0.0104
0.02655	15.69718	-0.0134
0.02650	15.69567	-0.0104
0.02650	15.69403	-0.0044
0.02655	15.69324	-0.0044
0.02655	15.69187	-0.0044
0.02651	15.69049	-0.0074
0.02650	15.68925	-0.0104
0.02655	15.68781	-0.0103
0.02655	15.68650	-0.0074
0.02650	15.68518	-0.0134
0.02652	15.68322	-0.0074
0.02650	15.68086	-0.0074
0.02645	15.67909	-0.0074
0.02652	15.67680	-0.0103
0.02650	15.67549	-0.0103
0.01733	15.67267	-0.0286
0.02575	15.66986	0.0963
0.02596	15.66724	0.0607
0.02595	15.66527	0.0514
0.02595	15.66298	0.0422
0.02583	15.66088	0.0351
0.02645	15.65912	-0.0043
0.02655	15.65761	-0.0043
0.02650	15.65630	-0.0133
0.02650	15.65519	-0.0134
0.02647	15.65421	-0.0102
0.02650	15.65336	-0.0164
0.02655	15.65237	-0.0133
0.02650	15.65146	-0.0074
0.02650	15.65002	-0.0073
0.02647	15.64858	-0.0073
0.02651	15.64694	-0.0103
0.02652	15.64576	-0.0103
0.02651	15.64504	-0.0073
0.02647	15.64432	-0.0103
0.02651	15.64400	-0.0102
0.02646	15.64373	-0.0043
0.02647	15.64321	-0.0074
0.02651	15.64197	-0.0073
0.02647	15.64066	-0.0073
0.02646	15.63928	-0.0072
0.02651	15.63771	-0.0073
0.02647	15.63621	-0.0103
0.02651	15.63497	-0.0073
0.02652	15.63124	-0.0133
0.02646	15.62653	-0.0072
0.02646	15.61927	-0.0102
0.02648	15.61567	-0.0102
0.02646	15.61567	-0.0133
0.02648	15.61299	-0.0102
0.02651	15.60704	-0.0133
0.02653	15.59364	-0.0073
0.02652	15.57469	-0.0132
0.02647	15.56607	-0.0102
0.02648	15.56601	-0.0102
0.02652	15.56758	-0.0132
0.02648	15.56953	-0.0102
0.02647	15.57156	-0.0042
0.02647	15.57136	-0.0041
0.02649	15.56536	-0.0102
0.02652	15.55928	-0.0101
0.02644	15.55354	-0.0102
0.02652	15.54838	-0.0071
0.02652	15.54708	-0.0042
0.02649	15.54695	-0.0102
0.02652	15.54616	-0.0102
0.02649	15.54453	-0.0040
0.02647	15.54290	-0.0132
0.02654	15.53794	-0.0071
0.02647	15.53527	-0.0071
0.02647	15.53598	-0.0071
0.02649	15.53729	-0.0071
0.02647	15.53755	-0.0041
0.02649	15.53931	-0.0071
0.02652	15.53801	-0.0131
0.02647	15.53194	-0.0101
0.02649	15.52868	-0.0102
0.02652	15.52737	-0.0040
0.02649	15.52692	-0.0071
0.02647	15.52868	-0.0101
0.02647	15.53103	-0.0071
0.02644	15.53227	-0.0070
0.02647	15.53050	-0.0071
0.02649	15.52203	-0.0101
0.02643	15.51583	-0.0100
0.02644	15.51342	-0.0072
0.02648	15.51224	-0.0070
0.02653	15.51244	-0.0101
0.02649	15.51042	-0.0100
0.02648	15.50612	-0.0070
0.02645	15.50410	-0.0070
0.02643	15.50494	-0.0070
0.02648	15.50683	-0.0131
0.02649	15.50794	-0.0100
0.02643	15.50977	-0.0070
0.02644	15.51198	-0.0040
0.02648	15.51179	-0.0100
0.02648	15.50879	-0.0070
0.02644	15.50735	-0.0070
0.02648	15.50794	-0.0130
0.02649	15.50820	-0.0040
0.02648	15.50925	-0.0070
0.02648	15.50951	-0.0070
0.02649	15.51003	-0.0101
0.02648	15.50970	-0.0069
0.02649	15.50859	-0.0070
0.02648	15.50716	-0.0070
