Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.03840	12.32753	-0.0197
0.03840	12.32723	-0.0196
0.03844	12.32663	-0.0197
0.03840	12.32628	-0.0166
0.03840	12.32586	-0.0197
0.03838	12.32657	-0.0136
0.03840	12.32735	-0.0197
0.03834	12.32800	-0.0197
0.03836	12.32729	-0.0197
0.03831	12.32687	-0.0106
0.03844	12.32735	-0.0166
0.03836	12.32657	-0.0135
0.03838	12.32264	-0.0166
0.03840	12.31823	-0.0136
0.03839	12.31566	-0.0167
0.03841	12.31441	-0.0135
0.03837	12.31399	-0.0227
0.03839	12.31370	-0.0167
0.03837	12.31322	-0.0136
0.03839	12.31262	-0.0136
0.03841	12.31250	-0.0197
0.03845	12.31221	-0.0197
0.03852	12.30720	-0.0106
0.03864	12.30166	-0.0165
0.03864	12.29838	-0.0166
0.03869	12.29695	-0.0135
0.03873	12.29594	-0.0136
0.03881	12.29320	-0.0136
0.03998	12.29165	-0.0135
0.04229	12.29206	-0.0135
0.04416	12.29320	-0.0166
0.04630	12.29480	-0.0165
0.04769	12.29683	-0.0135
0.05067	12.29790	-0.0196
0.05498	12.29761	-0.0166
0.05802	12.29898	-0.0165
0.06134	12.30058	-0.0135
0.06501	12.30237	-0.0135
0.06911	12.30458	-0.0196
0.07238	12.30654	-0.0165
0.07574	12.30869	-0.0166
0.07974	12.31083	-0.0105
0.08451	12.31262	-0.0135
0.08721	12.31471	-0.0135
0.08820	12.31656	-0.0074
0.08845	12.31757	-0.0134
0.08857	12.31781	-0.0196
0.09001	12.31817	-0.0105
0.09050	12.31841	-0.0196
0.09777	12.31876	-0.0165
0.09763	12.31942	-0.0225
0.09574	12.31888	-0.0195
0.09422	12.31560	-0.0165
0.09285	12.31393	-0.0074
0.09178	12.31262	-0.0135
0.09079	12.31012	-0.0103
0.08996	12.30571	-0.0103
0.08859	12.29814	-0.0104
0.08788	12.29248	-0.0105
4.27090	12.13519	0.0291
4.98232	10.92488	0.0775
4.88344	9.62693	0.1139
16.12842	8.80317	0.1441
13.01724	8.26079	0.1593
17.85016	7.89658	0.2199
18.39670	7.60244	0.3774
16.49610	7.33828	0.5411
15.84194	7.01549	0.6955
15.43231	6.72307	0.8440
16.42669	6.49445	0.9167
16.52990	6.40186	0.9348
16.77507	6.43942	0.9259
