Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.03779	16.92375	-0.1630
0.03780	16.89340	-0.1661
0.03778	16.85739	-0.1661
0.03783	16.83949	-0.1691
0.03779	16.84004	-0.1691
0.03778	16.83082	-0.1661
0.03778	16.83326	-0.1630
0.03779	16.84525	-0.1661
0.03777	16.86105	-0.1661
0.03777	16.87888	-0.1600
0.03775	16.89605	-0.1661
0.03776	16.91180	-0.1692
0.03779	16.92654	-0.1692
0.03773	16.93992	-0.1661
0.03771	16.95358	-0.1630
0.03772	16.96738	-0.1692
0.03770	16.98017	-0.1661
0.03771	16.99099	-0.1662
0.03772	17.00127	-0.1661
0.03765	17.00896	-0.1662
0.03766	16.98738	-0.1693
0.03772	16.92613	-0.1661
0.03776	16.87068	-0.1662
0.03777	16.82066	-0.1692
0.03776	16.76180	-0.1631
0.03779	16.69852	-0.1632
0.03780	16.64027	-0.1662
0.03783	16.60586	-0.1600
0.03782	16.59247	-0.1631
0.03779	16.58837	-0.1601
0.03779	16.60600	-0.1631
0.03777	16.63245	-0.1631
0.03776	16.66143	-0.1570
0.03778	16.68981	-0.1661
0.03773	16.71748	-0.1630
0.03772	16.74234	-0.1661
0.03771	16.76160	-0.1570
0.03771	16.75889	-0.1662
0.03774	16.70958	-0.1601
0.03771	16.65152	-0.1600
3.48967	16.52970	-0.1085
25.76898	15.07144	0.0005
26.24872	13.24213	0.1156
28.05681	11.93299	0.2367
28.77758	10.99091	0.3609
29.38155	10.35544	0.5002
29.75284	9.96003	0.6366
30.22182	9.72039	0.7214
30.47390	9.60046	0.7425
30.60048	9.60656	0.7425
30.66511	9.68975	0.7485
30.59122	9.76498	0.7455
30.59001	9.79602	0.7577
30.67169	9.78626	0.7546
30.77491	9.76242	0.7546
30.83263	9.73319	0.7455
30.71913	9.68619	0.7335
30.55985	9.61195	0.7123
30.46795	9.54022	0.7123
30.47190	9.49722	0.7244
30.58509	9.46980	0.7486
31.00012	9.46289	0.7546
31.25759	9.46570	0.7577
31.32248	9.44250	0.7426
31.15863	9.49766	0.7243
30.70702	9.55584	0.7153
30.44158	9.54471	0.7153
30.43861	9.48998	0.7184
30.60155	9.44366	0.7425
31.07767	9.42693	0.7547
31.25563	9.41776	0.7577
31.33548	9.45128	0.7517
31.09197	9.58643	0.7456
30.66044	9.71594	0.7305
30.39833	9.72562	0.7395
30.37907	9.63892	0.7486
30.53086	9.56277	0.7516
30.80366	9.52865	0.7546
30.88925	9.51000	0.7487
30.71242	9.47554	0.7427
30.55332	9.41947	0.7335
30.56253	9.35924	0.7335
30.62321	9.32558	0.7335
30.68934	9.32480	0.7365
30.73662	9.34034	0.7305
30.80437	9.34877	0.7365
30.85523	9.34144	0.7396
30.91655	9.32943	0.7274
31.00199	9.32200	0.7336
30.97303	9.32541	0.7306
30.88129	9.32723	0.7275
30.72579	9.31049	0.7366
30.69876	9.28512	0.7366
30.77926	9.26922	0.7427
30.97943	9.28914	0.7456
30.91644	9.34744	0.7457
30.80923	9.37148	0.7487
30.70153	9.36376	0.7457
30.64849	9.33670	0.7517
30.66803	9.30482	0.7487
30.78770	9.28743	0.7487
31.06410	9.30719	0.7487
31.19339	9.36585	0.7397
31.13493	9.39105	0.7365
30.89869	9.38890	0.7336
30.88668	9.38416	0.7367
30.99123	9.37517	0.7457
31.25880	9.37004	0.7518
31.44629	9.37991	0.7549
31.48737	9.38857	0.7488
31.50719	9.39127	0.7427
31.48190	9.43990	0.7367
31.30948	9.54028	0.7245
30.94641	9.58588	0.7185
30.76328	9.56155	0.7276
30.81599	9.51791	0.7277
31.24189	9.50801	0.7337
31.37102	9.52771	0.7427
31.44401	9.54986	0.7519
31.28895	9.72039	0.7489
30.95700	9.94407	0.7427
30.67527	10.08052	0.7397
30.53588	10.09922	0.7368
30.69176	10.03029	0.7367
30.99730	9.98719	0.7337
31.07503	9.96344	0.7277
31.11914	9.97470	0.7216
30.96022	10.05907	0.7217
30.74585	10.11546	0.7217
30.62780	10.14352	0.7459
30.86044	10.11575	0.7489
31.01538	10.09349	0.7611
31.07295	10.09574	0.7490
30.92108	10.27357	0.7187
30.59730	10.50268	0.6975
30.30609	10.63316	0.6914
30.15817	10.61721	0.7006
30.16706	10.39630	0.7188
30.67373	10.18044	0.7521
31.06804	10.04566	0.7641
31.11762	10.01767	0.7642
30.87611	10.24581	0.7461
30.52499	10.51091	0.7218
30.20194	10.70400	0.7037
30.11824	10.77983	0.6947
30.05481	10.58738	0.7097
30.53147	10.33599	0.7310
30.84430	10.18027	0.7552
30.90038	10.13756	0.7613
30.73164	10.31643	0.7673
30.50871	10.53631	0.7523
30.23443	10.67752	0.7280
30.13109	10.74884	0.7190
30.12284	10.66976	0.7129
30.22696	10.43432	0.7251
30.58776	10.25376	0.7341
30.80842	10.16395	0.7433
30.91362	10.11350	0.7433
30.83090	10.21142	0.7494
30.68445	10.36144	0.7555
30.43830	10.48792	0.7524
30.24875	10.56411	0.7373
30.23321	10.57975	0.7283
30.35706	10.45388	0.7162
30.55822	10.29610	0.7223
30.71065	10.23363	0.7434
30.74106	10.23594	0.7495
30.76227	10.22100	0.7556
30.76931	10.24203	0.7495
30.72592	10.32282	0.7496
30.66639	10.40463	0.7405
30.59144	10.48315	0.7405
30.47322	10.55541	0.7315
30.36545	10.60446	0.7345
30.39902	10.57936	0.7255
30.53822	10.53318	0.7286
30.59800	10.51699	0.7407
30.62623	10.50773	0.7468
30.62257	10.52898	0.7559
30.58471	10.57446	0.7559
30.52716	10.60930	0.7469
30.47294	10.62160	0.7317
30.41436	10.62006	0.7257
30.37239	10.60861	0.7287
30.48322	10.50353	0.7349
30.64516	10.43948	0.7500
30.68581	10.43823	0.7531
30.72354	10.42995	0.7531
30.67650	10.49711	0.7502
30.53368	10.62741	0.7471
30.37792	10.74118	0.7472
30.31836	10.78532	0.7563
30.31192	10.80243	0.7563
30.34353	10.81233	0.7564
30.36215	10.82012	0.7503
30.33007	10.81760	0.7473
30.30491	10.80529	0.7533
30.32785	10.77576	0.7594
30.39699	10.73169	0.7687
30.48321	10.69932	0.7839
30.51903	10.69349	0.7959
30.52385	10.69846	0.7929
30.51930	10.71736	0.7869
30.46321	10.76787	0.7809
30.35098	10.80804	0.7749
30.22557	10.81771	0.7688
30.20910	10.74832	0.7628
30.42757	10.52602	0.7780
30.67537	10.38107	0.7841
30.80525	10.30937	0.7993
30.87357	10.29372	0.7994
30.75041	10.44333	0.7964
30.51149	10.61579	0.7843
30.31854	10.70228	0.7752
30.19958	10.72947	0.7661
30.18414	10.72484	0.7662
30.33798	10.62974	0.7722
30.50970	10.55876	0.7723
30.56355	10.53818	0.7723
30.61502	10.53057	0.7634
30.57856	10.57048	0.7633
30.45422	10.62724	0.7544
30.35268	10.67792	0.7604
30.31937	10.68454	0.7574
30.36102	10.66674	0.7635
30.44490	10.65248	0.7515
30.47964	10.65288	0.7545
30.50075	10.64604	0.7545
30.49794	10.64388	0.7576
30.45189	10.65870	0.7516
30.42509	10.67119	0.7608
30.43270	10.67803	0.7517
30.45088	10.68859	0.7518
30.45738	10.70931	0.7427
30.43711	10.72987	0.7457
30.38556	10.73941	0.7397
30.33685	10.73815	0.7459
30.35494	10.73021	0.7458
30.42423	10.72415	0.7489
30.46051	10.72581	0.7550
30.46220	10.74255	0.7430
30.38791	10.79573	0.7431
30.28261	10.83552	0.7400
30.22675	10.84417	0.7340
30.20120	10.84074	0.7340
30.19304	10.83902	0.7280
30.19529	10.83226	0.7372
30.25331	10.77639	0.7433
30.36353	10.70343	0.7525
30.43218	10.68682	0.7585
30.48399	10.69212	0.7586
30.46743	10.74209	0.7495
30.33383	10.83770	0.7405
30.15434	10.91615	0.7314
30.04825	10.94125	0.7254
30.05102	10.81250	0.7315
30.29444	10.55768	0.7497
30.64943	10.36687	0.7649
30.83767	10.25647	0.7680
30.77306	10.33113	0.7651
30.56093	10.53159	0.7499
30.23370	10.69989	0.7318
30.08511	10.80214	0.7228
30.01790	10.72210	0.7258
30.19948	10.46857	0.7320
30.60104	10.27775	0.7472
30.79955	10.15658	0.7564
30.78277	10.18444	0.7564
30.61043	10.36749	0.7534
30.31551	10.53506	0.7384
30.10941	10.63658	0.7323
30.08907	10.65921	0.7294
30.16630	10.50398	0.7415
30.39115	10.31672	0.7567
30.61613	10.21204	0.7719
30.73017	10.14549	0.7780
30.68197	10.21610	0.7690
30.53027	10.36647	0.7600
30.28939	10.49535	0.7358
30.13121	10.56491	0.7237
30.11229	10.54103	0.7298
30.26350	10.34854	0.7389
30.58583	10.16569	0.7512
30.76492	10.04398	0.7633
30.75294	10.08198	0.7664
30.59821	10.25055	0.7695
30.35812	10.40548	0.7513
30.18121	10.49456	0.7514
30.13045	10.51228	0.7332
30.19702	10.43902	0.7394
30.30886	10.32005	0.7304
30.39911	10.23510	0.7425
30.48015	10.19199	0.7487
30.54007	10.18647	0.7578
30.58742	10.17081	0.7700
30.60043	10.18911	0.7670
30.53094	10.27786	0.7671
30.42295	10.36936	0.7550
30.30649	10.43636	0.7429
30.22673	10.46131	0.7401
30.20622	10.43568	0.7370
30.30829	10.30254	0.7400
30.48238	10.15534	0.7432
30.59468	10.10130	0.7523
30.66412	10.06935	0.7585
30.68028	10.09108	0.7676
30.58406	10.21311	0.7646
30.42171	10.34255	0.7526
30.26285	10.43330	0.7467
30.17759	10.45546	0.7405
30.20531	10.38096	0.7345
30.31117	10.25354	0.7316
30.43750	10.15787	0.7347
30.51536	10.12356	0.7469
30.55923	10.10844	0.7530
30.59657	10.08782	0.7653
30.63671	10.08400	0.7682
30.59836	10.14791	0.7653
30.48819	10.25320	0.7624
30.32823	10.34713	0.7503
30.19302	10.39879	0.7413
30.15991	10.34085	0.7323
30.29939	10.15911	0.7293
30.56321	10.02210	0.7444
30.69946	9.94491	0.7384
30.75513	9.92567	0.7658
30.69622	10.00854	0.7690
30.59461	10.13379	0.7720
30.49534	10.25202	0.7691
30.39376	10.34916	0.7600
30.24597	10.40831	0.7479
30.12502	10.40576	0.7298
30.10328	10.32508	0.7269
30.19006	10.13087	0.7240
30.50522	9.94956	0.7361
30.73084	9.84577	0.7574
30.82768	9.81146	0.7635
30.72764	9.94066	0.7666
30.51168	10.11282	0.7636
30.25366	10.24474	0.7606
30.11854	10.31683	0.7607
30.09514	10.35284	0.7577
30.13665	10.33735	0.7578
30.19066	10.30344	0.7458
30.16173	10.29610	0.7459
30.16456	10.27803	0.7428
30.22785	10.20196	0.7491
30.39802	10.09377	0.7613
30.55034	10.02194	0.7703
30.61372	10.00702	0.7734
30.51291	10.10675	0.7614
30.30496	10.23194	0.7584
30.14855	10.30756	0.7524
30.13505	10.27724	0.7556
30.27906	10.13211	0.7555
30.46613	10.02519	0.7648
30.57388	9.96137	0.7649
30.59097	9.96546	0.7618
30.48293	10.04718	0.7589
30.31965	10.12828	0.7590
30.23171	10.15027	0.7652
30.23747	10.14876	0.7682
30.33333	10.13981	0.7743
