Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.08168	14.79416	-0.1914
0.08159	14.79263	-0.1883
0.08163	14.79167	-0.1944
0.08163	14.79091	-0.1883
0.08169	14.79020	-0.1823
0.08169	14.78976	-0.1852
0.08169	14.78899	-0.1913
0.08174	14.78056	-0.1913
0.08181	14.74973	-0.1913
0.08188	14.69695	-0.1912
0.08198	14.64902	-0.1943
0.08203	14.60929	-0.1913
0.08208	14.59176	-0.1883
0.08208	14.59214	-0.1822
0.08211	14.59690	-0.1913
0.08217	14.60046	-0.1882
0.08210	14.59982	-0.1881
0.08212	14.59785	-0.1882
0.08211	14.59411	-0.1882
0.08223	14.58896	-0.1912
0.08227	14.58312	-0.1882
0.08225	14.57639	-0.1851
0.08219	14.57696	-0.1912
0.08224	14.58045	-0.1882
0.08224	14.58363	-0.1882
0.08222	14.58522	-0.1852
0.08220	14.58331	-0.1882
0.08266	14.58280	-0.1911
0.08257	14.58103	-0.1851
0.08255	14.58179	-0.1882
0.08247	14.57690	-0.1821
0.08258	14.56700	-0.1821
0.08255	14.56021	-0.1881
0.08256	14.55716	-0.1881
0.08261	14.55653	-0.1881
0.08255	14.55875	-0.1881
0.08249	14.56217	-0.1821
0.08254	14.56554	-0.1851
0.08257	14.56890	-0.1851
0.08254	14.56611	-0.1880
0.08260	14.55640	-0.1850
5.45215	14.48599	-0.1002
24.87300	13.21457	0.0149
26.18560	11.56107	0.0877
27.12428	10.38911	0.1179
27.70663	9.59658	0.2057
28.21101	9.06071	0.2905
28.50931	8.70678	0.4027
28.89570	8.46861	0.4996
29.05092	8.34187	0.5299
29.16895	8.30085	0.5844
29.20442	8.29855	0.6480
29.27890	8.30198	0.7026
29.31447	8.28589	0.7208
29.34821	8.30708	0.7693
29.39192	8.34455	0.7874
29.42065	8.36631	0.7662
29.15331	8.36491	0.7873
29.12158	8.30241	0.8480
29.39669	8.24889	0.9026
29.40109	8.20605	0.9420
29.35722	8.16111	0.9751
29.36692	8.11361	1.0086
29.43411	8.07555	1.0329
29.48149	8.06451	1.0571
29.53271	8.06776	1.0540
29.57066	8.06910	1.0419
29.50995	8.07043	1.0207
29.38646	8.05533	0.9935
29.32556	8.03518	0.9754
29.31113	8.03326	0.9784
29.32155	8.04819	0.9997
29.36252	8.05352	1.0299
29.50975	8.05555	1.0572
29.64805	8.07144	1.0632
29.64585	8.08206	1.0783
29.67531	8.09151	1.0663
29.66187	8.13508	1.0420
29.51900	8.16031	1.0117
29.35779	8.16518	1.0027
29.27899	8.13866	0.9997
29.30080	8.11569	1.0088
29.42527	8.10859	1.0118
29.60596	8.12418	1.0177
29.61179	8.12723	1.0057
29.62908	8.12221	0.9906
29.51276	8.14705	0.9784
29.37793	8.15956	0.9815
29.30155	8.14043	0.9907
29.29273	8.10496	1.0270
29.36214	8.08740	1.0482
29.53076	8.09727	1.0663
29.62358	8.11024	1.0694
29.65457	8.09722	1.0664
29.69056	8.07923	1.0605
29.71524	8.07166	1.0574
29.74293	8.07070	1.0483
29.73451	8.07368	1.0211
29.64831	8.07774	1.0028
29.54282	8.07411	0.9726
29.41633	8.05853	0.9575
29.34175	8.03262	0.9423
29.31248	8.01589	0.9576
29.30883	8.01685	0.9969
29.37232	8.02378	1.0303
29.58677	8.03929	1.0636
29.63506	8.05651	1.0787
29.69760	8.07000	1.0757
29.63844	8.12846	1.0544
29.48749	8.20332	1.0393
29.36386	8.24139	1.0061
29.30204	8.23164	0.9849
29.31032	8.18994	0.9758
29.40128	8.15464	0.9818
29.52414	8.15635	0.9939
29.58077	8.17732	1.0303
29.62055	8.17175	1.0637
29.64346	8.15240	1.0940
29.69365	8.14577	1.1183
29.67805	8.18935	1.1152
29.60069	8.29983	1.1092
29.50168	8.42052	1.0637
29.38267	8.50785	1.0092
29.26096	8.55534	0.9608
29.18911	8.50559	0.9366
29.20896	8.40680	0.9306
29.29555	8.34358	0.9578
29.41002	8.32538	1.0002
29.49684	8.32629	1.0548
29.53761	8.30949	1.0881
29.58855	8.27843	1.1123
29.58820	8.30058	1.1123
29.54868	8.33553	1.0942
29.47339	8.36465	1.0640
29.40751	8.38314	1.0337
29.40882	8.37835	1.0217
29.43090	8.38663	1.0216
29.43268	8.40562	1.0186
29.42980	8.42364	1.0428
29.40971	8.43419	1.0580
29.45499	8.42779	1.0671
29.52977	8.41702	1.0702
29.52574	8.41417	1.0550
29.47822	8.46193	1.0460
29.38942	8.57290	1.0371
29.27377	8.66024	1.0310
29.18768	8.68841	1.0340
29.18952	8.66441	1.0492
29.31870	8.60343	1.0644
29.37327	8.57555	1.0735
29.40098	8.56236	1.0674
29.35439	8.61728	1.0523
29.24843	8.69914	1.0372
29.16706	8.74979	1.0221
29.14106	8.75608	1.0161
29.18723	8.70185	1.0161
29.31348	8.62306	1.0282
29.35820	8.60300	1.0494
29.37267	8.59603	1.0676
29.34751	8.63594	1.0859
29.28274	8.71415	1.0858
29.21260	8.77454	1.0920
29.17714	8.80072	1.0889
29.17646	8.79198	1.0860
29.19582	8.76661	1.0738
29.23434	8.73069	1.0527
29.27396	8.71046	1.0466
29.29845	8.71274	1.0285
29.29748	8.73216	1.0255
29.28468	8.74425	1.0256
29.28732	8.74306	1.0256
29.27716	8.76499	1.0347
29.25072	8.80072	1.0408
29.22669	8.81306	1.0651
29.23506	8.81268	1.0863
29.25094	8.81947	1.0743
29.23017	8.83312	1.0713
29.21137	8.85597	1.0532
29.17553	8.90290	1.0229
29.13754	8.93571	1.0017
29.10212	8.94727	0.9957
29.08048	8.94116	1.0079
29.13063	8.86424	1.0472
29.25772	8.76238	1.0957
29.29686	8.73140	1.1352
29.30713	8.72266	1.1413
29.23607	8.79980	1.1231
29.14355	8.90154	1.0839
29.05926	8.96789	1.0263
29.00747	8.99988	0.9597
28.93119	8.95447	0.9354
28.97599	8.80534	0.9537
29.15718	8.65867	1.0023
29.31678	8.58343	1.0629
29.40680	8.52048	1.1053
29.40864	8.53116	1.1387
29.33137	8.62452	1.1387
29.20679	8.71903	1.1115
29.11129	8.77297	1.0813
29.06199	8.79344	1.0389
