Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.04917	10.83747	-0.3102
0.04917	10.83736	-0.3133
0.04915	10.83736	-0.3102
0.04917	10.83661	-0.3102
0.04915	10.83558	-0.3073
0.04913	10.83506	-0.3071
0.04915	10.83558	-0.3102
0.04915	10.83638	-0.3042
0.04917	10.83770	-0.3073
0.04919	10.83902	-0.3102
0.04917	10.83764	-0.3105
0.04915	10.83231	-0.3074
0.04914	10.82951	-0.3103
0.04916	10.83002	-0.3103
0.04915	10.83111	-0.3073
0.04913	10.83163	-0.3134
0.04915	10.83094	-0.3072
0.04914	10.83008	-0.3043
0.04916	10.82962	-0.3043
0.04914	10.82922	-0.3073
0.04916	10.82991	-0.3043
0.04910	10.83048	-0.3044
0.04908	10.83025	-0.3103
0.04910	10.83048	-0.3043
0.04914	10.83037	-0.3013
0.04916	10.83042	-0.3043
0.04908	10.82922	-0.3074
0.04910	10.82378	-0.3072
0.04911	10.81817	-0.3043
0.04915	10.81416	-0.3043
0.04911	10.81262	-0.3102
0.04909	10.81187	-0.3074
0.04911	10.81290	-0.3103
0.04909	10.81330	-0.3072
0.04911	10.80941	-0.3043
0.04912	10.80689	-0.3104
0.04916	10.80620	-0.3103
0.04918	10.80311	-0.3104
0.04911	10.79316	-0.3043
0.04914	10.78166	-0.3043
0.04913	10.76993	-0.3043
0.04932	10.76004	-0.3134
0.04923	10.74706	-0.3103
0.04916	10.73072	-0.3072
0.04926	10.71542	-0.3074
0.04925	10.70303	-0.3102
0.04928	10.69441	-0.3012
0.04926	10.69007	-0.3043
0.04938	10.68824	-0.3013
0.04929	10.67872	-0.3012
0.04932	10.66469	-0.3071
3.07466	10.62604	-0.2558
8.26293	10.05503	-0.1921
16.57246	9.35301	-0.0649
20.03584	8.69030	0.0138
20.35803	8.22698	0.0533
20.59490	7.96377	0.0502
20.71133	7.82488	0.0140
20.79003	7.76184	-0.0467
20.83254	7.75083	-0.1011
20.87805	7.76486	-0.1193
20.96078	7.78350	-0.1102
20.78328	7.82663	-0.0770
20.77238	7.86536	-0.0314
20.87060	7.87497	0.0230
20.89861	7.83093	0.0412
20.98572	7.79494	0.0472
21.04436	7.78175	0.0291
21.01081	7.76359	-0.0041
20.98691	7.73670	-0.0194
21.00276	7.71681	0.0019
21.01037	7.70656	0.0504
20.95992	7.69223	0.1169
20.86706	7.66371	0.2019
20.82308	7.62491	0.2807
20.81190	7.59474	0.3684
20.81381	7.58062	0.4473
20.82629	7.56734	0.5229
20.92011	7.55491	0.5927
21.05592	7.56391	0.6473
21.11980	7.57092	0.6655
21.05452	7.57888	0.6685
20.86608	7.59627	0.6503
20.74630	7.58889	0.6321
20.73143	7.56771	0.6230
20.74286	7.54685	0.6261
20.75647	7.52953	0.6230
20.77455	7.51432	0.6413
20.84060	7.50311	0.6535
20.96472	7.50469	0.6655
21.00156	7.50753	0.6655
20.91204	7.50085	0.6625
20.84380	7.49275	0.6473
20.79124	7.47961	0.6261
20.76921	7.46673	0.6171
20.75966	7.46715	0.6142
20.76197	7.47046	0.6170
20.77843	7.47093	0.6443
20.83536	7.47093	0.6624
20.95275	7.47682	0.6716
21.01000	7.47782	0.6838
20.96949	7.47204	0.6807
20.86317	7.46715	0.6625
20.79026	7.45964	0.6504
20.76622	7.45039	0.6292
20.76190	7.45260	0.6291
20.76939	7.45795	0.6232
20.77715	7.45801	0.6382
20.77643	7.45296	0.6443
20.78157	7.44698	0.6565
20.79148	7.44241	0.6656
20.80315	7.44041	0.6655
20.81407	7.44062	0.6656
20.81240	7.44051	0.6566
20.79079	7.43789	0.6566
20.77445	7.43364	0.6445
20.76690	7.43080	0.6474
20.76461	7.43248	0.6506
20.76422	7.43826	0.6536
20.76854	7.44398	0.6657
20.78292	7.44787	0.6688
20.85979	7.45307	0.6748
20.93417	7.46705	0.6839
20.99181	7.47561	0.6868
21.00201	7.50780	0.6809
20.95304	7.57735	0.6718
20.88581	7.66576	0.6595
20.82477	7.74607	0.6414
20.77548	7.80315	0.6385
20.73856	7.83878	0.6293
20.71235	7.85400	0.6295
20.70260	7.84854	0.6325
20.70036	7.83225	0.6294
20.71179	7.81873	0.6447
20.73686	7.80797	0.6688
20.75339	7.80257	0.6900
20.75250	7.81152	0.7082
20.74079	7.82584	0.7175
20.72321	7.83936	0.7173
20.70845	7.84785	0.7144
20.69762	7.84917	0.6902
20.68914	7.84392	0.6599
20.68846	7.83613	0.6387
20.68630	7.82764	0.6114
20.68580	7.81757	0.6114
20.68597	7.80188	0.6206
20.68725	7.78403	0.6327
20.68666	7.77026	0.6509
20.68628	7.75549	0.6601
20.68976	7.73850	0.6720
20.69226	7.72522	0.6843
20.69383	7.71528	0.6783
20.69464	7.70804	0.6843
20.69425	7.69926	0.6994
20.69652	7.68890	0.7026
20.69796	7.67770	0.7024
20.69793	7.66899	0.6874
20.69719	7.66091	0.6663
20.69710	7.65415	0.6572
20.69686	7.64765	0.6389
20.69463	7.64470	0.6298
20.69247	7.64385	0.6420
20.69284	7.63726	0.6480
20.69499	7.62559	0.6572
20.69628	7.61494	0.6632
20.69541	7.60687	0.6694
20.69508	7.60117	0.6663
20.69093	7.59864	0.6695
20.68773	7.59675	0.6665
20.68724	7.59168	0.6573
20.68850	7.58499	0.6665
20.69082	7.57603	0.6785
20.69296	7.56776	0.6968
20.69348	7.56080	0.7058
20.69441	7.55448	0.7089
20.69116	7.55333	0.7029
20.68727	7.55390	0.6879
20.68575	7.55311	0.6665
20.68754	7.54759	0.6455
20.68912	7.54290	0.6212
20.69025	7.53811	0.6122
20.69084	7.53300	0.6031
20.69192	7.52690	0.6153
20.69257	7.52158	0.6335
20.69200	7.51758	0.6547
20.69066	7.51553	0.6820
20.68862	7.51316	0.7033
20.68780	7.51090	0.7094
20.68760	7.50937	0.7033
20.68691	7.50764	0.7063
20.68599	7.50722	0.6973
20.68585	7.50690	0.6973
20.68548	7.50632	0.6823
20.68518	7.50422	0.6671
20.68537	7.50148	0.6459
20.68550	7.49827	0.6340
20.68484	7.49575	0.6279
20.68563	7.49181	0.6217
20.68585	7.48807	0.6249
20.68614	7.48534	0.6340
20.68684	7.48229	0.6431
20.68797	7.47908	0.6643
20.68780	7.47740	0.6856
20.68608	7.47598	0.7007
20.68432	7.47603	0.7129
20.68355	7.47425	0.7220
20.68336	7.47214	0.7069
20.68255	7.47015	0.6979
20.68246	7.46862	0.6767
20.68293	7.46710	0.6646
20.68372	7.46615	0.6465
20.68460	7.46589	0.6343
20.68507	7.46437	0.6345
20.68387	7.46384	0.6496
20.68226	7.46384	0.6649
20.68190	7.46247	0.6771
20.68092	7.46121	0.6981
20.67889	7.46163	0.7073
20.67801	7.46069	0.7136
20.67779	7.45937	0.7104
20.67752	7.45843	0.7164
20.67801	7.45769	0.7166
20.67835	7.45591	0.7195
20.67860	7.45428	0.7136
20.67888	7.45296	0.7014
20.67957	7.45181	0.6926
20.68030	7.45060	0.6653
20.68108	7.44855	0.6501
20.68178	7.44766	0.6441
20.68233	7.44634	0.6653
20.68231	7.44571	0.6895
20.68191	7.44451	0.7138
20.68066	7.44409	0.7260
20.67882	7.44409	0.7443
20.67721	7.44445	0.7535
20.67590	7.44451	0.7414
20.67564	7.44309	0.7232
20.67553	7.44225	0.6991
20.67535	7.44220	0.6870
20.67624	7.44136	0.6720
20.67826	7.43936	0.6750
20.67920	7.43731	0.6750
20.67904	7.43542	0.6931
20.67835	7.43500	0.7054
20.67703	7.43516	0.7144
20.67594	7.43474	0.7115
20.67480	7.43516	0.7147
20.67349	7.43605	0.7147
20.67282	7.43605	0.7177
20.67327	7.43437	0.7117
20.67396	7.43237	0.6997
20.67426	7.43122	0.6995
20.67450	7.43017	0.6936
20.67477	7.42933	0.7027
20.67421	7.42896	0.7060
20.67355	7.42886	0.7088
20.67317	7.42828	0.7180
20.67286	7.42749	0.7090
20.67303	7.42702	0.7121
20.67292	7.42655	0.7090
20.67236	7.42665	0.7091
20.67164	7.42702	0.7244
20.67201	7.42602	0.7335
20.67172	7.42481	0.7455
20.67121	7.42382	0.7336
20.67119	7.42282	0.7244
20.67107	7.42219	0.7003
20.67074	7.42145	0.6670
20.67153	7.42098	0.6459
20.67296	7.41988	0.6551
20.67466	7.41804	0.6764
20.67386	7.41705	0.7065
20.67275	7.41636	0.7369
20.67126	7.41699	0.7460
20.66943	7.41820	0.7431
20.66781	7.41925	0.7372
20.66743	7.41951	0.7219
20.66756	7.41930	0.7100
20.66776	7.41935	0.7009
20.66760	7.41925	0.7009
20.66881	7.41720	0.7101
20.66944	7.41484	0.7071
20.66997	7.41358	0.7102
20.66989	7.41269	0.7043
20.67006	7.41174	0.7042
20.66994	7.41159	0.6953
20.66983	7.41195	0.7013
20.67012	7.41164	0.7074
20.66958	7.41132	0.7319
20.66945	7.41022	0.7499
20.66913	7.40954	0.7621
20.66835	7.40954	0.7651
20.66759	7.41017	0.7501
20.66754	7.40970	0.7443
20.66777	7.40933	0.7229
20.66713	7.41022	0.7109
20.66768	7.40985	0.6989
20.66775	7.40891	0.6927
20.66771	7.40860	0.6928
20.66844	7.40802	0.6989
20.66818	7.40734	0.7051
