Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.00906	9.91885	-0.0748
0.00905	9.92036	-0.0778
0.00905	9.92231	-0.0749
0.00905	9.92393	-0.0779
0.00908	9.92595	-0.0747
0.00905	9.92751	-0.0748
0.00905	9.92779	-0.0778
0.00905	9.92679	-0.0810
0.00902	9.92645	-0.0779
0.00909	9.92673	-0.0747
0.00905	9.92785	-0.0810
0.00905	9.92942	-0.0716
0.00905	9.93031	-0.0687
0.00902	9.93188	-0.0748
0.00900	9.93300	-0.0747
0.00905	9.93462	-0.0748
0.00902	9.93624	-0.0778
0.00905	9.93792	-0.0808
0.00906	9.93949	-0.0778
0.00906	9.93965	-0.0686
0.00900	9.93792	-0.0748
0.00902	9.93691	-0.0748
0.00900	9.93591	-0.0808
0.00902	9.93529	-0.0716
0.00900	9.93546	-0.0747
0.00900	9.93635	-0.0746
0.00902	9.93546	-0.0717
0.00905	9.93188	-0.0717
0.00902	9.92684	-0.0716
0.00905	9.91633	-0.0807
0.00904	9.90179	-0.0745
0.00900	9.88743	-0.0746
0.00903	9.87531	-0.0776
0.00899	9.86548	-0.0775
0.00903	9.86162	-0.0775
0.00897	9.86190	-0.0715
0.00894	9.86224	-0.0716
0.00903	9.86123	-0.0715
0.00899	9.85861	-0.0806
0.00902	9.85615	-0.0745
0.00902	9.85113	-0.0744
0.00899	9.84705	-0.0714
0.00897	9.84594	-0.0775
0.00897	9.84622	-0.0744
0.00899	9.84672	-0.0744
0.00902	9.84795	-0.0682
0.00902	9.84906	-0.0683
0.00902	9.85113	-0.0773
0.00897	9.85180	-0.0716
0.00894	9.85180	-0.0804
0.00897	9.85174	-0.0773
0.00899	9.85264	-0.0773
0.00897	9.85442	-0.0741
0.00902	9.85582	-0.0711
0.00899	9.85682	-0.0742
0.00897	9.85934	-0.0772
0.00899	9.86224	-0.0742
0.00898	9.86537	-0.0773
0.00898	9.86799	-0.0741
0.00899	9.86872	-0.0743
0.00898	9.86844	-0.0773
0.00899	9.86888	-0.0772
0.00898	9.86928	-0.0772
0.00903	9.86916	-0.0740
0.00908	9.86983	-0.0680
0.00906	9.86743	-0.0741
0.00908	9.85565	-0.0742
0.00911	9.84817	-0.0741
0.00936	9.83974	-0.0770
0.00946	9.82440	-0.0770
0.00941	9.80901	-0.0740
0.00954	9.79423	-0.0770
0.00948	9.78136	-0.0740
0.00958	9.76620	-0.0708
0.00956	9.75312	-0.0799
0.00963	9.74465	-0.0831
0.00966	9.74009	-0.0800
0.00973	9.73380	-0.0740
0.00967	9.72039	-0.0769
0.00983	9.70927	-0.0738
0.00977	9.69675	-0.0709
0.00977	9.68658	-0.0799
0.00985	9.68108	-0.0708
0.00982	9.67824	-0.0708
0.00985	9.67641	-0.0738
0.00982	9.67435	-0.0707
0.00985	9.66330	-0.0768
0.00984	9.64886	-0.0768
0.00980	9.63137	-0.0767
0.00983	9.61067	-0.0768
0.00982	9.58915	-0.0797
0.00982	9.56947	-0.0707
0.00986	9.55219	-0.0737
0.00981	9.53945	-0.0736
0.00980	9.52854	-0.0736
0.00980	9.53164	-0.0705
0.00935	9.54194	-0.0737
0.00981	9.54936	-0.0676
0.00981	9.55678	-0.0766
0.00987	9.56665	-0.0675
0.00992	9.57396	-0.0705
0.00987	9.57607	-0.0705
0.00987	9.57391	-0.0705
0.00987	9.57125	-0.0645
0.00978	9.56903	-0.0766
0.00982	9.57114	-0.0765
0.00987	9.57806	-0.0734
0.00982	9.58727	-0.0704
0.00988	9.59725	-0.0703
0.00983	9.60595	-0.0673
1.59666	9.60168	-0.0401
18.81365	9.22614	0.1356
26.86513	8.52501	0.4054
27.48050	8.00646	0.6568
27.75643	7.67865	0.7779
27.96047	7.50143	0.8235
28.09697	7.39296	0.8537
28.20436	7.32016	0.8719
28.27968	7.27128	0.8810
28.27758	7.24524	0.8780
28.31160	7.23218	0.8721
28.35244	7.22377	0.8416
28.41173	7.21640	0.8054
28.44167	7.21431	0.7508
28.43757	7.21322	0.7327
28.43699	7.20596	0.7326
28.45716	7.19792	0.7509
28.47848	7.19504	0.7933
28.48003	7.19886	0.8266
28.48354	7.20293	0.8509
28.50739	7.20747	0.8602
28.51571	7.22173	0.8601
28.48719	7.23730	0.8359
28.43081	7.23281	0.8147
28.36684	7.21797	0.7965
28.33153	7.21322	0.7995
28.33867	7.21891	0.7995
28.37660	7.22209	0.8208
28.41634	7.22570	0.8238
28.42852	7.22230	0.8208
28.46357	7.21431	0.8087
28.44479	7.21254	0.7875
28.40708	7.21081	0.7694
28.39204	7.20402	0.7754
28.38089	7.19484	0.7967
28.38531	7.18841	0.8390
28.42644	7.18909	0.8694
28.40676	7.19974	0.8604
28.39503	7.20794	0.8362
28.40273	7.23782	0.7997
28.38057	7.27353	0.7483
28.35387	7.28860	0.7119
28.30698	7.27175	0.6999
28.30953	7.24707	0.7362
28.32452	7.23124	0.7968
28.36072	7.21938	0.8514
28.37590	7.21604	0.8847
28.37301	7.21416	0.8877
28.36499	7.23239	0.8816
28.33713	7.27703	0.8483
28.32200	7.31911	0.8000
28.31556	7.34997	0.7485
28.27201	7.37120	0.7182
28.25164	7.36616	0.6968
28.26566	7.32990	0.7212
28.29110	7.29263	0.7696
28.33304	7.26223	0.8364
28.36045	7.25084	0.8576
28.36057	7.24232	0.8698
28.35732	7.25387	0.8759
28.34528	7.28985	0.8697
28.33584	7.32346	0.8668
28.31513	7.34426	0.8516
