Date	Time	Temperature  (*C)
10/20/05	13:52:40	20.04
10/20/05	17:22:40	5.77
10/20/05	20:52:40	5.61
10/21/05	00:22:40	5.77
10/21/05	03:52:40	5.77
10/21/05	07:22:40	5.61
10/21/05	10:52:40	5.14
10/21/05	14:22:40	6.40
10/21/05	17:52:40	6.71
10/21/05	21:22:40	6.71
10/22/05	00:52:40	6.87
10/22/05	04:22:40	6.71
10/22/05	07:52:40	6.71
10/22/05	11:22:40	6.71
10/22/05	14:52:40	8.42
10/22/05	18:22:40	6.24
10/22/05	21:52:40	5.93
10/23/05	01:22:40	6.56
10/23/05	04:52:40	5.93
10/23/05	08:22:40	3.73
10/23/05	11:52:40	2.62
10/23/05	15:22:40	7.49
10/23/05	18:52:40	7.49
10/23/05	22:22:40	7.49
10/24/05	01:52:40	7.49
10/24/05	05:22:40	7.49
10/24/05	08:52:40	7.49
10/24/05	12:22:40	6.40
10/24/05	15:52:40	4.36
10/24/05	19:22:40	6.87
10/24/05	22:52:40	7.18
10/25/05	02:22:40	6.71
10/25/05	05:52:40	7.33
10/25/05	09:22:40	7.33
10/25/05	12:52:40	4.36
10/25/05	16:22:40	6.40
10/25/05	19:52:40	6.40
10/25/05	23:22:40	6.40
10/26/05	02:52:40	6.40
10/26/05	06:22:40	6.87
10/26/05	09:52:40	4.83
10/26/05	13:22:40	5.77
10/26/05	16:52:40	7.02
10/26/05	20:22:40	7.02
10/26/05	23:52:40	7.18
10/27/05	03:22:40	6.87
10/27/05	06:52:40	7.02
10/27/05	10:22:40	3.57
10/27/05	13:52:40	17.95
