Date	Time	Temperature  (*C)
07/31/06	13:20:38	22.24
07/31/06	14:20:38	12.98
07/31/06	15:20:38	13.28
07/31/06	16:20:38	6.48
07/31/06	17:20:38	6.64
07/31/06	18:20:38	6.64
07/31/06	19:20:38	6.64
07/31/06	20:20:38	6.48
07/31/06	21:20:38	6.48
07/31/06	22:20:38	6.48
07/31/06	23:20:38	6.17
08/01/06	00:20:38	6.17
08/01/06	01:20:38	6.33
08/01/06	02:20:38	6.33
08/01/06	03:20:38	6.64
08/01/06	04:20:38	6.64
08/01/06	05:20:38	6.79
08/01/06	06:20:38	6.79
08/01/06	07:20:38	6.64
08/01/06	08:20:38	6.48
08/01/06	09:20:38	6.48
08/01/06	10:20:38	6.33
08/01/06	11:20:38	6.33
08/01/06	12:20:38	6.33
08/01/06	13:20:38	6.33
08/01/06	14:20:38	6.33
08/01/06	15:20:38	12.20
08/01/06	16:20:38	7.26
08/01/06	17:20:38	7.41
08/01/06	18:20:38	7.41
08/01/06	19:20:38	7.57
08/01/06	20:20:38	7.72
08/01/06	21:20:38	7.41
08/01/06	22:20:38	7.57
08/01/06	23:20:38	7.41
08/02/06	00:20:38	7.41
08/02/06	01:20:38	7.41
08/02/06	02:20:38	7.57
08/02/06	03:20:38	7.72
08/02/06	04:20:38	7.88
08/02/06	05:20:38	7.72
08/02/06	06:20:38	7.72
08/02/06	07:20:38	7.72
08/02/06	08:20:38	11.74
08/02/06	09:20:38	11.28
08/02/06	10:20:38	11.74
08/02/06	11:20:38	12.82
08/02/06	12:20:38	12.98
08/02/06	13:20:38	12.04
08/02/06	14:20:38	12.51
08/02/06	15:20:38	12.67
08/02/06	16:20:38	12.82
08/02/06	17:20:38	6.02
08/02/06	18:20:38	5.86
08/02/06	19:20:38	5.86
08/02/06	20:20:38	6.02
08/02/06	21:20:38	6.02
08/02/06	22:20:38	6.02
08/02/06	23:20:38	5.86
08/03/06	00:20:38	5.86
08/03/06	01:20:38	5.86
08/03/06	02:20:38	5.86
08/03/06	03:20:38	5.86
08/03/06	04:20:38	5.86
08/03/06	05:20:38	6.02
08/03/06	06:20:38	6.02
08/03/06	07:20:38	6.02
08/03/06	08:20:38	6.02
08/03/06	09:20:38	6.02
08/03/06	10:20:38	6.02
08/03/06	11:20:38	6.02
08/03/06	12:20:38	10.04
08/03/06	13:20:38	13.90
08/03/06	14:20:38	6.17
08/03/06	15:20:38	6.17
08/03/06	16:20:38	6.17
08/03/06	17:20:38	6.17
08/03/06	18:20:38	6.17
08/03/06	19:20:38	6.17
08/03/06	20:20:38	6.17
08/03/06	21:20:38	6.17
08/03/06	22:20:38	6.17
08/03/06	23:20:38	6.17
08/04/06	00:20:38	6.17
08/04/06	01:20:38	6.17
08/04/06	02:20:38	6.17
08/04/06	03:20:38	6.17
08/04/06	04:20:38	6.17
08/04/06	05:20:38	6.17
08/04/06	06:20:38	6.17
08/04/06	07:20:38	6.17
08/04/06	08:20:38	12.82
08/04/06	09:20:38	17.52
08/04/06	10:20:38	17.68
08/04/06	11:20:38	17.84
08/04/06	12:20:38	18.49
08/04/06	13:20:38	18.98
08/04/06	14:20:38	19.30
08/04/06	15:20:38	19.78
