Date	Time	Temperature  (*C)
06/05/06	12:10:32	21.25
06/05/06	13:10:32	22.58
06/05/06	14:10:32	6.14
06/05/06	15:10:32	4.90
06/05/06	16:10:32	5.06
06/05/06	17:10:32	4.90
06/05/06	18:10:32	5.21
06/05/06	19:10:32	4.90
06/05/06	20:10:32	5.21
06/05/06	21:10:32	5.06
06/05/06	22:10:32	4.90
06/05/06	23:10:32	5.06
06/06/06	00:10:32	5.06
06/06/06	01:10:32	5.06
06/06/06	02:10:32	5.06
06/06/06	03:10:32	5.21
06/06/06	04:10:32	5.21
06/06/06	05:10:32	5.06
06/06/06	06:10:32	5.06
06/06/06	07:10:32	5.21
06/06/06	08:10:32	5.21
06/06/06	09:10:32	9.86
06/06/06	10:10:32	9.71
06/06/06	11:10:32	9.55
06/06/06	12:10:32	9.86
06/06/06	13:10:32	9.71
06/06/06	14:10:32	10.33
06/06/06	15:10:32	10.33
06/06/06	16:10:32	10.64
06/06/06	17:10:32	10.64
06/06/06	18:10:32	10.17
06/06/06	19:10:32	10.17
06/06/06	20:10:32	4.74
06/06/06	21:10:32	4.74
06/06/06	22:10:32	4.74
06/06/06	23:10:32	4.74
06/07/06	00:10:32	4.74
06/07/06	01:10:32	4.74
06/07/06	02:10:32	4.90
06/07/06	03:10:32	4.74
06/07/06	04:10:32	4.74
06/07/06	05:10:32	4.74
06/07/06	06:10:32	4.74
06/07/06	07:10:32	4.74
06/07/06	08:10:32	4.74
06/07/06	09:10:32	4.74
06/07/06	10:10:32	4.74
06/07/06	11:10:32	4.74
06/07/06	12:10:32	4.74
06/07/06	13:10:32	4.74
06/07/06	14:10:32	23.60
06/07/06	15:10:32	20.59
06/07/06	16:10:32	5.52
06/07/06	17:10:32	5.52
06/07/06	18:10:32	5.21
06/07/06	19:10:32	5.21
06/07/06	20:10:32	5.21
06/07/06	21:10:32	5.21
06/07/06	22:10:32	5.52
06/07/06	23:10:32	5.52
06/08/06	00:10:32	5.52
06/08/06	01:10:32	5.52
06/08/06	02:10:32	5.52
06/08/06	03:10:32	5.52
06/08/06	04:10:32	5.68
06/08/06	05:10:32	5.68
06/08/06	06:10:32	5.37
06/08/06	07:10:32	5.06
06/08/06	08:10:32	5.06
06/08/06	09:10:32	12.49
06/08/06	10:10:32	10.33
06/08/06	11:10:32	10.48
06/08/06	12:10:32	10.95
06/08/06	13:10:32	12.03
06/08/06	14:10:32	12.96
