Date	Time	Temperature  (*C)
06/05/06	12:55:05	21.58
06/05/06	13:55:05	17.99
06/05/06	14:55:05	12.16
06/05/06	15:55:05	12.00
06/05/06	16:55:05	4.99
06/05/06	17:55:05	5.15
06/05/06	18:55:05	5.15
06/05/06	19:55:05	5.31
06/05/06	20:55:05	5.15
06/05/06	21:55:05	5.15
06/05/06	22:55:05	5.15
06/05/06	23:55:05	5.15
06/06/06	00:55:05	4.99
06/06/06	01:55:05	4.99
06/06/06	02:55:05	5.15
06/06/06	03:55:05	4.99
06/06/06	04:55:05	4.99
06/06/06	05:55:05	4.99
06/06/06	06:55:05	5.15
06/06/06	07:55:05	5.15
06/06/06	08:55:05	5.31
06/06/06	09:55:05	5.15
06/06/06	10:55:05	5.15
06/06/06	11:55:05	5.15
06/06/06	12:55:05	10.91
06/06/06	13:55:05	11.53
06/06/06	14:55:05	12.16
06/06/06	15:55:05	11.84
06/06/06	16:55:05	13.71
06/06/06	17:55:05	4.68
06/06/06	18:55:05	4.68
06/06/06	19:55:05	4.68
06/06/06	20:55:05	4.68
06/06/06	21:55:05	4.68
06/06/06	22:55:05	4.68
06/06/06	23:55:05	4.68
06/07/06	00:55:05	4.68
06/07/06	01:55:05	4.68
06/07/06	02:55:05	4.68
06/07/06	03:55:05	4.68
06/07/06	04:55:05	4.68
06/07/06	05:55:05	4.68
06/07/06	06:55:05	4.68
06/07/06	07:55:05	4.68
06/07/06	08:55:05	11.07
06/07/06	09:55:05	10.44
06/07/06	10:55:05	9.51
06/07/06	11:55:05	9.82
06/07/06	12:55:05	10.91
06/07/06	13:55:05	11.53
06/07/06	14:55:05	12.78
06/07/06	15:55:05	12.31
06/07/06	16:55:05	6.09
06/07/06	17:55:05	5.31
06/07/06	18:55:05	5.15
06/07/06	19:55:05	5.15
06/07/06	20:55:05	5.31
06/07/06	21:55:05	5.15
06/07/06	22:55:05	5.15
06/07/06	23:55:05	5.15
06/08/06	00:55:05	5.15
06/08/06	01:55:05	5.15
06/08/06	02:55:05	5.15
06/08/06	03:55:05	5.15
06/08/06	04:55:05	5.15
06/08/06	05:55:05	5.15
06/08/06	06:55:05	5.15
06/08/06	07:55:05	5.15
06/08/06	08:55:05	5.15
06/08/06	09:55:05	5.15
06/08/06	10:55:05	5.15
06/08/06	11:55:05	9.51
06/08/06	12:55:05	18.15
06/08/06	13:55:05	5.46
06/08/06	14:55:05	4.68
06/08/06	15:55:05	4.68
06/08/06	16:55:05	4.68
06/08/06	17:55:05	4.68
06/08/06	18:55:05	4.68
06/08/06	19:55:05	4.68
06/08/06	20:55:05	4.68
06/08/06	21:55:05	4.68
06/08/06	22:55:05	4.68
06/08/06	23:55:05	4.68
06/09/06	00:55:05	4.83
06/09/06	01:55:05	4.68
06/09/06	02:55:05	4.68
06/09/06	03:55:05	4.68
06/09/06	04:55:05	4.68
06/09/06	05:55:05	4.68
06/09/06	06:55:05	4.68
06/09/06	07:55:05	4.68
06/09/06	08:55:05	13.09
06/09/06	09:55:05	11.84
06/09/06	10:55:05	11.38
06/09/06	11:55:05	12.31
06/09/06	12:55:05	13.71
06/09/06	13:55:05	14.33
06/09/06	14:55:05	15.92
06/09/06	15:55:05	20.59
06/09/06	16:55:05	4.83
06/09/06	17:55:05	4.83
06/09/06	18:55:05	4.83
06/09/06	19:55:05	4.83
06/09/06	20:55:05	4.83
06/09/06	21:55:05	4.83
06/09/06	22:55:05	4.83
06/09/06	23:55:05	4.99
06/10/06	00:55:05	4.83
06/10/06	01:55:05	4.83
06/10/06	02:55:05	4.83
06/10/06	03:55:05	4.83
06/10/06	04:55:05	4.83
06/10/06	05:55:05	4.83
06/10/06	06:55:05	4.83
06/10/06	07:55:05	4.83
06/10/06	08:55:05	4.83
06/10/06	09:55:05	4.83
06/10/06	10:55:05	4.83
06/10/06	11:55:05	4.99
06/10/06	12:55:05	4.99
06/10/06	13:55:05	17.83
06/10/06	14:55:05	4.83
06/10/06	15:55:05	4.83
06/10/06	16:55:05	4.83
06/10/06	17:55:05	4.83
06/10/06	18:55:05	4.83
06/10/06	19:55:05	4.83
06/10/06	20:55:05	4.83
06/10/06	21:55:05	4.83
06/10/06	22:55:05	4.83
06/10/06	23:55:05	4.83
06/11/06	00:55:05	4.83
06/11/06	01:55:05	4.83
06/11/06	02:55:05	4.83
06/11/06	03:55:05	4.83
06/11/06	04:55:05	4.83
06/11/06	05:55:05	4.83
06/11/06	06:55:05	4.83
06/11/06	07:55:05	4.83
06/11/06	08:55:05	16.55
06/11/06	09:55:05	14.81
06/11/06	10:55:05	14.49
06/11/06	11:55:05	14.96
06/11/06	12:55:05	15.76
06/11/06	13:55:05	16.08
06/11/06	14:55:05	17.99
06/11/06	15:55:05	18.31
06/11/06	16:55:05	5.31
06/11/06	17:55:05	5.15
06/11/06	18:55:05	5.15
06/11/06	19:55:05	5.15
06/11/06	20:55:05	5.31
06/11/06	21:55:05	5.31
06/11/06	22:55:05	5.31
06/11/06	23:55:05	5.31
06/12/06	00:55:05	5.31
06/12/06	01:55:05	5.31
06/12/06	02:55:05	5.31
06/12/06	03:55:05	5.31
06/12/06	04:55:05	5.31
06/12/06	05:55:05	5.31
06/12/06	06:55:05	5.31
06/12/06	07:55:05	5.31
06/12/06	08:55:05	5.31
06/12/06	09:55:05	5.46
06/12/06	10:55:05	5.46
06/12/06	11:55:05	5.31
06/12/06	12:55:05	5.31
06/12/06	13:55:05	22.92
06/12/06	14:55:05	5.15
06/12/06	15:55:05	5.15
06/12/06	16:55:05	5.15
06/12/06	17:55:05	5.15
06/12/06	18:55:05	5.15
06/12/06	19:55:05	5.15
06/12/06	20:55:05	5.15
06/12/06	21:55:05	5.15
06/12/06	22:55:05	5.15
06/12/06	23:55:05	5.15
06/13/06	00:55:05	5.15
06/13/06	01:55:05	5.15
06/13/06	02:55:05	5.31
06/13/06	03:55:05	5.31
06/13/06	04:55:05	5.31
06/13/06	05:55:05	5.15
06/13/06	06:55:05	5.15
06/13/06	07:55:05	11.38
06/13/06	08:55:05	18.64
06/13/06	09:55:05	19.46
06/13/06	10:55:05	19.94
06/13/06	11:55:05	20.43
06/13/06	12:55:05	21.25
