Date	Time	Temperature  (*C)
09/11/06	09:41:22	22.27
09/11/06	10:41:22	22.43
09/11/06	11:41:22	22.43
09/11/06	12:41:22	21.93
09/11/06	13:41:22	21.77
09/11/06	14:41:22	21.77
09/11/06	15:41:22	21.27
09/11/06	16:41:22	20.78
09/11/06	17:41:22	20.29
09/11/06	18:41:22	19.64
09/11/06	19:41:22	19.16
09/11/06	20:41:22	18.84
09/11/06	21:41:22	19.16
09/11/06	22:41:22	19.97
09/11/06	23:41:22	20.13
09/12/06	00:41:22	20.13
09/12/06	01:41:22	20.46
09/12/06	02:41:22	20.78
09/12/06	03:41:22	21.11
09/12/06	04:41:22	21.11
09/12/06	05:41:22	21.27
09/12/06	06:41:22	21.27
09/12/06	07:41:22	21.27
09/12/06	08:41:22	21.44
09/12/06	09:41:22	21.11
09/12/06	10:41:22	20.62
09/12/06	11:41:22	20.78
09/12/06	12:41:22	18.52
09/12/06	13:41:22	13.78
09/12/06	14:41:22	11.92
09/12/06	15:41:22	6.99
09/12/06	16:41:22	7.14
09/12/06	17:41:22	7.29
09/12/06	18:41:22	7.14
09/12/06	19:41:22	7.14
09/12/06	20:41:22	7.14
09/12/06	21:41:22	7.14
09/12/06	22:41:22	7.29
09/12/06	23:41:22	7.14
09/13/06	00:41:22	6.99
09/13/06	01:41:22	6.99
09/13/06	02:41:22	6.99
09/13/06	03:41:22	7.14
09/13/06	04:41:22	6.99
09/13/06	05:41:22	7.14
09/13/06	06:41:22	7.14
09/13/06	07:41:22	7.14
09/13/06	08:41:22	10.07
09/13/06	09:41:22	10.84
09/13/06	10:41:22	11.62
09/13/06	11:41:22	11.77
09/13/06	12:41:22	13.47
09/13/06	13:41:22	13.62
09/13/06	14:41:22	13.93
09/13/06	15:41:22	14.55
09/13/06	16:41:22	15.66
09/13/06	17:41:22	14.71
09/13/06	18:41:22	13.62
09/13/06	19:41:22	12.54
09/13/06	20:41:22	11.46
09/13/06	21:41:22	10.69
09/13/06	22:41:22	10.07
09/13/06	23:41:22	9.14
09/14/06	00:41:22	8.99
09/14/06	01:41:22	8.53
09/14/06	02:41:22	7.76
09/14/06	03:41:22	7.45
09/14/06	04:41:22	8.22
09/14/06	05:41:22	9.14
09/14/06	06:41:22	9.92
09/14/06	07:41:22	10.69
09/14/06	08:41:22	12.39
09/14/06	09:41:22	12.69
09/14/06	10:41:22	13.78
09/14/06	11:41:22	15.02
09/14/06	12:41:22	15.18
09/14/06	13:41:22	16.44
09/14/06	14:41:22	16.76
09/14/06	15:41:22	6.83
09/14/06	16:41:22	6.68
09/14/06	17:41:22	6.68
09/14/06	18:41:22	6.68
09/14/06	19:41:22	6.68
09/14/06	20:41:22	6.68
09/14/06	21:41:22	6.68
09/14/06	22:41:22	6.68
09/14/06	23:41:22	6.68
09/15/06	00:41:22	6.68
09/15/06	01:41:22	6.68
09/15/06	02:41:22	6.68
09/15/06	03:41:22	6.68
09/15/06	04:41:22	6.68
09/15/06	05:41:22	6.68
09/15/06	06:41:22	6.68
09/15/06	07:41:22	6.83
09/15/06	08:41:22	6.68
09/15/06	09:41:22	6.83
09/15/06	10:41:22	6.83
09/15/06	11:41:22	6.83
09/15/06	12:41:22	8.07
09/15/06	13:41:22	13.16
09/15/06	14:41:22	16.28
09/15/06	15:41:22	6.83
09/15/06	16:41:22	6.83
09/15/06	17:41:22	6.83
09/15/06	18:41:22	6.83
09/15/06	19:41:22	6.83
09/15/06	20:41:22	6.99
09/15/06	21:41:22	6.83
09/15/06	22:41:22	6.83
09/15/06	23:41:22	6.99
09/16/06	00:41:22	6.99
09/16/06	01:41:22	6.99
09/16/06	02:41:22	6.99
09/16/06	03:41:22	6.99
09/16/06	04:41:22	6.99
09/16/06	05:41:22	6.99
09/16/06	06:41:22	6.99
09/16/06	07:41:22	6.99
09/16/06	08:41:22	6.83
09/16/06	09:41:22	11.62
09/16/06	10:41:22	12.69
09/16/06	11:41:22	13.78
09/16/06	12:41:22	14.55
09/16/06	13:41:22	14.08
09/16/06	14:41:22	15.02
09/16/06	15:41:22	14.39
09/16/06	16:41:22	14.71
09/16/06	17:41:22	13.78
09/16/06	18:41:22	14.24
09/16/06	19:41:22	13.78
09/16/06	20:41:22	13.01
09/16/06	21:41:22	12.54
09/16/06	22:41:22	12.54
09/16/06	23:41:22	13.93
09/17/06	00:41:22	14.08
09/17/06	01:41:22	13.31
09/17/06	02:41:22	13.47
09/17/06	03:41:22	13.31
09/17/06	04:41:22	12.54
09/17/06	05:41:22	12.23
09/17/06	06:41:22	10.54
