Date	Time	Temperature  (*C)
09/18/06	13:57:54	18.78
09/18/06	14:57:54	6.44
09/18/06	15:57:54	6.44
09/18/06	16:57:54	6.44
09/18/06	17:57:54	6.44
09/18/06	18:57:54	6.44
09/18/06	19:57:54	6.44
09/18/06	20:57:54	6.44
09/18/06	21:57:54	6.28
09/18/06	22:57:54	6.28
09/18/06	23:57:54	6.44
09/19/06	00:57:54	6.44
09/19/06	01:57:54	6.44
09/19/06	02:57:54	6.44
09/19/06	03:57:54	6.44
09/19/06	04:57:54	6.44
09/19/06	05:57:54	6.44
09/19/06	06:57:54	6.44
09/19/06	07:57:54	6.44
09/19/06	08:57:54	9.85
09/19/06	09:57:54	10.47
09/19/06	10:57:54	10.78
09/19/06	11:57:54	11.24
09/19/06	12:57:54	11.55
09/19/06	13:57:54	10.47
09/19/06	14:57:54	10.47
09/19/06	15:57:54	10.47
09/19/06	16:57:54	6.28
09/19/06	17:57:54	6.28
09/19/06	18:57:54	6.28
09/19/06	19:57:54	6.28
09/19/06	20:57:54	6.28
09/19/06	21:57:54	6.28
09/19/06	22:57:54	6.28
09/19/06	23:57:54	6.28
09/20/06	00:57:54	6.28
09/20/06	01:57:54	6.13
09/20/06	02:57:54	6.13
09/20/06	03:57:54	6.28
09/20/06	04:57:54	6.28
09/20/06	05:57:54	6.28
09/20/06	06:57:54	6.28
09/20/06	07:57:54	6.28
09/20/06	08:57:54	6.28
09/20/06	09:57:54	6.13
09/20/06	10:57:54	6.13
09/20/06	11:57:54	10.47
09/20/06	12:57:54	10.47
09/20/06	13:57:54	11.55
09/20/06	14:57:54	11.71
09/20/06	15:57:54	11.09
09/20/06	16:57:54	6.59
09/20/06	17:57:54	6.59
09/20/06	18:57:54	6.59
09/20/06	19:57:54	6.59
09/20/06	20:57:54	6.44
09/20/06	21:57:54	6.44
09/20/06	22:57:54	6.59
09/20/06	23:57:54	6.59
09/21/06	00:57:54	6.59
09/21/06	01:57:54	6.44
09/21/06	02:57:54	6.44
09/21/06	03:57:54	6.44
09/21/06	04:57:54	6.59
09/21/06	05:57:54	6.59
09/21/06	06:57:54	6.75
09/21/06	07:57:54	6.59
09/21/06	08:57:54	6.59
09/21/06	09:57:54	6.59
09/21/06	10:57:54	17.97
09/21/06	11:57:54	21.21
09/21/06	12:57:54	22.36
09/21/06	13:57:54	21.69
09/21/06	14:57:54	21.86
09/21/06	15:57:54	22.19
09/21/06	16:57:54	21.86
09/21/06	17:57:54	21.53
