Date Time	Temperature  (*C)
10/10/06 	11:24:19.0	22.19
10/10/06 	12:24:19.0	19.91
10/10/06 	13:24:19.0	19.10
10/10/06 	14:24:19.0	16.38
10/10/06 	15:24:19.0	14.81
10/10/06 	16:24:19.0	5.66
10/10/06 	17:24:19.0	5.66
10/10/06 	18:24:19.0	5.66
10/10/06 	19:24:19.0	5.66
10/10/06 	20:24:19.0	5.66
10/10/06 	21:24:19.0	5.66
10/10/06 	22:24:19.0	5.66
10/10/06 	23:24:19.0	5.66
10/11/06 	00:24:19.0	5.66
10/11/06 	01:24:19.0	5.66
10/11/06 	02:24:19.0	5.66
10/11/06 	03:24:19.0	5.66
10/11/06 	04:24:19.0	5.66
10/11/06 	05:24:19.0	5.66
10/11/06 	06:24:19.0	5.66
10/11/06 	07:24:19.0	5.66
10/11/06 	08:24:19.0	5.66
10/11/06 	09:24:19.0	5.66
10/11/06 	10:24:19.0	11.24
10/11/06 	11:24:19.0	10.16
10/11/06 	12:24:19.0	10.31
10/11/06 	13:24:19.0	10.78
10/11/06 	14:24:19.0	11.09
10/11/06 	15:24:19.0	10.47
10/11/06 	16:24:19.0	10.78
10/11/06 	17:24:19.0	11.71
10/11/06 	18:24:19.0	6.28
10/11/06 	19:24:19.0	6.28
10/11/06 	20:24:19.0	6.44
10/11/06 	21:24:19.0	6.28
10/11/06 	22:24:19.0	6.44
10/11/06 	23:24:19.0	6.44
10/12/06 	00:24:19.0	6.28
10/12/06 	01:24:19.0	6.44
10/12/06 	02:24:19.0	6.44
10/12/06 	03:24:19.0	6.28
10/12/06 	04:24:19.0	6.28
10/12/06 	05:24:19.0	6.28
10/12/06 	06:24:19.0	6.44
10/12/06 	07:24:19.0	6.28
10/12/06 	08:24:19.0	6.28
10/12/06 	09:24:19.0	6.28
10/12/06 	10:24:19.0	6.28
10/12/06 	11:24:19.0	6.28
10/12/06 	12:24:19.0	7.99
10/12/06 	13:24:19.0	7.52
10/12/06 	14:24:19.0	7.06
10/12/06 	15:24:19.0	7.52
10/12/06 	16:24:19.0	8.14
10/12/06 	17:24:19.0	7.99
10/12/06 	18:24:19.0	6.91
10/12/06 	19:24:19.0	6.59
10/12/06 	20:24:19.0	6.75
10/12/06 	21:24:19.0	6.75
10/12/06 	22:24:19.0	6.75
10/12/06 	23:24:19.0	6.59
10/13/06 	00:24:19.0	6.13
10/13/06 	01:24:19.0	5.97
10/13/06 	02:24:19.0	5.51
10/13/06 	03:24:19.0	4.88
10/13/06 	04:24:19.0	4.88
10/13/06 	05:24:19.0	4.72
10/13/06 	06:24:19.0	4.57
10/13/06 	07:24:19.0	4.57
10/13/06 	08:24:19.0	5.04
10/13/06 	09:24:19.0	5.35
10/13/06 	10:24:19.0	5.66
10/13/06 	11:24:19.0	6.13
10/13/06 	12:24:19.0	6.44
10/13/06 	13:24:19.0	6.13
10/13/06 	14:24:19.0	6.59
10/13/06 	15:24:19.0	7.22
10/13/06 	16:24:19.0	5.82
10/13/06 	17:24:19.0	5.97
10/13/06 	18:24:19.0	5.97
10/13/06 	19:24:19.0	5.97
10/13/06 	20:24:19.0	5.97
10/13/06 	21:24:19.0	5.66
10/13/06 	22:24:19.0	5.66
10/13/06 	23:24:19.0	5.66
10/14/06 	00:24:19.0	5.66
10/14/06 	01:24:19.0	5.66
10/14/06 	02:24:19.0	5.66
10/14/06 	03:24:19.0	5.66
10/14/06 	04:24:19.0	5.82
10/14/06 	05:24:19.0	6.13
10/14/06 	06:24:19.0	6.28
10/14/06 	07:24:19.0	6.44
10/14/06 	08:24:19.0	6.28
10/14/06 	09:24:19.0	6.28
10/14/06 	10:24:19.0	7.37
10/14/06 	11:24:19.0	6.28
10/14/06 	12:24:19.0	6.75
10/14/06 	13:24:19.0	7.06
10/14/06 	14:24:19.0	7.06
10/14/06 	15:24:19.0	7.06
10/14/06 	16:24:19.0	7.06
10/14/06 	17:24:19.0	7.06
10/14/06 	18:24:19.0	7.52
10/14/06 	19:24:19.0	6.44
10/14/06 	20:24:19.0	6.59
10/14/06 	21:24:19.0	6.44
10/14/06 	22:24:19.0	5.97
10/14/06 	23:24:19.0	5.82
10/15/06 	00:24:19.0	5.82
10/15/06 	01:24:19.0	5.82
10/15/06 	02:24:19.0	5.82
10/15/06 	03:24:19.0	5.82
10/15/06 	04:24:19.0	6.13
10/15/06 	05:24:19.0	6.44
10/15/06 	06:24:19.0	6.75
10/15/06 	07:24:19.0	6.44
10/15/06 	08:24:19.0	6.59
10/15/06 	09:24:19.0	6.75
10/15/06 	10:24:19.0	6.75
10/15/06 	11:24:19.0	5.82
10/15/06 	12:24:19.0	7.37
10/15/06 	13:24:19.0	10.47
10/15/06 	14:24:19.0	11.09
10/15/06 	15:24:19.0	12.48
10/15/06 	16:24:19.0	6.44
10/15/06 	17:24:19.0	6.44
10/15/06 	18:24:19.0	6.44
10/15/06 	19:24:19.0	6.44
10/15/06 	20:24:19.0	6.59
10/15/06 	21:24:19.0	6.44
10/15/06 	22:24:19.0	6.75
10/15/06 	23:24:19.0	6.91
10/16/06 	00:24:19.0	6.91
10/16/06 	01:24:19.0	6.59
10/16/06 	02:24:19.0	6.44
10/16/06 	03:24:19.0	6.44
10/16/06 	04:24:19.0	6.59
10/16/06 	05:24:19.0	6.59
10/16/06 	06:24:19.0	6.75
10/16/06 	07:24:19.0	6.75
10/16/06 	08:24:19.0	7.68
10/16/06 	09:24:19.0	5.66
10/16/06 	10:24:19.0	5.82
10/16/06 	11:24:19.0	6.13
10/16/06 	12:24:19.0	7.06
10/16/06 	13:24:19.0	7.06
10/16/06 	14:24:19.0	7.83
10/16/06 	15:24:19.0	7.99
10/16/06 	16:24:19.0	9.54
10/16/06 	17:24:19.0	8.14
10/16/06 	18:24:19.0	7.68
10/16/06 	19:24:19.0	4.57
10/16/06 	20:24:19.0	3.62
10/16/06 	21:24:19.0	2.83
10/16/06 	22:24:19.0	3.77
10/16/06 	23:24:19.0	4.41
10/17/06 	00:24:19.0	4.25
10/17/06 	01:24:19.0	4.25
10/17/06 	02:24:19.0	4.09
10/17/06 	03:24:19.0	4.25
10/17/06 	04:24:19.0	4.41
10/17/06 	05:24:19.0	4.57
10/17/06 	06:24:19.0	4.57
10/17/06 	07:24:19.0	5.04
10/17/06 	08:24:19.0	9.38
10/17/06 	09:24:19.0	7.06
10/17/06 	10:24:19.0	7.06
10/17/06 	11:24:19.0	9.38
10/17/06 	12:24:19.0	19.74
10/17/06 	13:24:19.0	20.39
10/17/06 	14:24:19.0	21.04
