Date 	Time	Temperature  (*C)
10/10/06 	10:18:35.0	21.72
10/10/06 	11:18:35.0	19.74
10/10/06 	12:18:35.0	18.76
10/10/06 	13:18:35.0	16.34
10/10/06 	14:18:35.0	14.75
10/10/06 	15:18:35.0	13.81
10/10/06 	16:18:35.0	5.71
10/10/06 	17:18:35.0	5.71
10/10/06 	18:18:35.0	5.71
10/10/06 	19:18:35.0	5.71
10/10/06 	20:18:35.0	5.71
10/10/06 	21:18:35.0	5.71
10/10/06 	22:18:35.0	5.71
10/10/06 	23:18:35.0	5.71
10/11/06 	00:18:35.0	5.71
10/11/06 	01:18:35.0	5.71
10/11/06 	02:18:35.0	5.71
10/11/06 	03:18:35.0	5.71
10/11/06 	04:18:35.0	5.71
10/11/06 	05:18:35.0	5.71
10/11/06 	06:18:35.0	5.71
10/11/06 	07:18:35.0	5.71
10/11/06 	08:18:35.0	5.71
10/11/06 	09:18:35.0	5.71
10/11/06 	10:18:35.0	5.71
10/11/06 	11:18:35.0	5.71
10/11/06 	12:18:35.0	10.38
10/11/06 	13:18:35.0	11.01
10/11/06 	14:18:35.0	9.76
10/11/06 	15:18:35.0	9.76
10/11/06 	16:18:35.0	6.33
10/11/06 	17:18:35.0	6.17
10/11/06 	18:18:35.0	6.33
10/11/06 	19:18:35.0	6.17
10/11/06 	20:18:35.0	6.17
10/11/06 	21:18:35.0	6.17
10/11/06 	22:18:35.0	6.33
10/11/06 	23:18:35.0	6.33
10/12/06 	00:18:35.0	6.33
10/12/06 	01:18:35.0	6.17
10/12/06 	02:18:35.0	6.33
10/12/06 	03:18:35.0	6.33
10/12/06 	04:18:35.0	6.33
10/12/06 	05:18:35.0	6.33
10/12/06 	06:18:35.0	6.33
10/12/06 	07:18:35.0	6.33
10/12/06 	08:18:35.0	6.33
10/12/06 	09:18:35.0	6.02
10/12/06 	10:18:35.0	6.17
10/12/06 	11:18:35.0	6.49
10/12/06 	12:18:35.0	6.64
10/12/06 	13:18:35.0	6.80
10/12/06 	14:18:35.0	7.12
10/12/06 	15:18:35.0	7.58
10/12/06 	16:18:35.0	8.05
10/12/06 	17:18:35.0	6.80
