Date Time	Temperature  (*C)
10/10/06 	10:37:45.0	20.97
10/10/06 	11:37:45.0	19.03
10/10/06 	12:37:45.0	18.54
10/10/06 	13:37:45.0	7.16
10/10/06 	14:37:45.0	7.01
10/10/06 	15:37:45.0	7.01
10/10/06 	16:37:45.0	7.01
10/10/06 	17:37:45.0	7.01
10/10/06 	18:37:45.0	7.01
10/10/06 	19:37:45.0	6.85
10/10/06 	20:37:45.0	6.85
10/10/06 	21:37:45.0	6.85
10/10/06 	22:37:45.0	6.85
10/10/06 	23:37:45.0	6.85
10/11/06 	00:37:45.0	6.85
10/11/06 	01:37:45.0	6.85
10/11/06 	02:37:45.0	6.85
10/11/06 	03:37:45.0	6.85
10/11/06 	04:37:45.0	6.85
10/11/06 	05:37:45.0	6.85
10/11/06 	06:37:45.0	6.85
10/11/06 	07:37:45.0	6.85
10/11/06 	08:37:45.0	9.62
10/11/06 	09:37:45.0	9.93
10/11/06 	10:37:45.0	9.78
10/11/06 	11:37:45.0	9.78
10/11/06 	12:37:45.0	9.78
10/11/06 	13:37:45.0	9.62
10/11/06 	14:37:45.0	9.32
10/11/06 	15:37:45.0	9.32
10/11/06 	16:37:45.0	9.32
10/11/06 	17:37:45.0	8.85
10/11/06 	18:37:45.0	8.39
10/11/06 	19:37:45.0	7.31
10/11/06 	20:37:45.0	6.07
10/11/06 	21:37:45.0	5.61
10/11/06 	22:37:45.0	5.29
10/11/06 	23:37:45.0	4.68
10/12/06 	00:37:45.0	4.52
10/12/06 	01:37:45.0	4.21
10/12/06 	02:37:45.0	3.89
10/12/06 	03:37:45.0	3.89
10/12/06 	04:37:45.0	3.89
10/12/06 	05:37:45.0	4.05
10/12/06 	06:37:45.0	4.21
10/12/06 	07:37:45.0	4.99
10/12/06 	08:37:45.0	5.92
10/12/06 	09:37:45.0	6.23
10/12/06 	10:37:45.0	6.23
10/12/06 	11:37:45.0	6.38
10/12/06 	12:37:45.0	6.38
10/12/06 	13:37:45.0	6.69
10/12/06 	14:37:45.0	7.01
10/12/06 	15:37:45.0	7.31
10/12/06 	16:37:45.0	7.47
10/12/06 	17:37:45.0	6.54
10/12/06 	18:37:45.0	6.38
10/12/06 	19:37:45.0	6.54
10/12/06 	20:37:45.0	6.54
10/12/06 	21:37:45.0	6.69
10/12/06 	22:37:45.0	6.54
10/12/06 	23:37:45.0	6.07
10/13/06 	00:37:45.0	5.92
10/13/06 	01:37:45.0	5.45
10/13/06 	02:37:45.0	4.83
10/13/06 	03:37:45.0	4.83
10/13/06 	04:37:45.0	4.68
10/13/06 	05:37:45.0	4.36
10/13/06 	06:37:45.0	4.52
10/13/06 	07:37:45.0	4.52
10/13/06 	08:37:45.0	4.83
10/13/06 	09:37:45.0	5.14
10/13/06 	10:37:45.0	5.45
10/13/06 	11:37:45.0	6.07
10/13/06 	12:37:45.0	5.92
10/13/06 	13:37:45.0	5.61
10/13/06 	14:37:45.0	5.76
10/13/06 	15:37:45.0	5.61
10/13/06 	16:37:45.0	6.07
10/13/06 	17:37:45.0	7.31
10/13/06 	18:37:45.0	7.31
10/13/06 	19:37:45.0	7.31
10/13/06 	20:37:45.0	7.31
10/13/06 	21:37:45.0	7.31
10/13/06 	22:37:45.0	7.31
10/13/06 	23:37:45.0	7.31
10/14/06 	00:37:45.0	7.31
10/14/06 	01:37:45.0	7.31
10/14/06 	02:37:45.0	7.47
10/14/06 	03:37:45.0	7.47
10/14/06 	04:37:45.0	7.47
10/14/06 	05:37:45.0	7.31
10/14/06 	06:37:45.0	7.47
10/14/06 	07:37:45.0	7.31
10/14/06 	08:37:45.0	7.31
10/14/06 	09:37:45.0	7.47
10/14/06 	10:37:45.0	7.31
10/14/06 	11:37:45.0	7.31
10/14/06 	12:37:45.0	7.31
10/14/06 	13:37:45.0	7.31
10/14/06 	14:37:45.0	7.16
10/14/06 	15:37:45.0	7.62
10/14/06 	16:37:45.0	7.62
10/14/06 	17:37:45.0	7.62
10/14/06 	18:37:45.0	7.77
10/14/06 	19:37:45.0	7.77
10/14/06 	20:37:45.0	7.77
10/14/06 	21:37:45.0	7.77
10/14/06 	22:37:45.0	7.77
10/14/06 	23:37:45.0	7.62
10/15/06 	00:37:45.0	7.47
10/15/06 	01:37:45.0	7.47
10/15/06 	02:37:45.0	7.16
10/15/06 	03:37:45.0	7.16
10/15/06 	04:37:45.0	7.16
10/15/06 	05:37:45.0	7.31
10/15/06 	06:37:45.0	7.31
10/15/06 	07:37:45.0	8.23
10/15/06 	08:37:45.0	9.01
10/15/06 	09:37:45.0	7.93
10/15/06 	10:37:45.0	8.39
10/15/06 	11:37:45.0	8.54
10/15/06 	12:37:45.0	8.39
10/15/06 	13:37:45.0	9.16
10/15/06 	14:37:45.0	10.24
10/15/06 	15:37:45.0	10.24
10/15/06 	16:37:45.0	5.76
10/15/06 	17:37:45.0	5.76
10/15/06 	18:37:45.0	5.92
10/15/06 	19:37:45.0	5.92
10/15/06 	20:37:45.0	5.76
10/15/06 	21:37:45.0	5.76
10/15/06 	22:37:45.0	5.61
10/15/06 	23:37:45.0	5.61
10/16/06 	00:37:45.0	5.61
10/16/06 	01:37:45.0	5.76
10/16/06 	02:37:45.0	5.76
10/16/06 	03:37:45.0	5.76
10/16/06 	04:37:45.0	5.76
10/16/06 	05:37:45.0	5.92
10/16/06 	06:37:45.0	5.92
10/16/06 	07:37:45.0	5.76
10/16/06 	08:37:45.0	5.76
10/16/06 	09:37:45.0	5.76
10/16/06 	10:37:45.0	5.76
10/16/06 	11:37:45.0	5.76
10/16/06 	12:37:45.0	7.93
10/16/06 	13:37:45.0	11.02
10/16/06 	14:37:45.0	5.92
10/16/06 	15:37:45.0	5.92
10/16/06 	16:37:45.0	5.92
10/16/06 	17:37:45.0	5.92
10/16/06 	18:37:45.0	6.23
10/16/06 	19:37:45.0	6.54
10/16/06 	20:37:45.0	6.85
10/16/06 	21:37:45.0	6.85
10/16/06 	22:37:45.0	6.85
10/16/06 	23:37:45.0	7.01
10/17/06 	00:37:45.0	7.16
10/17/06 	01:37:45.0	5.92
10/17/06 	02:37:45.0	5.92
10/17/06 	03:37:45.0	6.07
10/17/06 	04:37:45.0	5.92
10/17/06 	05:37:45.0	5.92
10/17/06 	06:37:45.0	6.07
10/17/06 	07:37:45.0	6.38
10/17/06 	08:37:45.0	6.69
10/17/06 	09:37:45.0	6.85
10/17/06 	10:37:45.0	7.01
10/17/06 	11:37:45.0	13.18
10/17/06 	12:37:45.0	19.51
10/17/06 	13:37:45.0	20.16
10/17/06 	14:37:45.0	20.64
