Date	Time	Temperature  (*C)
10/24/06	09:18:35	22.04
10/24/06	10:18:35	19.24
10/24/06	11:18:35	18.92
10/24/06	12:18:35	19.08
10/24/06	13:18:35	12.42
10/24/06	14:18:35	7.28
10/24/06	15:18:35	5.87
10/24/06	16:18:35	6.03
10/24/06	17:18:35	6.03
10/24/06	18:18:35	6.03
10/24/06	19:18:35	6.03
10/24/06	20:18:35	6.03
10/24/06	21:18:35	6.03
10/24/06	22:18:35	6.03
10/24/06	23:18:35	6.03
10/25/06	00:18:35	6.03
10/25/06	01:18:35	6.03
10/25/06	02:18:35	6.03
10/25/06	03:18:35	6.03
10/25/06	04:18:35	5.87
10/25/06	05:18:35	6.03
10/25/06	06:18:35	6.03
10/25/06	07:18:35	5.87
10/25/06	08:18:35	5.87
10/25/06	09:18:35	6.03
10/25/06	10:18:35	6.03
10/25/06	11:18:35	4.31
10/25/06	12:18:35	4.46
10/25/06	13:18:35	4.77
10/25/06	14:18:35	5.09
10/25/06	15:18:35	4.93
10/25/06	16:18:35	5.09
10/25/06	17:18:35	4.46
10/25/06	18:18:35	4.62
10/25/06	19:18:35	4.77
10/25/06	20:18:35	4.93
10/25/06	21:18:35	4.93
10/25/06	22:18:35	4.77
10/25/06	23:18:35	4.77
10/26/06	00:18:35	4.77
10/26/06	01:18:35	4.77
10/26/06	02:18:35	4.62
10/26/06	03:18:35	4.62
10/26/06	04:18:35	4.46
10/26/06	05:18:35	4.31
10/26/06	06:18:35	4.46
10/26/06	07:18:35	4.93
10/26/06	08:18:35	4.62
10/26/06	09:18:35	4.77
10/26/06	10:18:35	4.77
10/26/06	11:18:35	5.09
10/26/06	12:18:35	5.56
10/26/06	13:18:35	5.24
10/26/06	14:18:35	5.24
10/26/06	15:18:35	5.72
10/26/06	16:18:35	5.72
10/26/06	17:18:35	5.09
10/26/06	18:18:35	7.75
10/26/06	19:18:35	7.75
10/26/06	20:18:35	7.75
10/26/06	21:18:35	7.75
10/26/06	22:18:35	7.75
10/26/06	23:18:35	7.75
10/27/06	00:18:35	7.75
10/27/06	01:18:35	7.75
10/27/06	02:18:35	7.75
10/27/06	03:18:35	7.75
10/27/06	04:18:35	7.75
10/27/06	05:18:35	7.75
10/27/06	06:18:35	7.75
10/27/06	07:18:35	7.75
10/27/06	08:18:35	7.75
10/27/06	09:18:35	7.75
10/27/06	10:18:35	7.75
10/27/06	11:18:35	4.62
10/27/06	12:18:35	6.81
10/27/06	13:18:35	7.13
10/27/06	14:18:35	6.97
10/27/06	15:18:35	6.50
10/27/06	16:18:35	5.87
10/27/06	17:18:35	5.24
10/27/06	18:18:35	1.77
10/27/06	19:18:35	0.00
10/27/06	20:18:35	-0.16
10/27/06	21:18:35	-0.48
10/27/06	22:18:35	-0.98
10/27/06	23:18:35	-1.14
10/28/06	00:18:35	-1.14
10/28/06	01:18:35	-1.47
10/28/06	02:18:35	-1.30
10/28/06	03:18:35	-1.47
10/28/06	04:18:35	-1.96
10/28/06	05:18:35	-1.79
10/28/06	06:18:35	-1.96
10/28/06	07:18:35	-2.12
10/28/06	08:18:35	-2.12
10/28/06	09:18:35	-0.65
10/28/06	10:18:35	2.25
10/28/06	11:18:35	4.62
10/28/06	12:18:35	6.50
10/28/06	13:18:35	5.56
10/28/06	14:18:35	5.56
10/28/06	15:18:35	5.56
10/28/06	16:18:35	5.56
10/28/06	17:18:35	5.56
10/28/06	18:18:35	5.56
10/28/06	19:18:35	5.56
10/28/06	20:18:35	5.56
10/28/06	21:18:35	5.56
10/28/06	22:18:35	5.56
10/28/06	23:18:35	5.56
10/29/06	00:18:35	5.56
10/29/06	01:18:35	5.56
10/29/06	02:18:35	5.56
10/29/06	03:18:35	5.56
10/29/06	04:18:35	5.56
10/29/06	05:18:35	5.56
10/29/06	06:18:35	5.56
10/29/06	07:18:35	5.56
10/29/06	08:18:35	-0.16
10/29/06	09:18:35	-0.32
10/29/06	10:18:35	-0.48
10/29/06	11:18:35	-0.48
10/29/06	12:18:35	-0.16
10/29/06	13:18:35	0.16
10/29/06	14:18:35	0.48
10/29/06	15:18:35	0.65
10/29/06	16:18:35	1.45
10/29/06	17:18:35	0.16
10/29/06	18:18:35	-0.98
10/29/06	19:18:35	-0.32
10/29/06	20:18:35	-0.16
10/29/06	21:18:35	0.16
10/29/06	22:18:35	0.32
10/29/06	23:18:35	0.00
10/30/06	00:18:35	0.00
10/30/06	01:18:35	0.16
10/30/06	02:18:35	0.00
10/30/06	03:18:35	0.16
10/30/06	04:18:35	0.16
10/30/06	05:18:35	0.32
