Date Time	Temperature  (*C)
06/04/07 	13:08:05.0	21.54
06/04/07 	14:08:05.0	18.93
06/04/07 	15:08:05.0	22.04
06/04/07 	16:08:05.0	3.62
06/04/07 	17:08:05.0	3.62
06/04/07 	18:08:05.0	3.62
06/04/07 	19:08:05.0	3.62
06/04/07 	20:08:05.0	3.46
06/04/07 	21:08:05.0	3.62
06/04/07 	22:08:05.0	3.46
06/04/07 	23:08:05.0	3.46
06/05/07 	00:08:05.0	3.46
06/05/07 	01:08:05.0	3.46
06/05/07 	02:08:05.0	3.46
06/05/07 	03:08:05.0	3.46
06/05/07 	04:08:05.0	3.46
06/05/07 	05:08:05.0	3.46
06/05/07 	06:08:05.0	3.62
06/05/07 	07:08:05.0	3.46
06/05/07 	08:08:05.0	3.62
06/05/07 	09:08:05.0	3.62
06/05/07 	10:08:05.0	3.62
06/05/07 	11:08:05.0	12.14
06/05/07 	12:08:05.0	11.83
06/05/07 	13:08:05.0	10.59
06/05/07 	14:08:05.0	11.37
06/05/07 	15:08:05.0	14.31
06/05/07 	16:08:05.0	3.93
06/05/07 	17:08:05.0	3.93
06/05/07 	18:08:05.0	3.93
06/05/07 	19:08:05.0	3.78
06/05/07 	20:08:05.0	3.78
06/05/07 	21:08:05.0	3.78
06/05/07 	22:08:05.0	3.93
06/05/07 	23:08:05.0	3.78
06/06/07 	00:08:05.0	3.78
06/06/07 	01:08:05.0	3.78
06/06/07 	02:08:05.0	3.78
06/06/07 	03:08:05.0	3.78
06/06/07 	04:08:05.0	3.93
06/06/07 	05:08:05.0	3.78
06/06/07 	06:08:05.0	3.78
06/06/07 	07:08:05.0	3.78
06/06/07 	08:08:05.0	3.78
06/06/07 	09:08:05.0	3.78
06/06/07 	10:08:05.0	3.78
06/06/07 	11:08:05.0	10.59
06/06/07 	12:08:05.0	10.59
06/06/07 	13:08:05.0	10.13
06/06/07 	14:08:05.0	10.28
06/06/07 	15:08:05.0	10.59
06/06/07 	16:08:05.0	3.93
06/06/07 	17:08:05.0	3.93
06/06/07 	18:08:05.0	3.93
06/06/07 	19:08:05.0	3.93
06/06/07 	20:08:05.0	3.93
06/06/07 	21:08:05.0	3.93
06/06/07 	22:08:05.0	3.93
06/06/07 	23:08:05.0	3.93
06/07/07 	00:08:05.0	3.93
06/07/07 	01:08:05.0	3.93
06/07/07 	02:08:05.0	3.93
06/07/07 	03:08:05.0	3.93
06/07/07 	04:08:05.0	3.93
06/07/07 	05:08:05.0	3.93
06/07/07 	06:08:05.0	3.93
06/07/07 	07:08:05.0	3.93
06/07/07 	08:08:05.0	3.93
06/07/07 	09:08:05.0	3.93
06/07/07 	10:08:05.0	4.09
06/07/07 	11:08:05.0	9.35
06/07/07 	12:08:05.0	8.43
06/07/07 	13:08:05.0	8.43
06/07/07 	14:08:05.0	8.73
06/07/07 	15:08:05.0	4.09
06/07/07 	16:08:05.0	4.09
06/07/07 	17:08:05.0	4.09
06/07/07 	18:08:05.0	4.09
06/07/07 	19:08:05.0	4.09
06/07/07 	20:08:05.0	4.09
06/07/07 	21:08:05.0	4.09
06/07/07 	22:08:05.0	4.09
06/07/07 	23:08:05.0	4.09
06/08/07 	00:08:05.0	4.09
06/08/07 	01:08:05.0	4.09
06/08/07 	02:08:05.0	4.09
06/08/07 	03:08:05.0	4.09
06/08/07 	04:08:05.0	4.09
06/08/07 	05:08:05.0	3.93
06/08/07 	06:08:05.0	3.93
06/08/07 	07:08:05.0	3.93
06/08/07 	08:08:05.0	3.93
06/08/07 	09:08:05.0	3.93
06/08/07 	10:08:05.0	11.83
06/08/07 	11:08:05.0	10.28
06/08/07 	12:08:05.0	10.44
06/08/07 	13:08:05.0	10.13
06/08/07 	14:08:05.0	10.44
06/08/07 	15:08:05.0	4.87
06/08/07 	16:08:05.0	4.71
06/08/07 	17:08:05.0	4.40
06/08/07 	18:08:05.0	4.56
06/08/07 	19:08:05.0	4.40
06/08/07 	20:08:05.0	4.40
06/08/07 	21:08:05.0	4.24
06/08/07 	22:08:05.0	4.24
06/08/07 	23:08:05.0	4.56
06/09/07 	00:08:05.0	4.71
06/09/07 	01:08:05.0	4.71
06/09/07 	02:08:05.0	4.71
06/09/07 	03:08:05.0	4.40
06/09/07 	04:08:05.0	4.24
06/09/07 	05:08:05.0	4.09
06/09/07 	06:08:05.0	4.24
06/09/07 	07:08:05.0	4.09
06/09/07 	08:08:05.0	4.09
06/09/07 	09:08:05.0	4.24
06/09/07 	10:08:05.0	10.44
06/09/07 	11:08:05.0	18.12
06/09/07 	12:08:05.0	16.68
06/09/07 	13:08:05.0	20.88
06/09/07 	14:08:05.0	20.55
06/09/07 	15:08:05.0	4.09
06/09/07 	16:08:05.0	4.09
06/09/07 	17:08:05.0	4.09
06/09/07 	18:08:05.0	4.09
06/09/07 	19:08:05.0	4.09
06/09/07 	20:08:05.0	4.09
06/09/07 	21:08:05.0	4.09
06/09/07 	22:08:05.0	4.09
06/09/07 	23:08:05.0	4.09
06/10/07 	00:08:05.0	4.09
06/10/07 	01:08:05.0	4.09
06/10/07 	02:08:05.0	4.09
06/10/07 	03:08:05.0	4.24
06/10/07 	04:08:05.0	4.09
06/10/07 	05:08:05.0	4.09
06/10/07 	06:08:05.0	4.09
