Date Time	Temperature  (*C)
06/04/07 	13:40:02.0	19.97
06/04/07 	14:40:02.0	7.12
06/04/07 	15:40:02.0	5.11
06/04/07 	16:40:02.0	5.68
06/04/07 	17:40:02.0	5.68
06/04/07 	18:40:02.0	5.68
06/04/07 	19:40:02.0	5.97
06/04/07 	20:40:02.0	5.68
06/04/07 	21:40:02.0	5.97
06/04/07 	22:40:02.0	5.39
06/04/07 	23:40:02.0	4.82
06/05/07 	00:40:02.0	4.82
06/05/07 	01:40:02.0	4.82
06/05/07 	02:40:02.0	5.11
06/05/07 	03:40:02.0	4.53
06/05/07 	04:40:02.0	4.82
06/05/07 	05:40:02.0	4.82
06/05/07 	06:40:02.0	5.11
06/05/07 	07:40:02.0	5.68
06/05/07 	08:40:02.0	5.39
06/05/07 	09:40:02.0	10.01
06/05/07 	10:40:02.0	10.87
06/05/07 	11:40:02.0	11.16
06/05/07 	12:40:02.0	11.16
06/05/07 	13:40:02.0	11.16
06/05/07 	14:40:02.0	12.02
06/05/07 	15:40:02.0	13.47
06/05/07 	16:40:02.0	4.53
06/05/07 	17:40:02.0	3.94
06/05/07 	18:40:02.0	3.94
06/05/07 	19:40:02.0	3.94
06/05/07 	20:40:02.0	3.94
06/05/07 	21:40:02.0	3.94
06/05/07 	22:40:02.0	3.94
06/05/07 	23:40:02.0	3.94
06/06/07 	00:40:02.0	3.94
06/06/07 	01:40:02.0	3.94
06/06/07 	02:40:02.0	3.94
06/06/07 	03:40:02.0	3.94
06/06/07 	04:40:02.0	3.94
06/06/07 	05:40:02.0	3.94
06/06/07 	06:40:02.0	3.94
06/06/07 	07:40:02.0	3.94
06/06/07 	08:40:02.0	3.94
06/06/07 	09:40:02.0	3.94
06/06/07 	10:40:02.0	3.94
06/06/07 	11:40:02.0	3.94
06/06/07 	12:40:02.0	10.58
06/06/07 	13:40:02.0	10.58
06/06/07 	14:40:02.0	5.11
06/06/07 	15:40:02.0	4.23
06/06/07 	16:40:02.0	4.23
06/06/07 	17:40:02.0	4.23
06/06/07 	18:40:02.0	4.23
06/06/07 	19:40:02.0	4.23
06/06/07 	20:40:02.0	4.23
06/06/07 	21:40:02.0	4.23
06/06/07 	22:40:02.0	4.23
06/06/07 	23:40:02.0	4.23
06/07/07 	00:40:02.0	4.23
06/07/07 	01:40:02.0	4.23
06/07/07 	02:40:02.0	4.23
06/07/07 	03:40:02.0	4.23
06/07/07 	04:40:02.0	4.23
06/07/07 	05:40:02.0	4.23
06/07/07 	06:40:02.0	4.23
06/07/07 	07:40:02.0	4.23
06/07/07 	08:40:02.0	4.23
06/07/07 	09:40:02.0	8.57
06/07/07 	10:40:02.0	7.70
06/07/07 	11:40:02.0	8.86
06/07/07 	12:40:02.0	9.15
06/07/07 	13:40:02.0	9.44
06/07/07 	14:40:02.0	10.01
06/07/07 	15:40:02.0	12.89
06/07/07 	16:40:02.0	3.94
06/07/07 	17:40:02.0	3.94
06/07/07 	18:40:02.0	3.94
06/07/07 	19:40:02.0	3.94
06/07/07 	20:40:02.0	3.94
06/07/07 	21:40:02.0	3.94
06/07/07 	22:40:02.0	3.94
06/07/07 	23:40:02.0	3.94
06/08/07 	00:40:02.0	4.23
06/08/07 	01:40:02.0	4.23
06/08/07 	02:40:02.0	3.94
06/08/07 	03:40:02.0	3.94
06/08/07 	04:40:02.0	3.94
06/08/07 	05:40:02.0	3.94
06/08/07 	06:40:02.0	3.94
06/08/07 	07:40:02.0	3.94
06/08/07 	08:40:02.0	3.94
06/08/07 	09:40:02.0	3.94
06/08/07 	10:40:02.0	3.94
06/08/07 	11:40:02.0	3.94
06/08/07 	12:40:02.0	11.16
06/08/07 	13:40:02.0	12.02
06/08/07 	14:40:02.0	4.23
06/08/07 	15:40:02.0	4.23
06/08/07 	16:40:02.0	4.23
06/08/07 	17:40:02.0	4.53
06/08/07 	18:40:02.0	4.53
06/08/07 	19:40:02.0	4.82
06/08/07 	20:40:02.0	4.82
06/08/07 	21:40:02.0	4.53
06/08/07 	22:40:02.0	4.23
06/08/07 	23:40:02.0	4.23
06/09/07 	00:40:02.0	4.23
06/09/07 	01:40:02.0	4.23
06/09/07 	02:40:02.0	4.23
06/09/07 	03:40:02.0	4.23
06/09/07 	04:40:02.0	4.23
06/09/07 	05:40:02.0	4.53
06/09/07 	06:40:02.0	4.82
06/09/07 	07:40:02.0	5.11
06/09/07 	08:40:02.0	11.44
06/09/07 	09:40:02.0	10.01
06/09/07 	10:40:02.0	10.30
06/09/07 	11:40:02.0	10.87
06/09/07 	12:40:02.0	12.61
06/09/07 	13:40:02.0	13.77
06/09/07 	14:40:02.0	14.63
06/09/07 	15:40:02.0	20.28
06/09/07 	16:40:02.0	4.23
06/09/07 	17:40:02.0	4.23
06/09/07 	18:40:02.0	4.23
06/09/07 	19:40:02.0	4.23
06/09/07 	20:40:02.0	4.23
06/09/07 	21:40:02.0	4.23
06/09/07 	22:40:02.0	4.53
06/09/07 	23:40:02.0	4.53
06/10/07 	00:40:02.0	4.53
06/10/07 	01:40:02.0	4.53
06/10/07 	02:40:02.0	4.53
06/10/07 	03:40:02.0	4.53
06/10/07 	04:40:02.0	4.23
06/10/07 	05:40:02.0	4.23
06/10/07 	06:40:02.0	4.23
06/10/07 	07:40:02.0	4.23
06/10/07 	08:40:02.0	4.23
06/10/07 	09:40:02.0	4.23
06/10/07 	10:40:02.0	4.53
06/10/07 	11:40:02.0	4.53
06/10/07 	12:40:02.0	15.22
06/10/07 	13:40:02.0	19.37
06/10/07 	14:40:02.0	4.53
06/10/07 	15:40:02.0	4.53
06/10/07 	16:40:02.0	4.53
06/10/07 	17:40:02.0	4.53
06/10/07 	18:40:02.0	4.53
06/10/07 	19:40:02.0	4.53
06/10/07 	20:40:02.0	4.53
06/10/07 	21:40:02.0	4.53
06/10/07 	22:40:02.0	4.53
06/10/07 	23:40:02.0	4.53
06/11/07 	00:40:02.0	4.53
06/11/07 	01:40:02.0	4.53
06/11/07 	02:40:02.0	4.53
06/11/07 	03:40:02.0	4.53
06/11/07 	04:40:02.0	4.53
06/11/07 	05:40:02.0	4.53
06/11/07 	06:40:02.0	4.53
06/11/07 	07:40:02.0	4.53
06/11/07 	08:40:02.0	23.71
