Date Time	Temperature  (*C)
06/04/07 13:17:19.0	22.74
06/04/07 14:17:19.0	21.50
06/04/07 15:17:19.0	3.65
06/04/07 16:17:19.0	3.94
06/04/07 17:17:19.0	3.94
06/04/07 18:17:19.0	3.65
06/04/07 19:17:19.0	3.65
06/04/07 20:17:19.0	3.65
06/04/07 21:17:19.0	3.94
06/04/07 22:17:19.0	3.94
06/04/07 23:17:19.0	3.65
06/05/07 00:17:19.0	3.65
06/05/07 01:17:19.0	3.65
06/05/07 02:17:19.0	3.65
06/05/07 03:17:19.0	3.65
06/05/07 04:17:19.0	3.65
06/05/07 05:17:19.0	3.65
06/05/07 06:17:19.0	3.65
06/05/07 07:17:19.0	3.94
06/05/07 08:17:19.0	6.54
06/05/07 09:17:19.0	9.15
06/05/07 10:17:19.0	10.30
06/05/07 11:17:19.0	10.87
06/05/07 12:17:19.0	11.16
06/05/07 13:17:19.0	10.87
06/05/07 14:17:19.0	11.16
06/05/07 15:17:19.0	12.02
06/05/07 16:17:19.0	14.04
06/05/07 17:17:19.0	3.94
06/05/07 18:17:19.0	3.94
06/05/07 19:17:19.0	3.94
06/05/07 20:17:19.0	3.94
06/05/07 21:17:19.0	3.65
06/05/07 22:17:19.0	3.65
06/05/07 23:17:19.0	3.94
06/06/07 00:17:19.0	4.23
06/06/07 01:17:19.0	4.23
06/06/07 02:17:19.0	4.23
06/06/07 03:17:19.0	4.23
06/06/07 04:17:19.0	4.23
06/06/07 05:17:19.0	4.23
06/06/07 06:17:19.0	3.94
06/06/07 07:17:19.0	3.94
06/06/07 08:17:19.0	3.65
06/06/07 09:17:19.0	3.65
06/06/07 10:17:19.0	3.65
06/06/07 11:17:19.0	3.65
06/06/07 12:17:19.0	3.65
06/06/07 13:17:19.0	11.16
06/06/07 14:17:19.0	3.94
06/06/07 15:17:19.0	3.94
06/06/07 16:17:19.0	3.94
06/06/07 17:17:19.0	3.94
06/06/07 18:17:19.0	3.94
06/06/07 19:17:19.0	3.94
06/06/07 20:17:19.0	3.94
06/06/07 21:17:19.0	3.94
06/06/07 22:17:19.0	3.94
06/06/07 23:17:19.0	3.94
06/07/07 00:17:19.0	3.94
06/07/07 01:17:19.0	3.94
06/07/07 02:17:19.0	3.94
06/07/07 03:17:19.0	3.94
06/07/07 04:17:19.0	3.94
06/07/07 05:17:19.0	3.94
06/07/07 06:17:19.0	3.94
06/07/07 07:17:19.0	3.94
06/07/07 08:17:19.0	7.41
06/07/07 09:17:19.0	7.99
06/07/07 10:17:19.0	7.70
06/07/07 11:17:19.0	7.99
06/07/07 12:17:19.0	8.57
06/07/07 13:17:19.0	9.72
06/07/07 14:17:19.0	10.01
06/07/07 15:17:19.0	10.01
06/07/07 16:17:19.0	13.76
06/07/07 17:17:19.0	3.65
06/07/07 18:17:19.0	3.65
06/07/07 19:17:19.0	3.65
06/07/07 20:17:19.0	3.65
06/07/07 21:17:19.0	3.65
06/07/07 22:17:19.0	3.65
06/07/07 23:17:19.0	3.65
06/08/07 00:17:19.0	3.65
06/08/07 01:17:19.0	3.65
06/08/07 02:17:19.0	3.65
06/08/07 03:17:19.0	3.65
06/08/07 04:17:19.0	3.65
06/08/07 05:17:19.0	3.65
06/08/07 06:17:19.0	3.65
06/08/07 07:17:19.0	3.65
06/08/07 08:17:19.0	3.65
06/08/07 09:17:19.0	3.65
06/08/07 10:17:19.0	3.65
06/08/07 11:17:19.0	3.65
06/08/07 12:17:19.0	3.65
06/08/07 13:17:19.0	12.60
06/08/07 14:17:19.0	4.52
06/08/07 15:17:19.0	4.52
06/08/07 16:17:19.0	4.52
06/08/07 17:17:19.0	4.52
06/08/07 18:17:19.0	4.82
06/08/07 19:17:19.0	4.82
06/08/07 20:17:19.0	4.82
06/08/07 21:17:19.0	4.82
06/08/07 22:17:19.0	4.82
06/08/07 23:17:19.0	4.23
06/09/07 00:17:19.0	4.52
06/09/07 01:17:19.0	4.52
06/09/07 02:17:19.0	4.52
06/09/07 03:17:19.0	4.52
06/09/07 04:17:19.0	4.82
06/09/07 05:17:19.0	4.82
06/09/07 06:17:19.0	5.11
06/09/07 07:17:19.0	5.39
06/09/07 08:17:19.0	14.63
06/09/07 09:17:19.0	15.79
06/09/07 10:17:19.0	16.68
06/09/07 11:17:19.0	16.68
06/09/07 12:17:19.0	17.27
06/09/07 13:17:19.0	18.47
06/09/07 14:17:19.0	18.47
06/09/07 15:17:19.0	18.77
06/09/07 16:17:19.0	20.58
