Date	Time	Temperature  (*C)
06/24/07	15:49:14	24.94
06/24/07	16:49:14	4.81
06/24/07	17:49:14	4.81
06/24/07	18:49:14	4.81
06/24/07	19:49:14	4.81
06/24/07	20:49:14	4.81
06/24/07	21:49:14	4.81
06/24/07	22:49:14	4.81
06/24/07	23:49:14	4.81
06/25/07	00:49:14	4.81
06/25/07	01:49:14	4.81
06/25/07	02:49:14	4.81
06/25/07	03:49:14	4.81
06/25/07	04:49:14	4.81
06/25/07	05:49:14	4.81
06/25/07	06:49:14	4.81
06/25/07	07:49:14	4.81
06/25/07	08:49:14	4.81
06/25/07	09:49:14	4.81
06/25/07	10:49:14	4.81
06/25/07	11:49:14	4.81
06/25/07	12:49:14	13.16
06/25/07	13:49:14	13.74
06/25/07	14:49:14	4.81
06/25/07	15:49:14	4.81
06/25/07	16:49:14	4.81
06/25/07	17:49:14	5.09
06/25/07	18:49:14	4.81
06/25/07	19:49:14	4.81
06/25/07	20:49:14	4.81
06/25/07	21:49:14	4.81
06/25/07	22:49:14	4.81
06/25/07	23:49:14	4.81
06/26/07	00:49:14	4.81
06/26/07	01:49:14	4.81
06/26/07	02:49:14	4.81
06/26/07	03:49:14	4.81
06/26/07	04:49:14	4.81
06/26/07	05:49:14	4.81
06/26/07	06:49:14	4.81
06/26/07	07:49:14	4.81
06/26/07	08:49:14	12.01
06/26/07	09:49:14	12.29
06/26/07	10:49:14	11.72
06/26/07	11:49:14	12.29
06/26/07	12:49:14	12.87
06/26/07	13:49:14	19.64
06/26/07	14:49:14	5.38
06/26/07	15:49:14	5.38
06/26/07	16:49:14	5.38
06/26/07	17:49:14	5.38
06/26/07	18:49:14	5.38
06/26/07	19:49:14	5.38
06/26/07	20:49:14	5.38
06/26/07	21:49:14	5.38
06/26/07	22:49:14	5.38
06/26/07	23:49:14	5.38
06/27/07	00:49:14	5.38
06/27/07	01:49:14	5.38
06/27/07	02:49:14	5.38
06/27/07	03:49:14	5.38
06/27/07	04:49:14	5.38
06/27/07	05:49:14	5.38
06/27/07	06:49:14	5.38
06/27/07	07:49:14	5.38
06/27/07	08:49:14	5.38
06/27/07	09:49:14	4.81
06/27/07	10:49:14	10.57
06/27/07	11:49:14	12.29
06/27/07	12:49:14	12.87
06/27/07	13:49:14	14.32
06/27/07	14:49:14	13.74
06/27/07	15:49:14	15.19
06/27/07	16:49:14	5.38
06/27/07	17:49:14	5.38
06/27/07	18:49:14	5.38
06/27/07	19:49:14	5.38
06/27/07	20:49:14	5.38
06/27/07	21:49:14	5.38
06/27/07	22:49:14	5.38
06/27/07	23:49:14	5.38
06/28/07	00:49:14	5.38
06/28/07	01:49:14	5.09
06/28/07	02:49:14	5.09
06/28/07	03:49:14	5.09
06/28/07	04:49:14	5.38
06/28/07	05:49:14	5.38
06/28/07	06:49:14	5.38
06/28/07	07:49:14	5.38
06/28/07	08:49:14	5.38
06/28/07	09:49:14	5.38
06/28/07	10:49:14	5.38
06/28/07	11:49:14	16.66
06/28/07	12:49:14	15.19
06/28/07	13:49:14	14.03
06/28/07	14:49:14	16.96
06/28/07	15:49:14	4.51
06/28/07	16:49:14	4.51
06/28/07	17:49:14	4.51
06/28/07	18:49:14	4.81
06/28/07	19:49:14	4.81
06/28/07	20:49:14	5.09
06/28/07	21:49:14	5.09
06/28/07	22:49:14	5.09
06/28/07	23:49:14	5.09
06/29/07	00:49:14	4.51
06/29/07	01:49:14	4.51
06/29/07	02:49:14	4.51
06/29/07	03:49:14	4.51
06/29/07	04:49:14	4.51
06/29/07	05:49:14	4.51
06/29/07	06:49:14	4.51
06/29/07	07:49:14	4.81
