Date	Time	Temperature  (*C)
06/19/07	11:12:19	24.53
06/19/07	12:12:19	13.51
06/19/07	13:12:19	13.66
06/19/07	14:12:19	14.59
06/19/07	15:12:19	16.64
06/19/07	16:12:19	19.53
06/19/07	17:12:19	5.78
06/19/07	18:12:19	5.78
06/19/07	19:12:19	5.78
06/19/07	20:12:19	5.78
06/19/07	21:12:19	5.78
06/19/07	22:12:19	5.78
06/19/07	23:12:19	5.78
06/20/07	00:12:19	5.78
06/20/07	01:12:19	5.93
06/20/07	02:12:19	5.78
06/20/07	03:12:19	5.78
06/20/07	04:12:19	5.78
06/20/07	05:12:19	5.78
06/20/07	06:12:19	5.78
06/20/07	07:12:19	5.78
06/20/07	08:12:19	5.78
06/20/07	09:12:19	5.93
06/20/07	10:12:19	5.78
06/20/07	11:12:19	5.93
06/20/07	12:12:19	13.51
06/20/07	13:12:19	20.99
06/20/07	14:12:19	5.62
06/20/07	15:12:19	5.62
06/20/07	16:12:19	5.62
06/20/07	17:12:19	5.62
06/20/07	18:12:19	5.62
06/20/07	19:12:19	5.62
06/20/07	20:12:19	5.62
06/20/07	21:12:19	5.62
06/20/07	22:12:19	5.62
06/20/07	23:12:19	5.62
06/21/07	00:12:19	5.62
06/21/07	01:12:19	5.62
06/21/07	02:12:19	5.62
06/21/07	03:12:19	5.62
06/21/07	04:12:19	5.62
06/21/07	05:12:19	5.62
06/21/07	06:12:19	5.62
06/21/07	07:12:19	5.62
06/21/07	08:12:19	5.62
06/21/07	09:12:19	11.50
06/21/07	10:12:19	12.27
06/21/07	11:12:19	11.97
06/21/07	12:12:19	11.19
06/21/07	13:12:19	11.04
06/21/07	14:12:19	11.97
06/21/07	15:12:19	11.97
06/21/07	16:12:19	12.73
06/21/07	17:12:19	13.20
06/21/07	18:12:19	15.38
06/21/07	19:12:19	5.16
06/21/07	20:12:19	5.16
06/21/07	21:12:19	5.16
06/21/07	22:12:19	5.16
06/21/07	23:12:19	5.16
06/22/07	00:12:19	5.16
06/22/07	01:12:19	5.16
06/22/07	02:12:19	5.01
06/22/07	03:12:19	5.01
06/22/07	04:12:19	5.01
06/22/07	05:12:19	5.16
06/22/07	06:12:19	5.16
06/22/07	07:12:19	5.16
06/22/07	08:12:19	5.16
06/22/07	09:12:19	5.16
06/22/07	10:12:19	5.16
06/22/07	11:12:19	5.16
06/22/07	12:12:19	5.01
06/22/07	13:12:19	21.16
06/22/07	14:12:19	20.18
06/22/07	15:12:19	23.16
06/22/07	16:12:19	21.32
06/22/07	17:12:19	5.31
06/22/07	18:12:19	5.31
06/22/07	19:12:19	5.31
06/22/07	20:12:19	5.47
06/22/07	21:12:19	5.47
06/22/07	22:12:19	5.47
06/22/07	23:12:19	5.47
06/23/07	00:12:19	5.47
06/23/07	01:12:19	5.47
06/23/07	02:12:19	5.47
06/23/07	03:12:19	5.47
06/23/07	04:12:19	5.47
06/23/07	05:12:19	5.47
06/23/07	06:12:19	5.31
06/23/07	07:12:19	5.31
06/23/07	08:12:19	5.31
06/23/07	09:12:19	10.73
06/23/07	10:12:19	11.19
06/23/07	11:12:19	11.66
06/23/07	12:12:19	11.66
06/23/07	13:12:19	11.81
06/23/07	14:12:19	11.97
06/23/07	15:12:19	12.27
06/23/07	16:12:19	13.51
06/23/07	17:12:19	5.01
06/23/07	18:12:19	5.01
06/23/07	19:12:19	5.01
06/23/07	20:12:19	5.01
06/23/07	21:12:19	5.01
06/23/07	22:12:19	5.01
06/23/07	23:12:19	4.85
06/24/07	00:12:19	4.85
06/24/07	01:12:19	4.85
06/24/07	02:12:19	5.01
06/24/07	03:12:19	5.01
06/24/07	04:12:19	5.01
06/24/07	05:12:19	5.01
06/24/07	06:12:19	5.01
06/24/07	07:12:19	5.01
06/24/07	08:12:19	5.01
06/24/07	09:12:19	5.01
06/24/07	10:12:19	5.01
06/24/07	11:12:19	4.85
06/24/07	12:12:19	10.88
06/24/07	13:12:19	13.82
06/24/07	14:12:19	14.13
06/24/07	15:12:19	4.69
06/24/07	16:12:19	4.69
06/24/07	17:12:19	4.69
06/24/07	18:12:19	4.69
06/24/07	19:12:19	4.69
06/24/07	20:12:19	4.69
06/24/07	21:12:19	4.69
06/24/07	22:12:19	4.69
06/24/07	23:12:19	4.69
06/25/07	00:12:19	4.69
06/25/07	01:12:19	4.69
06/25/07	02:12:19	4.69
06/25/07	03:12:19	4.69
06/25/07	04:12:19	4.69
06/25/07	05:12:19	4.69
06/25/07	06:12:19	4.69
06/25/07	07:12:19	4.69
06/25/07	08:12:19	4.69
06/25/07	09:12:19	11.04
06/25/07	10:12:19	11.19
06/25/07	11:12:19	11.50
06/25/07	12:12:19	11.34
06/25/07	13:12:19	11.50
06/25/07	14:12:19	11.50
