Date Time	Temperature  (*C)
07/17/07 	15:26:35.0	23.68
07/17/07 	16:26:35.0	14.61
07/17/07 	17:26:35.0	5.09
07/17/07 	18:26:35.0	5.09
07/17/07 	19:26:35.0	5.09
07/17/07 	20:26:35.0	5.09
07/17/07 	21:26:35.0	5.09
07/17/07 	22:26:35.0	5.09
07/17/07 	23:26:35.0	5.09
07/18/07 	00:26:35.0	5.09
07/18/07 	01:26:35.0	5.09
07/18/07 	02:26:35.0	5.09
07/18/07 	03:26:35.0	5.09
07/18/07 	04:26:35.0	5.09
07/18/07 	05:26:35.0	5.09
07/18/07 	06:26:35.0	5.09
07/18/07 	07:26:35.0	5.09
07/18/07 	08:26:35.0	5.09
07/18/07 	09:26:35.0	5.09
07/18/07 	10:26:35.0	5.09
07/18/07 	11:26:35.0	5.09
07/18/07 	12:26:35.0	5.09
07/18/07 	13:26:35.0	5.09
07/18/07 	14:26:35.0	5.09
07/18/07 	15:26:35.0	7.11
07/18/07 	16:26:35.0	7.11
07/18/07 	17:26:35.0	7.11
07/18/07 	18:26:35.0	7.11
07/18/07 	19:26:35.0	6.82
07/18/07 	20:26:35.0	6.82
07/18/07 	21:26:35.0	6.82
07/18/07 	22:26:35.0	8.27
07/18/07 	23:26:35.0	8.27
07/19/07 	00:26:35.0	9.13
07/19/07 	01:26:35.0	6.53
07/19/07 	02:26:35.0	7.69
07/19/07 	03:26:35.0	7.11
07/19/07 	04:26:35.0	7.11
07/19/07 	05:26:35.0	7.11
07/19/07 	06:26:35.0	7.11
07/19/07 	07:26:35.0	18.45
07/19/07 	08:26:35.0	21.17
07/19/07 	09:26:35.0	21.79
07/19/07 	10:26:35.0	22.11
07/19/07 	11:26:35.0	22.42
