Date	Time	Temperature  (*C)
06/19/07	11:23:18	24.67
06/19/07	12:23:18	19.33
06/19/07	13:23:18	20.46
06/19/07	14:23:18	10.23
06/19/07	15:23:18	6.99
06/19/07	16:23:18	7.30
06/19/07	17:23:18	7.46
06/19/07	18:23:18	6.68
06/19/07	19:23:18	6.37
06/19/07	20:23:18	6.53
06/19/07	21:23:18	6.84
06/19/07	22:23:18	7.14
06/19/07	23:23:18	7.61
06/20/07	00:23:18	6.53
06/20/07	01:23:18	6.53
06/20/07	02:23:18	6.68
06/20/07	03:23:18	6.99
06/20/07	04:23:18	7.14
06/20/07	05:23:18	6.99
06/20/07	06:23:18	6.68
06/20/07	07:23:18	6.68
06/20/07	08:23:18	11.00
06/20/07	09:23:18	11.00
06/20/07	10:23:18	11.00
06/20/07	11:23:18	11.46
06/20/07	12:23:18	12.54
06/20/07	13:23:18	12.86
06/20/07	14:23:18	12.54
06/20/07	15:23:18	13.47
06/20/07	16:23:18	5.44
06/20/07	17:23:18	5.44
06/20/07	18:23:18	5.44
06/20/07	19:23:18	5.29
06/20/07	20:23:18	5.29
06/20/07	21:23:18	5.29
06/20/07	22:23:18	5.29
06/20/07	23:23:18	5.44
06/21/07	00:23:18	5.44
06/21/07	01:23:18	5.44
06/21/07	02:23:18	5.44
06/21/07	03:23:18	5.44
06/21/07	04:23:18	5.44
06/21/07	05:23:18	5.44
06/21/07	06:23:18	5.44
06/21/07	07:23:18	5.44
06/21/07	08:23:18	5.44
06/21/07	09:23:18	5.44
06/21/07	10:23:18	5.44
06/21/07	11:23:18	5.44
06/21/07	12:23:18	5.44
06/21/07	13:23:18	13.78
06/21/07	14:23:18	15.82
06/21/07	15:23:18	5.76
06/21/07	16:23:18	5.76
06/21/07	17:23:18	5.60
06/21/07	18:23:18	5.60
06/21/07	19:23:18	5.44
06/21/07	20:23:18	5.44
06/21/07	21:23:18	5.44
06/21/07	22:23:18	5.44
06/21/07	23:23:18	5.44
06/22/07	00:23:18	5.60
06/22/07	01:23:18	5.60
06/22/07	02:23:18	5.44
06/22/07	03:23:18	5.60
06/22/07	04:23:18	5.60
06/22/07	05:23:18	5.60
06/22/07	06:23:18	5.60
06/22/07	07:23:18	5.60
06/22/07	08:23:18	12.08
06/22/07	09:23:18	11.46
06/22/07	10:23:18	11.62
06/22/07	11:23:18	11.16
06/22/07	12:23:18	12.08
06/22/07	13:23:18	11.92
06/22/07	14:23:18	12.39
06/22/07	15:23:18	12.86
06/22/07	16:23:18	13.78
06/22/07	17:23:18	14.71
06/22/07	18:23:18	15.82
06/22/07	19:23:18	4.98
06/22/07	20:23:18	4.98
06/22/07	21:23:18	4.98
06/22/07	22:23:18	4.98
06/22/07	23:23:18	4.98
06/23/07	00:23:18	4.98
06/23/07	01:23:18	4.98
06/23/07	02:23:18	4.98
06/23/07	03:23:18	4.98
06/23/07	04:23:18	4.82
06/23/07	05:23:18	4.82
06/23/07	06:23:18	4.82
06/23/07	07:23:18	4.98
06/23/07	08:23:18	4.98
06/23/07	09:23:18	4.98
06/23/07	10:23:18	4.98
06/23/07	11:23:18	4.98
06/23/07	12:23:18	12.23
06/23/07	13:23:18	14.71
06/23/07	14:23:18	4.67
06/23/07	15:23:18	4.67
06/23/07	16:23:18	4.67
06/23/07	17:23:18	4.67
06/23/07	18:23:18	4.67
06/23/07	19:23:18	4.67
06/23/07	20:23:18	4.67
06/23/07	21:23:18	4.67
06/23/07	22:23:18	4.67
06/23/07	23:23:18	4.67
06/24/07	00:23:18	4.67
06/24/07	01:23:18	4.67
06/24/07	02:23:18	4.67
06/24/07	03:23:18	4.67
06/24/07	04:23:18	4.67
06/24/07	05:23:18	4.67
06/24/07	06:23:18	4.67
06/24/07	07:23:18	4.67
06/24/07	08:23:18	8.83
06/24/07	09:23:18	10.54
06/24/07	10:23:18	10.54
06/24/07	11:23:18	10.84
06/24/07	12:23:18	11.16
06/24/07	13:23:18	11.62
06/24/07	14:23:18	11.46
06/24/07	15:23:18	12.08
06/24/07	16:23:18	4.82
06/24/07	17:23:18	4.82
06/24/07	18:23:18	4.82
06/24/07	19:23:18	4.82
06/24/07	20:23:18	4.82
06/24/07	21:23:18	4.82
06/24/07	22:23:18	4.82
06/24/07	23:23:18	4.82
06/25/07	00:23:18	4.82
06/25/07	01:23:18	4.82
06/25/07	02:23:18	4.82
06/25/07	03:23:18	4.82
06/25/07	04:23:18	4.82
06/25/07	05:23:18	4.82
06/25/07	06:23:18	4.82
06/25/07	07:23:18	4.82
06/25/07	08:23:18	4.82
06/25/07	09:23:18	4.82
06/25/07	10:23:18	4.82
06/25/07	11:23:18	4.82
06/25/07	12:23:18	12.70
06/25/07	13:23:18	15.18
06/25/07	14:23:18	13.93
06/25/07	15:23:18	4.67
06/25/07	16:23:18	4.67
06/25/07	17:23:18	4.67
06/25/07	18:23:18	4.67
06/25/07	19:23:18	4.67
06/25/07	20:23:18	4.67
06/25/07	21:23:18	4.67
06/25/07	22:23:18	4.67
06/25/07	23:23:18	4.67
06/26/07	00:23:18	4.67
06/26/07	01:23:18	4.67
06/26/07	02:23:18	4.67
06/26/07	03:23:18	4.67
06/26/07	04:23:18	4.67
06/26/07	05:23:18	4.67
06/26/07	06:23:18	4.67
06/26/07	07:23:18	4.67
06/26/07	08:23:18	4.67
06/26/07	09:23:18	12.39
06/26/07	10:23:18	12.23
06/26/07	11:23:18	12.39
06/26/07	12:23:18	12.23
06/26/07	13:23:18	13.93
06/26/07	14:23:18	5.29
06/26/07	15:23:18	5.29
06/26/07	16:23:18	5.29
06/26/07	17:23:18	5.29
06/26/07	18:23:18	5.29
06/26/07	19:23:18	5.29
06/26/07	20:23:18	5.29
06/26/07	21:23:18	5.29
06/26/07	22:23:18	5.29
06/26/07	23:23:18	5.29
06/27/07	00:23:18	5.13
06/27/07	01:23:18	5.29
06/27/07	02:23:18	5.29
06/27/07	03:23:18	5.13
06/27/07	04:23:18	5.29
06/27/07	05:23:18	5.29
06/27/07	06:23:18	5.29
06/27/07	07:23:18	5.29
06/27/07	08:23:18	5.13
06/27/07	09:23:18	5.13
06/27/07	10:23:18	10.69
06/27/07	11:23:18	10.54
06/27/07	12:23:18	12.70
06/27/07	13:23:18	12.86
06/27/07	14:23:18	13.62
06/27/07	15:23:18	14.24
06/27/07	16:23:18	13.01
06/27/07	17:23:18	5.13
06/27/07	18:23:18	5.13
06/27/07	19:23:18	5.13
06/27/07	20:23:18	5.13
06/27/07	21:23:18	5.13
06/27/07	22:23:18	5.13
06/27/07	23:23:18	5.13
06/28/07	00:23:18	5.13
06/28/07	01:23:18	5.13
06/28/07	02:23:18	4.98
06/28/07	03:23:18	4.82
06/28/07	04:23:18	5.13
06/28/07	05:23:18	5.13
06/28/07	06:23:18	5.13
06/28/07	07:23:18	5.13
06/28/07	08:23:18	5.13
06/28/07	09:23:18	5.13
06/28/07	10:23:18	5.13
06/28/07	11:23:18	5.13
06/28/07	12:23:18	14.71
06/28/07	13:23:18	13.47
06/28/07	14:23:18	17.72
06/28/07	15:23:18	5.13
06/28/07	16:23:18	4.67
06/28/07	17:23:18	4.51
06/28/07	18:23:18	4.67
06/28/07	19:23:18	4.36
06/28/07	20:23:18	4.51
06/28/07	21:23:18	4.36
06/28/07	22:23:18	4.36
06/28/07	23:23:18	4.36
06/29/07	00:23:18	4.36
06/29/07	01:23:18	4.51
06/29/07	02:23:18	4.67
06/29/07	03:23:18	4.82
06/29/07	04:23:18	4.67
06/29/07	05:23:18	4.67
06/29/07	06:23:18	4.67
06/29/07	07:23:18	4.67
