Date Time	Temperature  (*C)
07/11/07 	10:32:06.0	20.78
07/11/07 	11:32:06.0	19.81
07/11/07 	12:32:06.0	19.97
07/11/07 	13:32:06.0	5.28
07/11/07 	14:32:06.0	5.28
07/11/07 	15:32:06.0	5.28
07/11/07 	16:32:06.0	5.28
07/11/07 	17:32:06.0	5.28
07/11/07 	18:32:06.0	5.28
07/11/07 	19:32:06.0	5.28
07/11/07 	20:32:06.0	5.28
07/11/07 	21:32:06.0	5.28
07/11/07 	22:32:06.0	5.28
07/11/07 	23:32:06.0	5.28
07/12/07 	00:32:06.0	5.28
07/12/07 	01:32:06.0	5.28
07/12/07 	02:32:06.0	5.28
07/12/07 	03:32:06.0	5.28
07/12/07 	04:32:06.0	5.28
07/12/07 	05:32:06.0	5.28
07/12/07 	06:32:06.0	5.28
07/12/07 	07:32:06.0	5.28
07/12/07 	08:32:06.0	12.69
07/12/07 	09:32:06.0	13.16
07/12/07 	10:32:06.0	13.16
07/12/07 	11:32:06.0	13.78
07/12/07 	12:32:06.0	13.93
07/12/07 	13:32:06.0	14.08
07/12/07 	14:32:06.0	14.55
07/12/07 	15:32:06.0	16.28
07/12/07 	16:32:06.0	16.76
07/12/07 	17:32:06.0	17.87
07/12/07 	18:32:06.0	16.60
07/12/07 	19:32:06.0	16.28
07/12/07 	20:32:06.0	15.66
07/12/07 	21:32:06.0	14.39
07/12/07 	22:32:06.0	13.78
07/12/07 	23:32:06.0	13.78
07/13/07 	00:32:06.0	13.47
07/13/07 	01:32:06.0	13.47
07/13/07 	02:32:06.0	13.62
07/13/07 	03:32:06.0	13.47
07/13/07 	04:32:06.0	13.47
07/13/07 	05:32:06.0	13.62
07/13/07 	06:32:06.0	13.62
07/13/07 	07:32:06.0	14.39
07/13/07 	08:32:06.0	14.55
07/13/07 	09:32:06.0	14.71
07/13/07 	10:32:06.0	14.71
07/13/07 	11:32:06.0	15.34
07/13/07 	12:32:06.0	15.49
07/13/07 	13:32:06.0	16.28
07/13/07 	14:32:06.0	15.97
07/13/07 	15:32:06.0	5.91
07/13/07 	16:32:06.0	5.75
07/13/07 	17:32:06.0	5.75
07/13/07 	18:32:06.0	5.59
07/13/07 	19:32:06.0	6.06
07/13/07 	20:32:06.0	5.75
07/13/07 	21:32:06.0	5.75
07/13/07 	22:32:06.0	5.91
07/13/07 	23:32:06.0	5.91
07/14/07 	00:32:06.0	5.75
07/14/07 	01:32:06.0	5.75
07/14/07 	02:32:06.0	6.06
07/14/07 	03:32:06.0	5.75
07/14/07 	04:32:06.0	5.75
07/14/07 	05:32:06.0	5.75
07/14/07 	06:32:06.0	5.59
07/14/07 	07:32:06.0	5.75
07/14/07 	08:32:06.0	5.59
07/14/07 	09:32:06.0	5.75
07/14/07 	10:32:06.0	5.59
07/14/07 	11:32:06.0	14.08
07/14/07 	12:32:06.0	13.62
07/14/07 	13:32:06.0	14.71
07/14/07 	14:32:06.0	14.08
07/14/07 	15:32:06.0	14.71
07/14/07 	16:32:06.0	14.24
07/14/07 	17:32:06.0	13.47
07/14/07 	18:32:06.0	13.16
07/14/07 	19:32:06.0	13.78
07/14/07 	20:32:06.0	13.62
07/14/07 	21:32:06.0	13.47
07/14/07 	22:32:06.0	13.31
07/14/07 	23:32:06.0	13.16
07/15/07 	00:32:06.0	13.16
07/15/07 	01:32:06.0	13.01
07/15/07 	02:32:06.0	12.69
07/15/07 	03:32:06.0	12.39
07/15/07 	04:32:06.0	12.08
07/15/07 	05:32:06.0	12.23
