Date	Time	Temperature  (*C)
09/18/07	08:49:23	20.89
09/18/07	09:49:23	12.78
09/18/07	10:49:23	12.93
09/18/07	11:49:23	17.33
09/18/07	12:49:23	12.31
09/18/07	13:49:23	16.53
09/18/07	14:49:23	6.11
09/18/07	15:49:23	6.11
09/18/07	16:49:23	6.11
09/18/07	17:49:23	6.27
09/18/07	18:49:23	6.27
09/18/07	19:49:23	6.11
09/18/07	20:49:23	6.27
09/18/07	21:49:23	6.27
09/18/07	22:49:23	6.27
09/18/07	23:49:23	6.27
09/19/07	00:49:23	6.11
09/19/07	01:49:23	6.11
09/19/07	02:49:23	6.27
09/19/07	03:49:23	6.11
09/19/07	04:49:23	6.27
09/19/07	05:49:23	6.11
09/19/07	06:49:23	6.11
09/19/07	07:49:23	6.11
09/19/07	08:49:23	6.11
09/19/07	09:49:23	8.75
09/19/07	10:49:23	9.21
09/19/07	11:49:23	9.21
09/19/07	12:49:23	9.21
09/19/07	13:49:23	9.37
09/19/07	14:49:23	9.68
09/19/07	15:49:23	5.96
09/19/07	16:49:23	5.96
09/19/07	17:49:23	5.96
09/19/07	18:49:23	5.96
09/19/07	19:49:23	5.96
09/19/07	20:49:23	5.96
09/19/07	21:49:23	5.96
09/19/07	22:49:23	5.96
09/19/07	23:49:23	5.96
09/20/07	00:49:23	5.96
09/20/07	01:49:23	5.96
09/20/07	02:49:23	5.96
09/20/07	03:49:23	5.96
09/20/07	04:49:23	5.96
09/20/07	05:49:23	5.96
09/20/07	06:49:23	5.96
09/20/07	07:49:23	5.96
09/20/07	08:49:23	5.96
09/20/07	09:49:23	5.96
09/20/07	10:49:23	12.01
09/20/07	11:49:23	13.24
09/20/07	12:49:23	14.79
09/20/07	13:49:23	6.11
09/20/07	14:49:23	6.11
09/20/07	15:49:23	6.11
09/20/07	16:49:23	6.11
09/20/07	17:49:23	6.11
09/20/07	18:49:23	6.11
09/20/07	19:49:23	6.11
09/20/07	20:49:23	6.11
09/20/07	21:49:23	6.11
09/20/07	22:49:23	6.11
09/20/07	23:49:23	6.11
09/21/07	00:49:23	6.11
09/21/07	01:49:23	6.11
09/21/07	02:49:23	6.11
09/21/07	03:49:23	6.11
09/21/07	04:49:23	6.11
09/21/07	05:49:23	6.11
09/21/07	06:49:23	6.11
09/21/07	07:49:23	6.11
09/21/07	08:49:23	9.99
09/21/07	09:49:23	10.14
09/21/07	10:49:23	10.14
09/21/07	11:49:23	10.30
09/21/07	12:49:23	10.46
09/21/07	13:49:23	10.61
09/21/07	14:49:23	10.92
09/21/07	15:49:23	6.11
09/21/07	16:49:23	6.11
09/21/07	17:49:23	6.11
09/21/07	18:49:23	6.11
09/21/07	19:49:23	6.11
09/21/07	20:49:23	6.11
09/21/07	21:49:23	6.11
09/21/07	22:49:23	6.11
09/21/07	23:49:23	5.96
09/22/07	00:49:23	6.11
09/22/07	01:49:23	6.11
09/22/07	02:49:23	6.11
09/22/07	03:49:23	6.11
09/22/07	04:49:23	6.11
09/22/07	05:49:23	6.11
09/22/07	06:49:23	6.11
09/22/07	07:49:23	6.11
09/22/07	08:49:23	6.11
09/22/07	09:49:23	6.11
09/22/07	10:49:23	10.46
09/22/07	11:49:23	14.64
09/22/07	12:49:23	15.27
09/22/07	13:49:23	18.13
