Date	Time	Temperature  (*C)
09/18/07	08:46:50	20.44
09/18/07	09:46:50	12.49
09/18/07	10:46:50	14.67
09/18/07	11:46:50	17.68
09/18/07	12:46:50	12.49
09/18/07	13:46:50	26.21
09/18/07	14:46:50	22.76
09/18/07	15:46:50	6.29
09/18/07	16:46:50	6.29
09/18/07	17:46:50	6.29
09/18/07	18:46:50	6.14
09/18/07	19:46:50	6.14
09/18/07	20:46:50	6.14
09/18/07	21:46:50	6.14
09/18/07	22:46:50	6.29
09/18/07	23:46:50	6.29
09/19/07	00:46:50	6.29
09/19/07	01:46:50	6.29
09/19/07	02:46:50	6.29
09/19/07	03:46:50	6.29
09/19/07	04:46:50	6.29
09/19/07	05:46:50	6.29
09/19/07	06:46:50	6.29
09/19/07	07:46:50	6.29
09/19/07	08:46:50	6.29
09/19/07	09:46:50	6.29
09/19/07	10:46:50	9.24
09/19/07	11:46:50	9.24
09/19/07	12:46:50	9.24
09/19/07	13:46:50	6.29
09/19/07	14:46:50	6.29
09/19/07	15:46:50	6.29
09/19/07	16:46:50	6.29
09/19/07	17:46:50	6.29
09/19/07	18:46:50	6.29
09/19/07	19:46:50	6.29
09/19/07	20:46:50	6.29
09/19/07	21:46:50	6.29
09/19/07	22:46:50	6.29
09/19/07	23:46:50	6.14
09/20/07	00:46:50	6.14
09/20/07	01:46:50	6.29
09/20/07	02:46:50	6.14
09/20/07	03:46:50	6.14
09/20/07	04:46:50	6.14
09/20/07	05:46:50	6.29
09/20/07	06:46:50	6.14
09/20/07	07:46:50	9.55
09/20/07	08:46:50	10.95
09/20/07	09:46:50	11.88
09/20/07	10:46:50	11.88
09/20/07	11:46:50	12.34
09/20/07	12:46:50	13.27
09/20/07	13:46:50	13.27
09/20/07	14:46:50	14.04
09/20/07	15:46:50	6.14
09/20/07	16:46:50	6.14
09/20/07	17:46:50	6.14
09/20/07	18:46:50	6.14
09/20/07	19:46:50	6.14
09/20/07	20:46:50	6.14
09/20/07	21:46:50	6.29
09/20/07	22:46:50	6.29
09/20/07	23:46:50	6.14
09/21/07	00:46:50	6.14
09/21/07	01:46:50	6.29
09/21/07	02:46:50	6.14
09/21/07	03:46:50	6.29
09/21/07	04:46:50	6.29
09/21/07	05:46:50	6.14
09/21/07	06:46:50	6.29
09/21/07	07:46:50	6.29
09/21/07	08:46:50	6.29
09/21/07	09:46:50	6.29
09/21/07	10:46:50	6.29
09/21/07	11:46:50	6.29
09/21/07	12:46:50	6.29
09/21/07	13:46:50	11.26
09/21/07	14:46:50	6.29
09/21/07	15:46:50	6.29
09/21/07	16:46:50	6.29
09/21/07	17:46:50	6.29
09/21/07	18:46:50	6.14
09/21/07	19:46:50	6.14
09/21/07	20:46:50	6.14
09/21/07	21:46:50	6.14
09/21/07	22:46:50	6.29
09/21/07	23:46:50	6.14
09/22/07	00:46:50	6.14
09/22/07	01:46:50	6.29
09/22/07	02:46:50	6.29
09/22/07	03:46:50	6.29
09/22/07	04:46:50	6.29
09/22/07	05:46:50	6.14
09/22/07	06:46:50	6.14
09/22/07	07:46:50	6.14
09/22/07	08:46:50	10.33
09/22/07	09:46:50	10.95
09/22/07	10:46:50	13.43
09/22/07	11:46:50	12.65
09/22/07	12:46:50	14.20
09/22/07	13:46:50	18.49
