Date	Time	Temperature  (*C)
10/18/07	13:19:31	22.08
10/18/07	14:19:31	11.58
10/18/07	15:19:31	6.79
10/18/07	16:19:31	6.79
10/18/07	17:19:31	6.79
10/18/07	18:19:31	6.79
10/18/07	19:19:31	6.79
10/18/07	20:19:31	6.79
10/18/07	21:19:31	6.79
10/18/07	22:19:31	6.79
10/18/07	23:19:31	6.79
10/19/07	00:19:31	6.79
10/19/07	01:19:31	6.79
10/19/07	02:19:31	6.79
10/19/07	03:19:31	6.79
10/19/07	04:19:31	6.79
10/19/07	05:19:31	6.79
10/19/07	06:19:31	6.79
10/19/07	07:19:31	6.79
10/19/07	08:19:31	6.79
10/19/07	09:19:31	6.79
10/19/07	10:19:31	6.79
10/19/07	11:19:31	6.79
10/19/07	12:19:31	4.46
10/19/07	13:19:31	4.62
10/19/07	14:19:31	5.39
10/19/07	15:19:31	6.79
10/19/07	16:19:31	6.79
10/19/07	17:19:31	6.79
10/19/07	18:19:31	6.79
10/19/07	19:19:31	6.79
10/19/07	20:19:31	6.79
10/19/07	21:19:31	6.79
10/19/07	22:19:31	6.79
10/19/07	23:19:31	6.79
10/20/07	00:19:31	6.79
10/20/07	01:19:31	6.79
10/20/07	02:19:31	6.79
10/20/07	03:19:31	6.79
10/20/07	04:19:31	6.79
10/20/07	05:19:31	6.95
10/20/07	06:19:31	6.79
10/20/07	07:19:31	6.79
10/20/07	08:19:31	6.95
10/20/07	09:19:31	6.95
10/20/07	10:19:31	6.79
10/20/07	11:19:31	3.83
10/20/07	12:19:31	4.62
10/20/07	13:19:31	5.39
10/20/07	14:19:31	5.55
10/20/07	15:19:31	5.24
10/20/07	16:19:31	7.72
10/20/07	17:19:31	7.72
10/20/07	18:19:31	7.72
10/20/07	19:19:31	7.72
10/20/07	20:19:31	7.72
10/20/07	21:19:31	7.72
10/20/07	22:19:31	7.72
10/20/07	23:19:31	7.72
10/21/07	00:19:31	7.72
10/21/07	01:19:31	7.72
10/21/07	02:19:31	7.72
10/21/07	03:19:31	7.72
10/21/07	04:19:31	7.72
10/21/07	05:19:31	7.72
10/21/07	06:19:31	7.72
10/21/07	07:19:31	7.72
10/21/07	08:19:31	7.72
10/21/07	09:19:31	5.39
10/21/07	10:19:31	5.71
10/21/07	11:19:31	6.17
10/21/07	12:19:31	6.48
10/21/07	13:19:31	8.34
10/21/07	14:19:31	8.80
10/21/07	15:19:31	8.34
10/21/07	16:19:31	7.72
10/21/07	17:19:31	7.72
10/21/07	18:19:31	7.72
10/21/07	19:19:31	7.72
10/21/07	20:19:31	7.72
10/21/07	21:19:31	7.72
10/21/07	22:19:31	7.72
10/21/07	23:19:31	7.72
10/22/07	00:19:31	7.72
10/22/07	01:19:31	7.72
10/22/07	02:19:31	7.72
10/22/07	03:19:31	7.72
10/22/07	04:19:31	7.72
10/22/07	05:19:31	7.72
10/22/07	06:19:31	7.72
10/22/07	07:19:31	7.72
10/22/07	08:19:31	7.72
10/22/07	09:19:31	7.72
10/22/07	10:19:31	7.72
10/22/07	11:19:31	7.88
