Date	Time	Temperature  (*C)
10/18/07	12:34:58	22.21
10/18/07	13:34:58	11.08
10/18/07	14:34:58	9.21
10/18/07	15:34:58	6.89
10/18/07	16:34:58	6.89
10/18/07	17:34:58	6.89
10/18/07	18:34:58	6.89
10/18/07	19:34:58	6.89
10/18/07	20:34:58	6.89
10/18/07	21:34:58	6.89
10/18/07	22:34:58	6.89
10/18/07	23:34:58	6.89
10/19/07	00:34:58	6.89
10/19/07	01:34:58	6.89
10/19/07	02:34:58	6.89
10/19/07	03:34:58	6.89
10/19/07	04:34:58	6.89
10/19/07	05:34:58	6.89
10/19/07	06:34:58	6.89
10/19/07	07:34:58	6.89
10/19/07	08:34:58	6.89
10/19/07	09:34:58	6.89
10/19/07	10:34:58	6.89
10/19/07	11:34:58	6.89
10/19/07	12:34:58	6.89
10/19/07	13:34:58	6.11
10/19/07	14:34:58	6.27
10/19/07	15:34:58	6.11
10/19/07	16:34:58	6.11
10/19/07	17:34:58	6.11
10/19/07	18:34:58	6.27
10/19/07	19:34:58	6.43
10/19/07	20:34:58	6.27
10/19/07	21:34:58	6.27
10/19/07	22:34:58	5.96
10/19/07	23:34:58	6.27
10/20/07	00:34:58	6.11
10/20/07	01:34:58	6.11
10/20/07	02:34:58	6.27
10/20/07	03:34:58	6.11
10/20/07	04:34:58	6.43
10/20/07	05:34:58	6.27
10/20/07	06:34:58	6.27
10/20/07	07:34:58	6.43
10/20/07	08:34:58	2.19
10/20/07	09:34:58	1.39
10/20/07	10:34:58	2.51
10/20/07	11:34:58	3.14
10/20/07	12:34:58	3.46
10/20/07	13:34:58	3.77
10/20/07	14:34:58	3.93
10/20/07	15:34:58	3.77
10/20/07	16:34:58	7.36
10/20/07	17:34:58	7.36
10/20/07	18:34:58	7.36
10/20/07	19:34:58	7.36
10/20/07	20:34:58	7.36
10/20/07	21:34:58	7.36
10/20/07	22:34:58	7.36
10/20/07	23:34:58	7.36
10/21/07	00:34:58	7.36
10/21/07	01:34:58	7.36
10/21/07	02:34:58	7.36
10/21/07	03:34:58	7.36
10/21/07	04:34:58	7.36
10/21/07	05:34:58	7.36
10/21/07	06:34:58	7.36
10/21/07	07:34:58	7.36
10/21/07	08:34:58	7.36
10/21/07	09:34:58	6.74
10/21/07	10:34:58	5.64
10/21/07	11:34:58	6.11
10/21/07	12:34:58	6.58
10/21/07	13:34:58	7.98
10/21/07	14:34:58	7.82
10/21/07	15:34:58	7.82
10/21/07	16:34:58	7.82
10/21/07	17:34:58	7.82
10/21/07	18:34:58	7.82
10/21/07	19:34:58	7.82
10/21/07	20:34:58	7.82
10/21/07	21:34:58	7.82
10/21/07	22:34:58	7.82
10/21/07	23:34:58	7.82
10/22/07	00:34:58	7.82
10/22/07	01:34:58	7.82
10/22/07	02:34:58	7.82
10/22/07	03:34:58	7.82
10/22/07	04:34:58	7.82
10/22/07	05:34:58	7.82
10/22/07	06:34:58	7.82
10/22/07	07:34:58	7.82
10/22/07	08:34:58	7.82
10/22/07	09:34:58	5.96
10/22/07	10:34:58	6.11
10/22/07	11:34:58	6.58
10/22/07	12:34:58	7.36
10/22/07	13:34:58	7.05
10/22/07	14:34:58	6.89
10/22/07	15:34:58	6.74
10/22/07	16:34:58	6.58
10/22/07	17:34:58	6.27
10/22/07	18:34:58	5.49
10/22/07	19:34:58	3.77
10/22/07	20:34:58	3.14
10/22/07	21:34:58	2.82
10/22/07	22:34:58	2.51
10/22/07	23:34:58	3.14
10/23/07	00:34:58	3.46
10/23/07	01:34:58	3.46
10/23/07	02:34:58	3.29
10/23/07	03:34:58	3.46
10/23/07	04:34:58	3.14
10/23/07	05:34:58	2.67
10/23/07	06:34:58	2.51
10/23/07	07:34:58	3.14
10/23/07	08:34:58	3.61
10/23/07	09:34:58	3.77
10/23/07	10:34:58	4.71
10/23/07	11:34:58	5.18
10/23/07	12:34:58	4.71
10/23/07	13:34:58	4.71
10/23/07	14:34:58	4.87
10/23/07	15:34:58	4.39
10/23/07	16:34:58	4.39
10/23/07	17:34:58	4.39
10/23/07	18:34:58	4.39
10/23/07	19:34:58	4.39
10/23/07	20:34:58	4.39
10/23/07	21:34:58	4.39
10/23/07	22:34:58	4.39
10/23/07	23:34:58	4.39
10/24/07	00:34:58	4.39
10/24/07	01:34:58	4.39
10/24/07	02:34:58	4.39
10/24/07	03:34:58	4.39
10/24/07	04:34:58	4.39
10/24/07	05:34:58	4.39
10/24/07	06:34:58	4.39
10/24/07	07:34:58	4.39
10/24/07	08:34:58	4.39
10/24/07	09:34:58	4.39
10/24/07	10:34:58	4.39
10/24/07	11:34:58	5.18
10/24/07	12:34:58	5.18
10/24/07	13:34:58	5.18
10/24/07	14:34:58	6.11
10/24/07	15:34:58	5.49
10/24/07	16:34:58	5.49
10/24/07	17:34:58	5.64
10/24/07	18:34:58	5.64
10/24/07	19:34:58	5.64
10/24/07	20:34:58	5.64
10/24/07	21:34:58	5.49
10/24/07	22:34:58	5.64
10/24/07	23:34:58	5.64
10/25/07	00:34:58	5.49
10/25/07	01:34:58	5.49
10/25/07	02:34:58	5.49
10/25/07	03:34:58	5.49
10/25/07	04:34:58	5.49
10/25/07	05:34:58	5.49
10/25/07	06:34:58	5.49
10/25/07	07:34:58	5.64
10/25/07	08:34:58	5.64
10/25/07	09:34:58	4.08
10/25/07	10:34:58	4.08
10/25/07	11:34:58	4.56
10/25/07	12:34:58	4.87
10/25/07	13:34:58	4.87
10/25/07	14:34:58	5.18
10/25/07	15:34:58	5.96
10/25/07	16:34:58	6.11
10/25/07	17:34:58	5.33
10/25/07	18:34:58	5.64
10/25/07	19:34:58	5.96
10/25/07	20:34:58	5.80
10/25/07	21:34:58	5.64
10/25/07	22:34:58	5.96
10/25/07	23:34:58	5.96
10/26/07	00:34:58	6.11
10/26/07	01:34:58	6.11
10/26/07	02:34:58	5.96
10/26/07	03:34:58	5.80
10/26/07	04:34:58	5.96
10/26/07	05:34:58	6.11
10/26/07	06:34:58	5.64
10/26/07	07:34:58	5.64
10/26/07	08:34:58	5.96
10/26/07	09:34:58	5.96
10/26/07	10:34:58	6.43
10/26/07	11:34:58	18.46
10/26/07	12:34:58	21.54
