Date	Time	Temperature  (*C)
10/04/07	11:15	23.22
10/04/07	12:15	7.52
10/04/07	13:15	7.98
10/04/07	14:15	5.64
10/04/07	15:15	5.18
10/04/07	16:15	5.18
10/04/07	17:15	5.18
10/04/07	18:15	5.18
10/04/07	19:15	5.18
10/04/07	20:15	5.18
10/04/07	21:15	5.18
10/04/07	22:15	5.18
10/04/07	23:15	5.18
10/05/07	00:15	5.18
10/05/07	01:15	5.18
10/05/07	02:15	5.18
10/05/07	03:15	5.18
10/05/07	04:15	5.18
10/05/07	05:15	5.18
10/05/07	06:15	5.18
10/05/07	07:15	5.18
10/05/07	08:15	5.18
10/05/07	09:15	5.18
10/05/07	10:15	6.43
10/05/07	11:15	6.27
10/05/07	12:15	6.43
10/05/07	13:15	6.89
10/05/07	14:15	7.36
10/05/07	15:15	7.21
10/05/07	16:15	6.89
10/05/07	17:15	7.21
10/05/07	18:15	7.21
10/05/07	19:15	7.36
10/05/07	20:15	7.21
10/05/07	21:15	7.52
10/05/07	22:15	7.67
10/05/07	23:15	7.52
10/06/07	00:15	7.52
10/06/07	01:15	7.52
10/06/07	02:15	7.52
10/06/07	03:15	7.67
10/06/07	04:15	7.82
10/06/07	05:15	7.52
10/06/07	06:15	7.52
10/06/07	07:15	7.67
10/06/07	08:15	7.52
10/06/07	09:15	7.82
10/06/07	10:15	8.44
10/06/07	11:15	8.28
10/06/07	12:15	9.06
10/06/07	13:15	8.28
10/06/07	14:15	7.82
10/06/07	15:15	8.44
10/06/07	16:15	8.13
10/06/07	17:15	8.13
10/06/07	18:15	7.82
10/06/07	19:15	7.36
10/06/07	20:15	6.89
10/06/07	21:15	5.64
10/06/07	22:15	4.56
10/06/07	23:15	4.39
10/07/07	00:15	3.77
10/07/07	01:15	4.39
10/07/07	02:15	4.71
10/07/07	03:15	4.56
10/07/07	04:15	4.71
10/07/07	05:15	4.87
10/07/07	06:15	5.02
10/07/07	07:15	5.02
10/07/07	08:15	5.02
10/07/07	09:15	5.02
10/07/07	10:15	5.49
10/07/07	11:15	5.96
10/07/07	12:15	6.43
10/07/07	13:15	6.27
10/07/07	14:15	8.13
10/07/07	15:15	6.43
10/07/07	16:15	6.58
10/07/07	17:15	6.58
10/07/07	18:15	6.74
10/07/07	19:15	6.58
10/07/07	20:15	6.74
10/07/07	21:15	6.89
10/07/07	22:15	6.89
10/07/07	23:15	6.89
10/08/07	00:15	6.58
10/08/07	01:15	6.43
10/08/07	02:15	6.58
10/08/07	03:15	6.43
10/08/07	04:15	6.43
10/08/07	05:15	6.58
10/08/07	06:15	6.58
10/08/07	07:15	6.74
10/08/07	08:15	6.89
10/08/07	09:15	6.89
10/08/07	10:15	5.33
10/08/07	11:15	5.64
10/08/07	12:15	6.58
10/08/07	13:15	6.11
10/08/07	14:15	5.96
10/08/07	15:15	6.27
10/08/07	16:15	6.43
10/08/07	17:15	6.43
10/08/07	18:15	6.58
10/08/07	19:15	6.74
10/08/07	20:15	6.89
10/08/07	21:15	7.05
10/08/07	22:15	7.05
10/08/07	23:15	7.21
10/09/07	00:15	7.21
10/09/07	01:15	7.36
10/09/07	02:15	6.89
10/09/07	03:15	6.43
10/09/07	04:15	6.27
10/09/07	05:15	6.43
10/09/07	06:15	6.58
10/09/07	07:15	6.58
10/09/07	08:15	6.89
10/09/07	09:15	7.05
10/09/07	10:15	7.05
10/09/07	11:15	7.21
10/09/07	12:15	7.21
10/09/07	13:15	8.59
10/09/07	14:15	13.39
10/09/07	15:15	8.75
10/09/07	16:15	6.89
10/09/07	17:15	7.21
10/09/07	18:15	6.27
10/09/07	19:15	5.96
10/09/07	20:15	6.27
10/09/07	21:15	6.58
10/09/07	22:15	6.58
10/09/07	23:15	6.58
10/10/07	00:15	6.43
10/10/07	01:15	6.43
10/10/07	02:15	6.58
10/10/07	03:15	6.74
10/10/07	04:15	6.89
10/10/07	05:15	7.05
10/10/07	06:15	6.89
10/10/07	07:15	5.96
10/10/07	08:15	6.58
10/10/07	09:15	6.43
10/10/07	10:15	6.89
10/10/07	11:15	7.52
10/10/07	12:15	19.76
10/10/07	13:15	20.40
10/10/07	14:15	20.73
10/10/07	15:15	22.38
10/10/07	16:15	22.04
10/10/07	17:15	21.88
10/10/07	18:15	21.71
10/10/07	19:15	20.56
10/10/07	20:15	20.40
10/10/07	21:15	20.89
10/10/07	22:15	20.56
10/10/07	23:15	21.22
10/11/07	00:15	20.89
10/11/07	01:15	20.73
10/11/07	02:15	20.73
10/11/07	03:15	20.56
10/11/07	04:15	20.89
10/11/07	05:15	21.05
10/11/07	06:15	21.22
10/11/07	07:15	21.05
10/11/07	08:15	20.89
10/11/07	09:15	21.88
10/11/07	10:15	21.54
10/11/07	11:15	21.05
