Date	Time	Temperature  (*C)
03/01/08	08:27:26	20.43
03/01/08	09:27:26	5.33
03/01/08	10:27:26	5.33
03/01/08	11:27:26	5.48
03/01/08	12:27:26	5.33
03/01/08	13:27:26	5.33
03/01/08	14:27:26	5.33
03/01/08	15:27:26	5.33
03/01/08	16:27:26	5.33
03/01/08	17:27:26	5.33
03/01/08	18:27:26	5.33
03/01/08	19:27:26	5.33
03/01/08	20:27:26	5.33
03/01/08	21:27:26	5.33
03/01/08	22:27:26	5.33
03/01/08	23:27:26	5.33
03/02/08	00:27:26	5.33
03/02/08	01:27:26	5.33
03/02/08	02:27:26	5.33
03/02/08	03:27:26	5.33
03/02/08	04:27:26	5.33
03/02/08	05:27:26	5.48
03/02/08	06:27:26	5.48
03/02/08	07:27:26	5.33
03/02/08	08:27:26	5.33
03/02/08	09:27:26	5.33
03/02/08	10:27:26	5.33
03/02/08	11:27:26	5.33
03/02/08	12:27:26	5.33
03/02/08	13:27:26	5.33
03/02/08	14:27:26	5.33
03/02/08	15:27:26	5.33
03/02/08	16:27:26	5.33
03/02/08	17:27:26	5.33
03/02/08	18:27:26	5.33
03/02/08	19:27:26	5.33
03/02/08	20:27:26	5.33
03/02/08	21:27:26	5.33
03/02/08	22:27:26	5.33
03/02/08	23:27:26	5.33
03/03/08	00:27:26	5.33
03/03/08	01:27:26	5.33
03/03/08	02:27:26	5.33
03/03/08	03:27:26	5.33
03/03/08	04:27:26	5.33
03/03/08	05:27:26	5.33
03/03/08	06:27:26	5.33
03/03/08	07:27:26	5.33
03/03/08	08:27:26	5.48
03/03/08	09:27:26	5.33
03/03/08	10:27:26	5.33
03/03/08	11:27:26	5.33
03/03/08	12:27:26	5.33
03/03/08	13:27:26	5.33
03/03/08	14:27:26	5.33
03/03/08	15:27:26	5.33
03/03/08	16:27:26	5.33
03/03/08	17:27:26	5.33
03/03/08	18:27:26	5.33
03/03/08	19:27:26	5.33
03/03/08	20:27:26	5.33
03/03/08	21:27:26	5.33
03/03/08	22:27:26	5.33
03/03/08	23:27:26	5.33
03/04/08	00:27:26	5.33
03/04/08	01:27:26	5.33
03/04/08	02:27:26	5.33
03/04/08	03:27:26	5.33
03/04/08	04:27:26	5.33
03/04/08	05:27:26	5.33
03/04/08	06:27:26	5.33
03/04/08	07:27:26	5.33
03/04/08	08:27:26	5.33
03/04/08	09:27:26	5.33
03/04/08	10:27:26	5.33
03/04/08	11:27:26	5.33
03/04/08	12:27:26	5.33
03/04/08	13:27:26	5.33
03/04/08	14:27:26	5.33
03/04/08	15:27:26	5.33
03/04/08	16:27:26	5.33
03/04/08	17:27:26	5.33
03/04/08	18:27:26	5.33
03/04/08	19:27:26	5.33
03/04/08	20:27:26	5.33
03/04/08	21:27:26	5.33
03/04/08	22:27:26	5.33
03/04/08	23:27:26	5.33
03/05/08	00:27:26	5.33
03/05/08	01:27:26	5.33
03/05/08	02:27:26	5.33
03/05/08	03:27:26	5.33
03/05/08	04:27:26	5.33
03/05/08	05:27:26	5.33
03/05/08	06:27:26	5.33
03/05/08	07:27:26	5.33
03/05/08	08:27:26	5.33
03/05/08	09:27:26	5.33
03/05/08	10:27:26	5.33
03/05/08	11:27:26	5.33
03/05/08	12:27:26	5.33
03/05/08	13:27:26	5.33
03/05/08	14:27:26	5.33
03/05/08	15:27:26	5.33
03/05/08	16:27:26	5.33
03/05/08	17:27:26	5.33
03/05/08	18:27:26	5.33
03/05/08	19:27:26	5.33
03/05/08	20:27:26	5.33
03/05/08	21:27:26	5.33
03/05/08	22:27:26	5.33
03/05/08	23:27:26	5.33
03/06/08	00:27:26	5.33
03/06/08	01:27:26	5.33
03/06/08	02:27:26	5.33
03/06/08	03:27:26	5.33
03/06/08	04:27:26	5.33
03/06/08	05:27:26	5.33
03/06/08	06:27:26	5.33
03/06/08	07:27:26	5.33
03/06/08	08:27:26	5.33
03/06/08	09:27:26	5.33
03/06/08	10:27:26	5.33
03/06/08	11:27:26	5.33
03/06/08	12:27:26	5.33
03/06/08	13:27:26	5.33
03/06/08	14:27:26	5.33
03/06/08	15:27:26	5.33
03/06/08	16:27:26	5.33
03/06/08	17:27:26	5.33
03/06/08	18:27:26	5.33
03/06/08	19:27:26	5.33
03/06/08	20:27:26	5.33
03/06/08	21:27:26	5.33
03/06/08	22:27:26	5.33
03/06/08	23:27:26	5.33
03/07/08	00:27:26	5.33
03/07/08	01:27:26	5.33
03/07/08	02:27:26	5.33
03/07/08	03:27:26	5.33
03/07/08	04:27:26	5.33
03/07/08	05:27:26	5.33
03/07/08	06:27:26	5.33
03/07/08	07:27:26	5.33
