Date	Time	Temperature  (*C)
02/27/08	11:41:59	24.33
02/27/08	12:41:59	14.92
02/27/08	13:41:59	10.30
02/27/08	14:41:59	16.98
02/27/08	15:41:59	12.89
02/27/08	16:41:59	16.98
02/27/08	17:41:59	3.94
02/27/08	18:41:59	4.23
02/27/08	19:41:59	4.23
02/27/08	20:41:59	4.52
02/27/08	21:41:59	4.52
02/27/08	22:41:59	4.52
02/27/08	23:41:59	4.82
02/28/08	00:41:59	4.82
02/28/08	01:41:59	4.52
02/28/08	02:41:59	4.52
02/28/08	03:41:59	4.23
02/28/08	04:41:59	4.23
02/28/08	05:41:59	3.94
02/28/08	06:41:59	3.94
02/28/08	07:41:59	4.23
02/28/08	08:41:59	4.52
02/28/08	09:41:59	4.82
02/28/08	10:41:59	4.82
02/28/08	11:41:59	4.82
02/28/08	12:41:59	4.82
02/28/08	13:41:59	4.82
02/28/08	14:41:59	4.52
02/28/08	15:41:59	4.52
02/28/08	16:41:59	4.52
02/28/08	17:41:59	4.23
02/28/08	18:41:59	3.94
02/28/08	19:41:59	4.23
02/28/08	20:41:59	4.23
02/28/08	21:41:59	4.82
02/28/08	22:41:59	4.82
02/28/08	23:41:59	4.82
02/29/08	00:41:59	4.52
02/29/08	01:41:59	4.52
02/29/08	02:41:59	4.52
02/29/08	03:41:59	4.23
02/29/08	04:41:59	4.23
02/29/08	05:41:59	3.94
02/29/08	06:41:59	3.94
02/29/08	07:41:59	4.23
02/29/08	08:41:59	4.23
02/29/08	09:41:59	4.52
02/29/08	10:41:59	4.52
02/29/08	11:41:59	4.52
02/29/08	12:41:59	4.52
02/29/08	13:41:59	4.82
02/29/08	14:41:59	4.52
02/29/08	15:41:59	4.52
02/29/08	16:41:59	4.23
02/29/08	17:41:59	4.23
02/29/08	18:41:59	3.94
02/29/08	19:41:59	3.94
02/29/08	20:41:59	1.59
02/29/08	21:41:59	1.29
02/29/08	22:41:59	19.97
