Date	Time	Temperature  (*C)
03/01/08	08:27:59	21.19
03/01/08	09:27:59	5.39
03/01/08	10:27:59	5.39
03/01/08	11:27:59	5.39
03/01/08	12:27:59	5.39
03/01/08	13:27:59	5.39
03/01/08	14:27:59	5.39
03/01/08	15:27:59	5.39
03/01/08	16:27:59	5.39
03/01/08	17:27:59	5.39
03/01/08	18:27:59	5.39
03/01/08	19:27:59	5.39
03/01/08	20:27:59	5.39
03/01/08	21:27:59	5.39
03/01/08	22:27:59	5.39
03/01/08	23:27:59	5.39
03/02/08	00:27:59	5.39
03/02/08	01:27:59	5.39
03/02/08	02:27:59	5.39
03/02/08	03:27:59	5.39
03/02/08	04:27:59	5.39
03/02/08	05:27:59	5.39
03/02/08	06:27:59	5.39
03/02/08	07:27:59	5.39
03/02/08	08:27:59	5.39
03/02/08	09:27:59	5.39
03/02/08	10:27:59	5.39
03/02/08	11:27:59	5.39
03/02/08	12:27:59	5.39
03/02/08	13:27:59	5.39
03/02/08	14:27:59	5.39
03/02/08	15:27:59	5.39
03/02/08	16:27:59	5.39
03/02/08	17:27:59	5.39
03/02/08	18:27:59	5.39
03/02/08	19:27:59	5.39
03/02/08	20:27:59	5.39
03/02/08	21:27:59	5.39
03/02/08	22:27:59	5.39
03/02/08	23:27:59	5.39
03/03/08	00:27:59	5.39
03/03/08	01:27:59	5.39
03/03/08	02:27:59	5.39
03/03/08	03:27:59	5.39
03/03/08	04:27:59	5.39
03/03/08	05:27:59	5.39
03/03/08	06:27:59	5.39
03/03/08	07:27:59	5.39
03/03/08	08:27:59	5.39
03/03/08	09:27:59	5.39
03/03/08	10:27:59	5.11
03/03/08	11:27:59	5.11
03/03/08	12:27:59	5.39
03/03/08	13:27:59	5.39
03/03/08	14:27:59	5.39
03/03/08	15:27:59	5.39
03/03/08	16:27:59	5.39
03/03/08	17:27:59	5.39
03/03/08	18:27:59	5.39
03/03/08	19:27:59	5.39
03/03/08	20:27:59	5.39
03/03/08	21:27:59	5.39
03/03/08	22:27:59	5.39
03/03/08	23:27:59	5.39
03/04/08	00:27:59	5.39
03/04/08	01:27:59	5.39
03/04/08	02:27:59	5.39
03/04/08	03:27:59	5.39
03/04/08	04:27:59	5.39
03/04/08	05:27:59	5.39
03/04/08	06:27:59	5.39
03/04/08	07:27:59	5.39
03/04/08	08:27:59	5.39
03/04/08	09:27:59	4.52
03/04/08	10:27:59	6.26
03/04/08	11:27:59	10.30
