Date	Time	Temperature  (*C)
02/26/08	11:16:37	10.56
02/26/08	12:16:37	8.70
02/26/08	13:16:37	13.80
02/26/08	14:16:37	13.33
02/26/08	15:16:37	13.49
02/26/08	16:16:37	8.23
02/26/08	17:16:37	13.96
02/26/08	18:16:37	18.54
02/26/08	19:16:37	4.52
02/26/08	20:16:37	4.05
02/26/08	21:16:37	4.05
02/26/08	22:16:37	4.21
02/26/08	23:16:37	4.21
02/27/08	00:16:37	4.05
02/27/08	01:16:37	4.21
02/27/08	02:16:37	4.52
02/27/08	03:16:37	4.83
02/27/08	04:16:37	4.68
02/27/08	05:16:37	4.83
02/27/08	06:16:37	4.68
02/27/08	07:16:37	4.52
02/27/08	08:16:37	4.52
02/27/08	09:16:37	4.36
02/27/08	10:16:37	4.05
02/27/08	11:16:37	4.05
02/27/08	12:16:37	4.05
02/27/08	13:16:37	4.05
02/27/08	14:16:37	4.36
02/27/08	15:16:37	4.36
02/27/08	16:16:37	4.52
02/27/08	17:16:37	4.68
02/27/08	18:16:37	4.83
02/27/08	19:16:37	4.68
02/27/08	20:16:37	4.36
02/27/08	21:16:37	4.21
02/27/08	22:16:37	4.36
02/27/08	23:16:37	4.36
02/28/08	00:16:37	4.21
02/28/08	01:16:37	4.21
02/28/08	02:16:37	4.21
02/28/08	03:16:37	4.68
02/28/08	04:16:37	4.52
02/28/08	05:16:37	4.83
02/28/08	06:16:37	4.83
02/28/08	07:16:37	4.68
02/28/08	08:16:37	4.52
02/28/08	09:16:37	4.52
02/28/08	10:16:37	4.36
02/28/08	11:16:37	4.36
02/28/08	12:16:37	4.05
02/28/08	13:16:37	4.21
02/28/08	14:16:37	4.21
02/28/08	15:16:37	4.36
02/28/08	16:16:37	4.52
02/28/08	17:16:37	4.83
02/28/08	18:16:37	4.68
02/28/08	19:16:37	4.52
02/28/08	20:16:37	4.05
02/28/08	21:16:37	4.05
02/28/08	22:16:37	4.21
02/28/08	23:16:37	4.05
02/29/08	00:16:37	4.05
02/29/08	01:16:37	4.05
02/29/08	02:16:37	4.05
02/29/08	03:16:37	4.21
02/29/08	04:16:37	4.68
02/29/08	05:16:37	4.68
02/29/08	06:16:37	4.52
02/29/08	07:16:37	4.36
02/29/08	08:16:37	4.21
02/29/08	09:16:37	4.21
02/29/08	10:16:37	4.21
