Date	Time	Temperature  (*C)
07/09/08	13:35:12	26.18
07/09/08	14:35:35	18.64
07/09/08	15:35:58	20.91
07/09/08	16:36:21	5.12
07/09/08	17:36:44	5.12
07/09/08	18:37:07	4.97
07/09/08	19:37:30	4.97
07/09/08	20:37:53	4.97
07/09/08	21:38:16	4.97
07/09/08	22:38:39	4.97
07/09/08	23:39:02	4.97
07/10/08	00:39:25	4.97
07/10/08	01:39:48	4.97
07/10/08	02:40:11	4.97
07/10/08	03:40:34	4.97
07/10/08	04:40:57	4.97
07/10/08	05:41:20	4.97
07/10/08	06:41:43	4.97
07/10/08	07:42:06	4.97
07/10/08	08:42:29	4.97
07/10/08	09:42:52	4.97
07/10/08	10:43:15	4.97
07/10/08	11:43:38	11.43
07/10/08	12:44:01	11.43
07/10/08	13:44:24	12.98
07/10/08	14:44:47	12.98
07/10/08	15:45:10	4.97
07/10/08	16:45:33	4.97
07/10/08	17:45:56	4.97
07/10/08	18:46:19	4.97
07/10/08	19:46:42	4.97
07/10/08	20:47:05	4.97
07/10/08	21:47:28	4.97
07/10/08	22:47:51	4.97
07/10/08	23:48:14	4.97
07/11/08	00:48:37	4.97
07/11/08	01:49:00	4.97
07/11/08	02:49:23	4.97
07/11/08	03:49:46	4.97
07/11/08	04:50:09	4.97
07/11/08	05:50:32	4.97
07/11/08	06:50:55	4.97
07/11/08	07:51:18	4.97
07/11/08	08:51:41	4.97
07/11/08	09:52:04	11.74
07/11/08	10:52:27	13.59
07/11/08	11:52:50	12.05
07/11/08	12:53:13	11.74
07/11/08	13:53:36	11.74
07/11/08	14:53:59	11.43
07/11/08	15:54:22	11.28
07/11/08	16:54:45	11.28
07/11/08	17:55:08	11.13
07/11/08	18:55:31	11.13
07/11/08	19:55:54	10.82
07/11/08	20:56:17	10.98
07/11/08	21:56:40	10.98
07/11/08	22:57:03	10.98
07/11/08	23:57:26	10.98
07/12/08	00:57:49	10.98
07/12/08	01:58:12	10.82
07/12/08	02:58:35	10.52
07/12/08	03:58:58	10.52
07/12/08	04:59:21	10.67
07/12/08	05:59:44	10.67
07/12/08	07:00:07	10.82
07/12/08	08:00:30	10.82
07/12/08	09:00:53	10.98
07/12/08	10:01:16	10.98
07/12/08	11:01:39	11.43
