Date	Time	Temperature  (*C)
07/09/08	12:35:48	26.06
07/09/08	13:35:48	14.87
07/09/08	14:35:48	18.85
07/09/08	15:35:48	5.44
07/09/08	16:35:48	5.29
07/09/08	17:35:48	5.44
07/09/08	18:35:48	5.60
07/09/08	19:35:48	5.60
07/09/08	20:35:48	5.60
07/09/08	21:35:48	5.60
07/09/08	22:35:48	5.44
07/09/08	23:35:48	5.44
07/10/08	00:35:48	5.44
07/10/08	01:35:48	5.29
07/10/08	02:35:48	5.44
07/10/08	03:35:48	5.44
07/10/08	04:35:48	5.44
07/10/08	05:35:48	5.44
07/10/08	06:35:48	5.44
07/10/08	07:35:48	5.60
07/10/08	08:35:48	5.44
07/10/08	09:35:48	5.60
07/10/08	10:35:48	5.60
07/10/08	11:35:48	5.29
07/10/08	12:35:48	13.78
07/10/08	13:35:48	5.13
07/10/08	14:35:48	5.13
07/10/08	15:35:48	5.13
07/10/08	16:35:48	5.13
07/10/08	17:35:48	5.13
07/10/08	18:35:48	5.13
07/10/08	19:35:48	5.13
07/10/08	20:35:48	4.98
07/10/08	21:35:48	4.98
07/10/08	22:35:48	5.13
07/10/08	23:35:48	4.98
07/11/08	00:35:48	4.98
07/11/08	01:35:48	4.98
07/11/08	02:35:48	5.13
07/11/08	03:35:48	5.13
07/11/08	04:35:48	5.13
07/11/08	05:35:48	5.13
07/11/08	06:35:48	5.13
07/11/08	07:35:48	5.13
07/11/08	08:35:48	11.92
07/11/08	09:35:48	11.16
07/11/08	10:35:48	11.46
07/11/08	11:35:48	11.62
07/11/08	12:35:48	13.47
07/11/08	13:35:48	12.70
07/11/08	14:35:48	13.16
07/11/08	15:35:48	11.46
07/11/08	16:35:48	12.23
07/11/08	17:35:48	11.77
07/11/08	18:35:48	11.62
07/11/08	19:35:48	11.31
07/11/08	20:35:48	11.77
07/11/08	21:35:48	11.46
07/11/08	22:35:48	11.31
07/11/08	23:35:48	11.00
07/12/08	00:35:48	10.69
07/12/08	01:35:48	10.38
07/12/08	02:35:48	10.38
07/12/08	03:35:48	10.38
07/12/08	04:35:48	10.23
07/12/08	05:35:48	10.23
07/12/08	06:35:48	10.69
07/12/08	07:35:48	10.54
07/12/08	08:35:48	10.84
07/12/08	09:35:48	10.84
07/12/08	10:35:48	11.77
07/12/08	11:35:48	12.70
07/12/08	12:35:48	12.70
07/12/08	13:35:48	12.54
07/12/08	14:35:48	12.86
07/12/08	15:35:48	15.02
07/12/08	16:35:48	16.29
07/12/08	17:35:48	14.71
07/12/08	18:35:48	14.71
07/12/08	19:35:48	12.39
07/12/08	20:35:48	11.77
07/12/08	21:35:48	11.31
07/12/08	22:35:48	11.16
07/12/08	23:35:48	10.84
07/13/08	00:35:48	10.84
07/13/08	01:35:48	10.54
07/13/08	02:35:48	10.69
07/13/08	03:35:48	10.69
07/13/08	04:35:48	10.54
07/13/08	05:35:48	10.69
07/13/08	06:35:48	10.84
07/13/08	07:35:48	11.16
07/13/08	08:35:48	10.84
07/13/08	09:35:48	12.23
07/13/08	10:35:48	15.50
07/13/08	11:35:48	12.23
07/13/08	12:35:48	12.86
07/13/08	13:35:48	14.24
07/13/08	14:35:48	14.87
07/13/08	15:35:48	14.55
07/13/08	16:35:48	6.22
07/13/08	17:35:48	6.06
07/13/08	18:35:48	5.76
07/13/08	19:35:48	5.76
07/13/08	20:35:48	5.76
07/13/08	21:35:48	5.76
07/13/08	22:35:48	5.76
07/13/08	23:35:48	5.76
07/14/08	00:35:48	6.06
07/14/08	01:35:48	5.91
07/14/08	02:35:48	5.91
07/14/08	03:35:48	6.06
07/14/08	04:35:48	6.37
07/14/08	05:35:48	6.37
07/14/08	06:35:48	6.53
07/14/08	07:35:48	6.06
07/14/08	08:35:48	5.76
07/14/08	09:35:48	5.60
07/14/08	10:35:48	5.60
07/14/08	11:35:48	5.60
07/14/08	12:35:48	13.62
07/14/08	13:35:48	15.97
07/14/08	14:35:48	4.82
07/14/08	15:35:48	4.82
07/14/08	16:35:48	4.82
07/14/08	17:35:48	4.82
07/14/08	18:35:48	4.82
07/14/08	19:35:48	4.82
07/14/08	20:35:48	4.82
07/14/08	21:35:48	4.82
07/14/08	22:35:48	4.82
07/14/08	23:35:48	4.82
07/15/08	00:35:48	4.82
07/15/08	01:35:48	4.82
07/15/08	02:35:48	4.82
07/15/08	03:35:48	4.82
07/15/08	04:35:48	4.82
07/15/08	05:35:48	4.82
07/15/08	06:35:48	4.82
07/15/08	07:35:48	4.82
07/15/08	08:35:48	11.62
07/15/08	09:35:48	11.62
07/15/08	10:35:48	12.08
07/15/08	11:35:48	11.92
07/15/08	12:35:48	13.32
07/15/08	13:35:48	13.62
07/15/08	14:35:48	13.32
07/15/08	15:35:48	12.70
07/15/08	16:35:48	13.16
07/15/08	17:35:48	5.60
07/15/08	18:35:48	5.60
07/15/08	19:35:48	5.44
07/15/08	20:35:48	5.60
07/15/08	21:35:48	5.60
07/15/08	22:35:48	5.60
07/15/08	23:35:48	5.44
07/16/08	00:35:48	5.60
07/16/08	01:35:48	5.76
07/16/08	02:35:48	5.76
07/16/08	03:35:48	5.76
07/16/08	04:35:48	5.76
07/16/08	05:35:48	5.76
07/16/08	06:35:48	5.60
07/16/08	07:35:48	5.60
07/16/08	08:35:48	5.60
07/16/08	09:35:48	5.60
07/16/08	10:35:48	5.60
07/16/08	11:35:48	5.60
07/16/08	12:35:48	12.54
07/16/08	13:35:48	12.39
07/16/08	14:35:48	15.34
07/16/08	15:35:48	5.13
07/16/08	16:35:48	5.13
07/16/08	17:35:48	5.13
07/16/08	18:35:48	5.13
07/16/08	19:35:48	5.13
07/16/08	20:35:48	5.13
07/16/08	21:35:48	5.13
07/16/08	22:35:48	5.13
07/16/08	23:35:48	5.13
07/17/08	00:35:48	5.13
07/17/08	01:35:48	5.13
07/17/08	02:35:48	5.13
07/17/08	03:35:48	5.13
07/17/08	04:35:48	5.13
07/17/08	05:35:48	5.13
07/17/08	06:35:48	5.13
07/17/08	07:35:48	5.13
07/17/08	08:35:48	11.62
07/17/08	09:35:48	11.77
07/17/08	10:35:48	11.77
07/17/08	11:35:48	19.82
07/17/08	12:35:48	20.63
