Date	Time	Temperature  (*C)
06/05/08	14:14:31	24.30
06/05/08	15:14:31	15.19
06/05/08	16:14:31	4.51
06/05/08	17:14:31	4.22
06/05/08	18:14:31	4.22
06/05/08	19:14:31	4.22
06/05/08	20:14:31	4.51
06/05/08	21:14:31	4.51
06/05/08	22:14:31	4.22
06/05/08	23:14:31	4.22
06/06/08	00:14:31	4.22
06/06/08	01:14:31	4.51
06/06/08	02:14:31	4.22
06/06/08	03:14:31	4.51
06/06/08	04:14:31	4.51
06/06/08	05:14:31	4.51
06/06/08	06:14:31	4.51
06/06/08	07:14:31	4.51
06/06/08	08:14:31	4.22
06/06/08	09:14:31	4.51
06/06/08	10:14:31	4.51
06/06/08	11:14:31	9.42
06/06/08	12:14:31	9.13
06/06/08	13:14:31	8.84
06/06/08	14:14:31	8.84
06/06/08	15:14:31	4.22
06/06/08	16:14:31	4.22
06/06/08	17:14:31	4.22
06/06/08	18:14:31	4.22
06/06/08	19:14:31	4.22
06/06/08	20:14:31	4.51
06/06/08	21:14:31	4.51
06/06/08	22:14:31	4.51
06/06/08	23:14:31	4.51
06/07/08	00:14:31	4.22
06/07/08	01:14:31	4.22
06/07/08	02:14:31	4.22
06/07/08	03:14:31	4.22
06/07/08	04:14:31	4.22
06/07/08	05:14:31	4.22
06/07/08	06:14:31	4.22
06/07/08	07:14:31	4.51
06/07/08	08:14:31	4.22
06/07/08	09:14:31	4.51
06/07/08	10:14:31	10.57
06/07/08	11:14:31	10.28
06/07/08	12:14:31	8.27
06/07/08	13:14:31	8.84
06/07/08	14:14:31	8.84
06/07/08	15:14:31	8.84
06/07/08	16:14:31	4.81
06/07/08	17:14:31	4.81
06/07/08	18:14:31	4.81
06/07/08	19:14:31	4.81
06/07/08	20:14:31	4.81
06/07/08	21:14:31	4.81
06/07/08	22:14:31	4.81
06/07/08	23:14:31	4.81
06/08/08	00:14:31	4.81
06/08/08	01:14:31	4.81
06/08/08	02:14:31	4.81
06/08/08	03:14:31	5.09
06/08/08	04:14:31	4.81
06/08/08	05:14:31	4.81
06/08/08	06:14:31	4.81
06/08/08	07:14:31	4.51
06/08/08	08:14:31	4.81
06/08/08	09:14:31	4.81
06/08/08	10:14:31	4.81
06/08/08	11:14:31	8.56
06/08/08	12:14:31	8.56
06/08/08	13:14:31	8.27
06/08/08	14:14:31	8.27
06/08/08	15:14:31	14.32
06/08/08	16:14:31	5.09
06/08/08	17:14:31	5.09
06/08/08	18:14:31	5.38
06/08/08	19:14:31	5.09
06/08/08	20:14:31	5.38
06/08/08	21:14:31	5.38
06/08/08	22:14:31	5.38
06/08/08	23:14:31	5.38
06/09/08	00:14:31	5.38
06/09/08	01:14:31	5.38
06/09/08	02:14:31	5.38
06/09/08	03:14:31	5.09
06/09/08	04:14:31	5.38
06/09/08	05:14:31	5.67
06/09/08	06:14:31	5.38
06/09/08	07:14:31	5.09
06/09/08	08:14:31	5.38
06/09/08	09:14:31	5.38
06/09/08	10:14:31	5.38
06/09/08	11:14:31	10.28
06/09/08	12:14:31	8.84
06/09/08	13:14:31	8.84
06/09/08	14:14:31	9.71
06/09/08	15:14:31	5.09
06/09/08	16:14:31	4.81
06/09/08	17:14:31	4.81
06/09/08	18:14:31	4.81
06/09/08	19:14:31	4.81
06/09/08	20:14:31	4.81
06/09/08	21:14:31	4.81
06/09/08	22:14:31	5.09
06/09/08	23:14:31	4.81
06/10/08	00:14:31	4.81
06/10/08	01:14:31	5.09
06/10/08	02:14:31	4.81
06/10/08	03:14:31	4.81
06/10/08	04:14:31	4.81
06/10/08	05:14:31	5.09
06/10/08	06:14:31	4.81
06/10/08	07:14:31	4.81
06/10/08	08:14:31	4.81
06/10/08	09:14:31	4.81
06/10/08	10:14:31	4.81
06/10/08	11:14:31	8.56
06/10/08	12:14:31	9.13
06/10/08	13:14:31	8.84
06/10/08	14:14:31	8.56
06/10/08	15:14:31	4.81
06/10/08	16:14:31	4.81
06/10/08	17:14:31	4.81
06/10/08	18:14:31	4.81
06/10/08	19:14:31	4.81
06/10/08	20:14:31	4.81
06/10/08	21:14:31	4.81
06/10/08	22:14:31	4.81
06/10/08	23:14:31	4.81
06/11/08	00:14:31	4.81
06/11/08	01:14:31	4.81
06/11/08	02:14:31	4.81
06/11/08	03:14:31	4.81
06/11/08	04:14:31	4.81
06/11/08	05:14:31	4.81
06/11/08	06:14:31	4.81
06/11/08	07:14:31	4.81
06/11/08	08:14:31	4.81
06/11/08	09:14:31	9.71
