Date Time	Temperature  (*C)
06/17/08 11:12:10.0	20.98
06/17/08 12:12:10.0	14.42
06/17/08 13:12:10.0	5.59
06/17/08 14:12:10.0	5.43
06/17/08 15:12:10.0	5.59
06/17/08 16:12:10.0	5.59
06/17/08 17:12:10.0	5.59
06/17/08 18:12:10.0	5.74
06/17/08 19:12:10.0	5.90
06/17/08 20:12:10.0	5.90
06/17/08 21:12:10.0	5.74
06/17/08 22:12:10.0	5.43
06/17/08 23:12:10.0	5.43
06/18/08 00:12:10.0	5.43
06/18/08 01:12:10.0	5.43
06/18/08 02:12:10.0	5.43
06/18/08 03:12:10.0	5.43
06/18/08 04:12:10.0	5.43
06/18/08 05:12:10.0	5.59
06/18/08 06:12:10.0	5.59
06/18/08 07:12:10.0	5.74
06/18/08 08:12:10.0	5.74
06/18/08 09:12:10.0	9.46
06/18/08 10:12:10.0	9.46
06/18/08 11:12:10.0	9.15
06/18/08 12:12:10.0	9.15
06/18/08 13:12:10.0	10.08
06/18/08 14:12:10.0	9.77
06/18/08 15:12:10.0	11.01
06/18/08 16:12:10.0	11.17
06/18/08 17:12:10.0	10.86
06/18/08 18:12:10.0	10.08
06/18/08 19:12:10.0	9.61
06/18/08 20:12:10.0	9.15
06/18/08 21:12:10.0	8.99
06/18/08 22:12:10.0	8.84
06/18/08 23:12:10.0	8.84
06/19/08 00:12:10.0	8.99
06/19/08 01:12:10.0	8.69
06/19/08 02:12:10.0	8.54
06/19/08 03:12:10.0	8.23
06/19/08 04:12:10.0	8.23
06/19/08 05:12:10.0	8.08
06/19/08 06:12:10.0	8.38
06/19/08 07:12:10.0	9.15
06/19/08 08:12:10.0	9.92
06/19/08 09:12:10.0	9.92
06/19/08 10:12:10.0	10.08
06/19/08 11:12:10.0	10.24
06/19/08 12:12:10.0	10.71
06/19/08 13:12:10.0	10.39
06/19/08 14:12:10.0	11.78
06/19/08 15:12:10.0	12.72
06/19/08 16:12:10.0	19.68
06/19/08 17:12:10.0	4.97
06/19/08 18:12:10.0	4.97
06/19/08 19:12:10.0	4.97
06/19/08 20:12:10.0	4.97
06/19/08 21:12:10.0	4.97
06/19/08 22:12:10.0	4.97
06/19/08 23:12:10.0	4.97
06/20/08 00:12:10.0	4.97
06/20/08 01:12:10.0	4.97
06/20/08 02:12:10.0	4.97
06/20/08 03:12:10.0	4.97
06/20/08 04:12:10.0	4.97
06/20/08 05:12:10.0	4.97
06/20/08 06:12:10.0	4.97
06/20/08 07:12:10.0	4.97
06/20/08 08:12:10.0	4.97
06/20/08 09:12:10.0	4.97
06/20/08 10:12:10.0	4.97
06/20/08 11:12:10.0	4.97
06/20/08 12:12:10.0	4.97
06/20/08 13:12:10.0	14.89
06/20/08 14:12:10.0	20.33
06/20/08 15:12:10.0	19.84
06/20/08 16:12:10.0	4.81
06/20/08 17:12:10.0	4.81
06/20/08 18:12:10.0	4.81
06/20/08 19:12:10.0	4.97
06/20/08 20:12:10.0	4.81
06/20/08 21:12:10.0	4.97
06/20/08 22:12:10.0	4.97
