Date Time	Temperature  (*C)
06/17/08 11:20:32.0	21.51
06/17/08 12:20:32.0	14.93
06/17/08 13:20:32.0	14.63
06/17/08 14:20:32.0	5.39
06/17/08 15:20:32.0	5.39
06/17/08 16:20:32.0	5.39
06/17/08 17:20:32.0	5.39
06/17/08 18:20:32.0	5.39
06/17/08 19:20:32.0	5.39
06/17/08 20:20:32.0	5.39
06/17/08 21:20:32.0	5.39
06/17/08 22:20:32.0	5.39
06/17/08 23:20:32.0	5.39
06/18/08 00:20:32.0	5.39
06/18/08 01:20:32.0	5.39
06/18/08 02:20:32.0	5.39
06/18/08 03:20:32.0	5.39
06/18/08 04:20:32.0	5.39
06/18/08 05:20:32.0	5.39
06/18/08 06:20:32.0	5.39
06/18/08 07:20:32.0	5.39
06/18/08 08:20:32.0	5.39
06/18/08 09:20:32.0	5.39
06/18/08 10:20:32.0	9.72
06/18/08 11:20:32.0	9.72
06/18/08 12:20:32.0	9.72
06/18/08 13:20:32.0	12.02
06/18/08 14:20:32.0	10.87
06/18/08 15:20:32.0	5.39
06/18/08 16:20:32.0	5.39
06/18/08 17:20:32.0	5.39
06/18/08 18:20:32.0	5.39
06/18/08 19:20:32.0	5.39
06/18/08 20:20:32.0	5.39
06/18/08 21:20:32.0	5.39
06/18/08 22:20:32.0	5.68
06/18/08 23:20:32.0	5.68
06/19/08 00:20:32.0	5.39
06/19/08 01:20:32.0	5.39
06/19/08 02:20:32.0	5.39
06/19/08 03:20:32.0	5.39
06/19/08 04:20:32.0	5.39
06/19/08 05:20:32.0	5.39
06/19/08 06:20:32.0	5.68
06/19/08 07:20:32.0	5.68
06/19/08 08:20:32.0	5.68
06/19/08 09:20:32.0	5.68
06/19/08 10:20:32.0	5.68
06/19/08 11:20:32.0	12.02
06/19/08 12:20:32.0	12.61
06/19/08 13:20:32.0	11.73
06/19/08 14:20:32.0	4.82
06/19/08 15:20:32.0	5.11
06/19/08 16:20:32.0	5.11
06/19/08 17:20:32.0	5.11
06/19/08 18:20:32.0	5.11
06/19/08 19:20:32.0	5.11
06/19/08 20:20:32.0	5.11
06/19/08 21:20:32.0	5.11
06/19/08 22:20:32.0	4.82
06/19/08 23:20:32.0	4.82
06/20/08 00:20:32.0	4.82
06/20/08 01:20:32.0	5.11
06/20/08 02:20:32.0	4.82
06/20/08 03:20:32.0	4.82
06/20/08 04:20:32.0	5.11
06/20/08 05:20:32.0	5.11
06/20/08 06:20:32.0	5.11
06/20/08 07:20:32.0	5.11
06/20/08 08:20:32.0	5.11
06/20/08 09:20:32.0	10.01
06/20/08 10:20:32.0	10.87
06/20/08 11:20:32.0	11.44
06/20/08 12:20:32.0	12.32
06/20/08 13:20:32.0	12.32
06/20/08 14:20:32.0	13.77
06/20/08 15:20:32.0	15.80
06/20/08 16:20:32.0	16.68
06/20/08 17:20:32.0	20.28
06/20/08 18:20:32.0	5.11
06/20/08 19:20:32.0	5.11
06/20/08 20:20:32.0	5.11
06/20/08 21:20:32.0	5.11
06/20/08 22:20:32.0	5.11
06/20/08 23:20:32.0	5.11
06/21/08 00:20:32.0	5.11
06/21/08 01:20:32.0	5.11
06/21/08 02:20:32.0	5.11
06/21/08 03:20:32.0	5.11
06/21/08 04:20:32.0	5.11
06/21/08 05:20:32.0	5.11
06/21/08 06:20:32.0	5.11
06/21/08 07:20:32.0	5.11
06/21/08 08:20:32.0	5.11
06/21/08 09:20:32.0	5.11
06/21/08 10:20:32.0	5.11
06/21/08 11:20:32.0	5.11
06/21/08 12:20:32.0	11.44
06/21/08 13:20:32.0	12.89
06/21/08 14:20:32.0	7.70
06/21/08 15:20:32.0	5.39
06/21/08 16:20:32.0	5.68
06/21/08 17:20:32.0	5.68
06/21/08 18:20:32.0	5.68
06/21/08 19:20:32.0	5.68
06/21/08 20:20:32.0	5.68
06/21/08 21:20:32.0	5.68
06/21/08 22:20:32.0	5.68
06/21/08 23:20:32.0	5.68
06/22/08 00:20:32.0	5.68
06/22/08 01:20:32.0	5.68
06/22/08 02:20:32.0	5.68
06/22/08 03:20:32.0	5.68
06/22/08 04:20:32.0	5.68
06/22/08 05:20:32.0	5.68
06/22/08 06:20:32.0	5.68
06/22/08 07:20:32.0	5.68
06/22/08 08:20:32.0	5.68
06/22/08 09:20:32.0	10.30
06/22/08 10:20:32.0	10.30
06/22/08 11:20:32.0	10.30
06/22/08 12:20:32.0	10.58
06/22/08 13:20:32.0	11.16
06/22/08 14:20:32.0	12.32
06/22/08 15:20:32.0	13.77
06/22/08 16:20:32.0	15.22
06/22/08 17:20:32.0	15.22
06/22/08 18:20:32.0	14.93
06/22/08 19:20:32.0	14.93
06/22/08 20:20:32.0	12.89
06/22/08 21:20:32.0	12.32
06/22/08 22:20:32.0	11.73
06/22/08 23:20:32.0	11.16
06/23/08 00:20:32.0	10.87
06/23/08 01:20:32.0	10.58
06/23/08 02:20:32.0	10.58
06/23/08 03:20:32.0	9.72
06/23/08 04:20:32.0	9.72
06/23/08 05:20:32.0	10.58
06/23/08 06:20:32.0	10.58
06/23/08 07:20:32.0	11.73
06/23/08 08:20:32.0	11.16
06/23/08 09:20:32.0	11.16
06/23/08 10:20:32.0	11.16
06/23/08 11:20:32.0	11.44
06/23/08 12:20:32.0	12.02
06/23/08 13:20:32.0	12.61
06/23/08 14:20:32.0	11.73
06/23/08 15:20:32.0	13.18
06/23/08 16:20:32.0	5.11
06/23/08 17:20:32.0	5.11
06/23/08 18:20:32.0	5.11
06/23/08 19:20:32.0	5.11
06/23/08 20:20:32.0	5.11
06/23/08 21:20:32.0	4.82
06/23/08 22:20:32.0	5.11
06/23/08 23:20:32.0	5.11
06/24/08 00:20:32.0	5.11
06/24/08 01:20:32.0	5.11
06/24/08 02:20:32.0	5.11
06/24/08 03:20:32.0	5.11
06/24/08 04:20:32.0	5.11
06/24/08 05:20:32.0	5.11
06/24/08 06:20:32.0	5.11
06/24/08 07:20:32.0	5.11
06/24/08 08:20:32.0	5.11
06/24/08 09:20:32.0	4.82
06/24/08 10:20:32.0	5.11
06/24/08 11:20:32.0	11.16
06/24/08 12:20:32.0	10.58
06/24/08 13:20:32.0	11.16
06/24/08 14:20:32.0	5.11
06/24/08 15:20:32.0	5.11
06/24/08 16:20:32.0	5.11
06/24/08 17:20:32.0	5.11
06/24/08 18:20:32.0	5.11
06/24/08 19:20:32.0	5.11
06/24/08 20:20:32.0	5.39
06/24/08 21:20:32.0	5.11
06/24/08 22:20:32.0	5.11
06/24/08 23:20:32.0	5.11
06/25/08 00:20:32.0	5.11
06/25/08 01:20:32.0	5.11
06/25/08 02:20:32.0	5.11
06/25/08 03:20:32.0	5.11
06/25/08 04:20:32.0	5.11
06/25/08 05:20:32.0	5.11
06/25/08 06:20:32.0	5.11
06/25/08 07:20:32.0	5.39
06/25/08 08:20:32.0	5.11
06/25/08 09:20:32.0	10.30
06/25/08 10:20:32.0	10.87
06/25/08 11:20:32.0	10.30
06/25/08 12:20:32.0	10.87
06/25/08 13:20:32.0	11.44
06/25/08 14:20:32.0	11.73
06/25/08 15:20:32.0	16.68
06/25/08 16:20:32.0	4.82
06/25/08 17:20:32.0	4.82
06/25/08 18:20:32.0	4.82
06/25/08 19:20:32.0	5.11
06/25/08 20:20:32.0	5.11
06/25/08 21:20:32.0	5.11
06/25/08 22:20:32.0	5.11
