Date Time	Temperature  (*C)
09/04/08 15:37:23.0	21.32
09/04/08 18:03:01.0	6.09
09/04/08 20:28:39.0	6.09
09/04/08 22:54:17.0	6.09
09/05/08 01:19:55.0	6.24
09/05/08 03:45:33.0	6.09
09/05/08 06:11:11.0	6.09
09/05/08 08:36:49.0	6.09
09/05/08 11:02:27.0	12.73
09/05/08 13:28:05.0	21.82
09/05/08 15:53:43.0	18.88
09/05/08 18:19:21.0	6.40
09/05/08 20:44:59.0	6.40
09/05/08 23:10:37.0	6.40
09/06/08 01:36:15.0	6.24
09/06/08 04:01:53.0	6.24
09/06/08 06:27:31.0	6.40
09/06/08 08:53:09.0	10.57
09/06/08 11:18:47.0	11.81
09/06/08 13:44:25.0	19.05
09/06/08 16:10:03.0	20.18
09/06/08 18:35:41.0	6.40
09/06/08 21:01:19.0	6.24
09/06/08 23:26:57.0	6.40
09/07/08 01:52:35.0	6.40
09/07/08 04:18:13.0	6.40
09/07/08 06:43:51.0	6.40
09/07/08 09:09:29.0	6.24
09/07/08 11:35:07.0	13.51
09/07/08 14:00:45.0	13.82
09/07/08 16:26:23.0	6.24
09/07/08 18:52:01.0	6.24
09/07/08 21:17:39.0	6.24
09/07/08 23:43:17.0	6.24
09/08/08 02:08:55.0	6.24
09/08/08 04:34:33.0	6.24
09/08/08 07:00:11.0	6.24
09/08/08 09:25:49.0	12.58
09/08/08 11:51:27.0	15.38
09/08/08 14:17:05.0	19.21
09/08/08 16:42:43.0	15.86
09/08/08 19:08:21.0	12.43
09/08/08 21:33:59.0	11.19
09/08/08 23:59:37.0	11.04
09/09/08 02:25:15.0	10.11
09/09/08 04:50:53.0	10.26
09/09/08 07:16:31.0	9.64
09/09/08 09:42:09.0	15.23
09/09/08 12:07:47.0	19.37
09/09/08 14:33:25.0	27.68
09/09/08 16:59:03.0	17.60
09/09/08 19:24:41.0	14.44
09/09/08 21:50:19.0	12.43
09/10/08 00:15:57.0	10.42
09/10/08 02:41:35.0	10.11
09/10/08 05:07:13.0	10.11
09/10/08 07:32:51.0	9.79
09/10/08 09:58:29.0	11.19
09/10/08 12:24:07.0	12.12
09/10/08 14:49:45.0	12.12
09/10/08 17:15:23.0	6.24
09/10/08 19:41:01.0	6.24
09/10/08 22:06:39.0	6.24
09/11/08 00:32:17.0	6.24
09/11/08 02:57:55.0	6.24
09/11/08 05:23:33.0	6.24
09/11/08 07:49:11.0	6.24
09/11/08 10:14:49.0	13.97
09/11/08 12:40:27.0	16.64
09/11/08 15:06:05.0	16.80
09/11/08 17:31:43.0	6.09
09/11/08 19:57:21.0	6.09
09/11/08 22:22:59.0	6.09
09/12/08 00:48:37.0	6.09
09/12/08 03:14:15.0	6.09
09/12/08 05:39:53.0	6.09
09/12/08 08:05:31.0	6.09
09/12/08 10:31:09.0	6.09
09/12/08 12:56:47.0	20.51
09/12/08 15:22:25.0	19.70
09/12/08 17:48:03.0	6.56
09/12/08 20:13:41.0	6.56
09/12/08 22:39:19.0	6.56
09/13/08 01:04:57.0	6.56
09/13/08 03:30:35.0	6.71
09/13/08 05:56:13.0	6.56
09/13/08 08:21:51.0	12.27
09/13/08 10:47:29.0	18.56
09/13/08 13:13:07.0	22.32
09/13/08 15:38:45.0	22.99
09/13/08 18:04:23.0	22.82
09/13/08 20:30:01.0	17.76
09/13/08 22:55:39.0	11.81
09/14/08 01:21:17.0	12.43
09/14/08 03:46:55.0	12.73
09/14/08 06:12:33.0	13.35
09/14/08 08:38:11.0	13.82
09/14/08 11:03:49.0	14.28
09/14/08 13:29:27.0	22.15
09/14/08 15:55:05.0	23.67
09/14/08 18:20:43.0	24.01
09/14/08 20:46:21.0	24.01
09/14/08 23:11:59.0	22.65
09/15/08 01:37:37.0	21.82
09/15/08 04:03:15.0	21.49
09/15/08 06:28:53.0	20.51
