Date Time	Temperature  (*C)
09/04/08 	13:09:17.0	20.88
09/04/08 	14:09:17.0	14.93
09/04/08 	15:09:17.0	17.28
09/04/08 	16:09:17.0	5.99
09/04/08 	17:09:17.0	5.99
09/04/08 	18:09:17.0	5.99
09/04/08 	19:09:17.0	5.99
09/04/08 	20:09:17.0	5.99
09/04/08 	21:09:17.0	5.99
09/04/08 	22:09:17.0	6.28
09/04/08 	23:09:17.0	6.28
09/05/08 	00:09:17.0	6.28
09/05/08 	01:09:17.0	5.99
09/05/08 	02:09:17.0	5.99
09/05/08 	03:09:17.0	5.99
09/05/08 	04:09:17.0	5.99
09/05/08 	05:09:17.0	5.99
09/05/08 	06:09:17.0	6.28
09/05/08 	07:09:17.0	6.28
09/05/08 	08:09:17.0	5.99
09/05/08 	09:09:17.0	5.99
09/05/08 	10:09:17.0	14.35
09/05/08 	11:09:17.0	15.52
09/05/08 	12:09:17.0	15.22
09/05/08 	13:09:17.0	16.99
09/05/08 	14:09:17.0	5.99
09/05/08 	15:09:17.0	5.99
09/05/08 	16:09:17.0	5.99
09/05/08 	17:09:17.0	5.99
09/05/08 	18:09:17.0	5.99
09/05/08 	19:09:17.0	5.99
09/05/08 	20:09:17.0	6.28
09/05/08 	21:09:17.0	5.99
09/05/08 	22:09:17.0	5.99
09/05/08 	23:09:17.0	5.99
09/06/08 	00:09:17.0	5.99
09/06/08 	01:09:17.0	5.99
09/06/08 	02:09:17.0	5.99
09/06/08 	03:09:17.0	5.99
09/06/08 	04:09:17.0	5.99
09/06/08 	05:09:17.0	5.99
09/06/08 	06:09:17.0	5.99
09/06/08 	07:09:17.0	5.99
09/06/08 	08:09:17.0	5.99
09/06/08 	09:09:17.0	11.18
09/06/08 	10:09:17.0	14.06
09/06/08 	11:09:17.0	16.69
09/06/08 	12:09:17.0	14.93
09/06/08 	13:09:17.0	14.64
09/06/08 	14:09:17.0	18.48
09/06/08 	15:09:17.0	5.99
09/06/08 	16:09:17.0	5.99
09/06/08 	17:09:17.0	5.99
09/06/08 	18:09:17.0	5.99
09/06/08 	19:09:17.0	5.99
09/06/08 	20:09:17.0	5.99
09/06/08 	21:09:17.0	5.99
09/06/08 	22:09:17.0	5.99
09/06/08 	23:09:17.0	5.99
09/07/08 	00:09:17.0	5.99
09/07/08 	01:09:17.0	5.99
09/07/08 	02:09:17.0	5.99
09/07/08 	03:09:17.0	5.99
09/07/08 	04:09:17.0	5.99
09/07/08 	05:09:17.0	5.99
09/07/08 	06:09:17.0	5.99
09/07/08 	07:09:17.0	5.99
09/07/08 	08:09:17.0	5.99
09/07/08 	09:09:17.0	5.99
09/07/08 	10:09:17.0	5.99
09/07/08 	11:09:17.0	13.48
09/07/08 	12:09:17.0	13.19
09/07/08 	13:09:17.0	13.77
09/07/08 	14:09:17.0	6.28
09/07/08 	15:09:17.0	6.28
09/07/08 	16:09:17.0	6.28
09/07/08 	17:09:17.0	6.28
09/07/08 	18:09:17.0	6.28
09/07/08 	19:09:17.0	6.28
09/07/08 	20:09:17.0	6.28
09/07/08 	21:09:17.0	6.28
09/07/08 	22:09:17.0	6.28
09/07/08 	23:09:17.0	6.28
09/08/08 	00:09:17.0	6.28
09/08/08 	01:09:17.0	6.28
09/08/08 	02:09:17.0	6.28
09/08/08 	03:09:17.0	6.28
09/08/08 	04:09:17.0	6.28
09/08/08 	05:09:17.0	6.28
09/08/08 	06:09:17.0	6.28
09/08/08 	07:09:17.0	6.28
09/08/08 	08:09:17.0	10.60
09/08/08 	09:09:17.0	11.46
09/08/08 	10:09:17.0	11.46
09/08/08 	11:09:17.0	11.18
09/08/08 	12:09:17.0	12.33
09/08/08 	13:09:17.0	12.04
09/08/08 	14:09:17.0	12.04
09/08/08 	15:09:17.0	12.04
09/08/08 	16:09:17.0	12.04
09/08/08 	17:09:17.0	11.75
09/08/08 	18:09:17.0	11.75
09/08/08 	19:09:17.0	11.18
09/08/08 	20:09:17.0	11.18
09/08/08 	21:09:17.0	10.89
09/08/08 	22:09:17.0	10.89
09/08/08 	23:09:17.0	10.89
09/09/08 	00:09:17.0	10.31
09/09/08 	01:09:17.0	10.03
09/09/08 	02:09:17.0	10.31
09/09/08 	03:09:17.0	10.60
09/09/08 	04:09:17.0	10.31
09/09/08 	05:09:17.0	10.31
09/09/08 	06:09:17.0	10.03
09/09/08 	07:09:17.0	10.03
09/09/08 	08:09:17.0	10.89
09/09/08 	09:09:17.0	11.75
09/09/08 	10:09:17.0	12.33
09/09/08 	11:09:17.0	13.19
09/09/08 	12:09:17.0	13.77
09/09/08 	13:09:17.0	13.77
09/09/08 	14:09:17.0	13.77
09/09/08 	15:09:17.0	13.19
09/09/08 	16:09:17.0	13.48
09/09/08 	17:09:17.0	13.19
09/09/08 	18:09:17.0	12.91
09/09/08 	19:09:17.0	12.62
09/09/08 	20:09:17.0	12.33
09/09/08 	21:09:17.0	12.04
09/09/08 	22:09:17.0	11.46
09/09/08 	23:09:17.0	10.89
09/10/08 	00:09:17.0	10.89
09/10/08 	01:09:17.0	10.89
09/10/08 	02:09:17.0	10.89
09/10/08 	03:09:17.0	10.89
09/10/08 	04:09:17.0	10.89
09/10/08 	05:09:17.0	10.60
09/10/08 	06:09:17.0	10.31
09/10/08 	07:09:17.0	10.03
09/10/08 	08:09:17.0	10.03
09/10/08 	09:09:17.0	10.03
09/10/08 	10:09:17.0	10.31
09/10/08 	11:09:17.0	10.60
09/10/08 	12:09:17.0	11.46
09/10/08 	13:09:17.0	12.04
09/10/08 	14:09:17.0	6.28
09/10/08 	15:09:17.0	6.28
09/10/08 	16:09:17.0	6.28
09/10/08 	17:09:17.0	6.28
09/10/08 	18:09:17.0	6.28
09/10/08 	19:09:17.0	6.28
09/10/08 	20:09:17.0	6.28
09/10/08 	21:09:17.0	6.28
09/10/08 	22:09:17.0	6.28
09/10/08 	23:09:17.0	6.28
09/11/08 	00:09:17.0	6.28
09/11/08 	01:09:17.0	6.28
09/11/08 	02:09:17.0	6.28
09/11/08 	03:09:17.0	6.28
09/11/08 	04:09:17.0	6.28
09/11/08 	05:09:17.0	6.28
09/11/08 	06:09:17.0	6.28
09/11/08 	07:09:17.0	6.28
09/11/08 	08:09:17.0	10.89
09/11/08 	09:09:17.0	11.18
09/11/08 	10:09:17.0	11.46
09/11/08 	11:09:17.0	11.75
09/11/08 	12:09:17.0	11.75
09/11/08 	13:09:17.0	11.75
09/11/08 	14:09:17.0	12.33
09/11/08 	15:09:17.0	6.28
09/11/08 	16:09:17.0	6.28
09/11/08 	17:09:17.0	6.28
09/11/08 	18:09:17.0	6.28
