Date Time	Temperature  (*C)
09/04/08 13:04:18.0	19.82
09/04/08 14:04:18.0	14.87
09/04/08 15:04:18.0	14.87
09/04/08 16:04:18.0	6.68
09/04/08 17:04:18.0	6.53
09/04/08 18:04:18.0	6.68
09/04/08 19:04:18.0	6.68
09/04/08 20:04:18.0	6.84
09/04/08 21:04:18.0	6.68
09/04/08 22:04:18.0	6.68
09/04/08 23:04:18.0	6.68
09/05/08 00:04:18.0	6.53
09/05/08 01:04:18.0	6.53
09/05/08 02:04:18.0	6.53
09/05/08 03:04:18.0	6.68
09/05/08 04:04:18.0	6.53
09/05/08 05:04:18.0	6.53
09/05/08 06:04:18.0	6.68
09/05/08 07:04:18.0	6.68
09/05/08 08:04:18.0	6.84
09/05/08 09:04:18.0	6.68
09/05/08 10:04:18.0	6.53
09/05/08 11:04:18.0	12.70
09/05/08 12:04:18.0	15.50
09/05/08 13:04:18.0	19.33
09/05/08 14:04:18.0	18.20
09/05/08 15:04:18.0	5.91
09/05/08 16:04:18.0	5.91
09/05/08 17:04:18.0	5.91
09/05/08 18:04:18.0	5.91
09/05/08 19:04:18.0	5.91
09/05/08 20:04:18.0	5.91
09/05/08 21:04:18.0	5.91
09/05/08 22:04:18.0	5.91
09/05/08 23:04:18.0	5.91
09/06/08 00:04:18.0	5.91
09/06/08 01:04:18.0	5.91
09/06/08 02:04:18.0	5.91
09/06/08 03:04:18.0	5.91
09/06/08 04:04:18.0	5.91
09/06/08 05:04:18.0	5.91
09/06/08 06:04:18.0	5.91
09/06/08 07:04:18.0	5.91
09/06/08 08:04:18.0	5.91
09/06/08 09:04:18.0	5.91
09/06/08 10:04:18.0	11.92
09/06/08 11:04:18.0	11.77
09/06/08 12:04:18.0	12.08
09/06/08 13:04:18.0	15.66
09/06/08 14:04:18.0	6.37
09/06/08 15:04:18.0	6.37
09/06/08 16:04:18.0	6.37
09/06/08 17:04:18.0	6.37
09/06/08 18:04:18.0	6.53
09/06/08 19:04:18.0	6.53
09/06/08 20:04:18.0	6.37
09/06/08 21:04:18.0	6.37
