Date Time	Temperature  (*C)
09/04/08 	13:13:45.0	21.25
09/04/08 	14:13:45.0	14.66
09/04/08 	15:13:45.0	14.81
09/04/08 	16:13:45.0	6.89
09/04/08 	17:13:45.0	6.89
09/04/08 	18:13:45.0	7.20
09/04/08 	19:13:45.0	7.20
09/04/08 	20:13:45.0	7.20
09/04/08 	21:13:45.0	7.20
09/04/08 	22:13:45.0	7.20
09/04/08 	23:13:45.0	7.04
09/05/08 	00:13:45.0	6.89
09/05/08 	01:13:45.0	7.04
09/05/08 	02:13:45.0	6.89
09/05/08 	03:13:45.0	6.89
09/05/08 	04:13:45.0	7.04
09/05/08 	05:13:45.0	6.89
09/05/08 	06:13:45.0	7.04
09/05/08 	07:13:45.0	7.04
09/05/08 	08:13:45.0	7.20
09/05/08 	09:13:45.0	7.04
09/05/08 	10:13:45.0	7.04
09/05/08 	11:13:45.0	17.35
09/05/08 	12:13:45.0	15.13
09/05/08 	13:13:45.0	16.24
09/05/08 	14:13:45.0	16.56
09/05/08 	15:13:45.0	5.95
09/05/08 	16:13:45.0	5.95
09/05/08 	17:13:45.0	5.95
09/05/08 	18:13:45.0	5.95
09/05/08 	19:13:45.0	5.95
09/05/08 	20:13:45.0	5.95
09/05/08 	21:13:45.0	5.95
09/05/08 	22:13:45.0	5.95
09/05/08 	23:13:45.0	5.95
09/06/08 	00:13:45.0	5.95
09/06/08 	01:13:45.0	5.95
09/06/08 	02:13:45.0	5.95
09/06/08 	03:13:45.0	5.95
09/06/08 	04:13:45.0	5.95
09/06/08 	05:13:45.0	5.95
09/06/08 	06:13:45.0	5.95
09/06/08 	07:13:45.0	5.95
09/06/08 	08:13:45.0	5.95
09/06/08 	09:13:45.0	5.95
09/06/08 	10:13:45.0	11.54
09/06/08 	11:13:45.0	12.17
09/06/08	12:13:45.0	17.51
09/06/08 	13:13:45.0	6.42
09/06/08 	14:13:45.0	6.27
09/06/08 	15:13:45.0	6.27
09/06/08 	16:13:45.0	6.27
09/06/08 	17:13:45.0	6.27
09/06/08 	18:13:45.0	6.27
09/06/08 	19:13:45.0	6.27
09/06/08 	20:13:45.0	6.27
09/06/08 	21:13:45.0	6.11
09/06/08 	22:13:45.0	6.11
09/06/08 	23:13:45.0	6.27
09/07/08 	00:13:45.0	6.27
09/07/08 	01:13:45.0	6.27
09/07/08 	02:13:45.0	6.27
09/07/08 	03:13:45.0	6.27
09/07/08 	04:13:45.0	6.27
09/07/08 	05:13:45.0	6.27
09/07/08 	06:13:45.0	6.27
09/07/08 	07:13:45.0	6.27
09/07/08 	08:13:45.0	6.27
09/07/08 	09:13:45.0	13.10
09/07/08 	10:13:45.0	14.81
09/07/08 	11:13:45.0	15.13
09/07/08 	12:13:45.0	13.41
09/07/08 	13:13:45.0	13.41
09/07/08 	14:13:45.0	6.11
09/07/08 	15:13:45.0	6.11
09/07/08 	16:13:45.0	6.11
09/07/08 	17:13:45.0	6.11
09/07/08 	18:13:45.0	6.11
09/07/08 	19:13:45.0	6.11
09/07/08 	20:13:45.0	6.11
09/07/08 	21:13:45.0	6.27
09/07/08 	22:13:45.0	6.11
09/07/08 	23:13:45.0	6.11
09/08/08 	00:13:45.0	6.27
09/08/08 	01:13:45.0	6.11
09/08/08 	02:13:45.0	6.11
09/08/08 	03:13:45.0	6.11
09/08/08 	04:13:45.0	6.11
09/08/08 	05:13:45.0	6.27
09/08/08 	06:13:45.0	6.27
09/08/08 	07:13:45.0	6.27
09/08/08 	08:13:45.0	6.11
09/08/08 	09:13:45.0	11.39
09/08/08 	10:13:45.0	11.70
09/08/08 	11:13:45.0	12.48
09/08/08 	12:13:45.0	11.86
09/08/08 	13:13:45.0	12.01
09/08/08 	14:13:45.0	12.79
09/08/08 	15:13:45.0	12.79
09/08/08 	16:13:45.0	12.17
09/08/08 	17:13:45.0	12.48
09/08/08 	18:13:45.0	12.17
09/08/08 	19:13:45.0	11.70
09/08/08 	20:13:45.0	11.23
09/08/08 	21:13:45.0	10.93
09/08/08 	22:13:45.0	10.93
09/08/08 	23:13:45.0	10.93
09/09/08 	00:13:45.0	10.77
09/09/08 	01:13:45.0	10.62
09/09/08 	02:13:45.0	10.62
09/09/08 	03:13:45.0	10.46
09/09/08 	04:13:45.0	10.46
09/09/08 	05:13:45.0	10.46
09/09/08 	06:13:45.0	10.46
09/09/08 	07:13:45.0	10.46
09/09/08 	08:13:45.0	13.41
09/09/08 	09:13:45.0	13.72
09/09/08 	10:13:45.0	13.10
09/09/08 	11:13:45.0	14.03
09/09/08 	12:13:45.0	13.87
09/09/08 	13:13:45.0	14.66
09/09/08 	14:13:45.0	14.81
09/09/08 	15:13:45.0	13.57
09/09/08 	16:13:45.0	13.72
09/09/08 	17:13:45.0	13.10
09/09/08 	18:13:45.0	12.94
09/09/08 	19:13:45.0	13.10
09/09/08 	20:13:45.0	13.10
09/09/08 	21:13:45.0	12.79
09/09/08 	22:13:45.0	12.48
09/09/08 	23:13:45.0	12.01
09/10/08 	00:13:45.0	11.86
09/10/08 	01:13:45.0	11.86
09/10/08 	02:13:45.0	11.86
09/10/08 	03:13:45.0	11.70
09/10/08 	04:13:45.0	11.70
09/10/08 	05:13:45.0	11.39
09/10/08 	06:13:45.0	10.62
09/10/08 	07:13:45.0	10.46
09/10/08 	08:13:45.0	10.46
09/10/08 	09:13:45.0	10.62
09/10/08 	10:13:45.0	10.93
09/10/08 	11:13:45.0	11.23
09/10/08 	12:13:45.0	12.01
09/10/08 	13:13:45.0	12.48
09/10/08 	14:13:45.0	6.27
09/10/08 	15:13:45.0	6.27
09/10/08 	16:13:45.0	6.27
09/10/08 	17:13:45.0	6.27
09/10/08 	18:13:45.0	6.27
09/10/08 	19:13:45.0	6.27
09/10/08 	20:13:45.0	6.42
09/10/08 	21:13:45.0	6.27
09/10/08 	22:13:45.0	6.27
09/10/08 	23:13:45.0	6.27
09/11/08 	00:13:45.0	6.27
09/11/08 	01:13:45.0	6.27
09/11/08 	02:13:45.0	6.27
09/11/08 	03:13:45.0	6.42
09/11/08 	04:13:45.0	6.27
09/11/08 	05:13:45.0	6.27
09/11/08 	06:13:45.0	6.27
09/11/08 	07:13:45.0	6.27
09/11/08 	08:13:45.0	6.27
09/11/08 	09:13:45.0	6.27
09/11/08 	10:13:45.0	12.32
09/11/08 	11:13:45.0	12.48
09/11/08 	12:13:45.0	12.17
09/11/08 	13:13:45.0	13.87
09/11/08 	14:13:45.0	6.42
09/11/08 	15:13:45.0	6.42
09/11/08 	16:13:45.0	6.42
09/11/08 	17:13:45.0	6.42
09/11/08 	18:13:45.0	6.42
09/11/08 	19:13:45.0	6.42
09/11/08 	20:13:45.0	6.42
09/11/08 	21:13:45.0	6.42
09/11/08 	22:13:45.0	6.42
09/11/08 	23:13:45.0	6.42
09/12/08 	00:13:45.0	6.42
09/12/08 	01:13:45.0	6.42
09/12/08 	02:13:45.0	6.42
09/12/08 	03:13:45.0	6.27
09/12/08 	04:13:45.0	6.27
09/12/08 	05:13:45.0	6.27
09/12/08 	06:13:45.0	6.27
09/12/08 	07:13:45.0	6.27
09/12/08 	08:13:45.0	11.70
09/12/08 	09:13:45.0	13.10
09/12/08 	10:13:45.0	15.29
09/12/08 	11:13:45.0	14.81
09/12/08 	12:13:45.0	24.98
09/12/08 	13:13:45.0	16.40
09/12/08 	14:13:45.0	16.08
09/12/08 	15:13:45.0	8.13
09/12/08 	16:13:45.0	7.98
09/12/08 	17:13:45.0	8.13
09/12/08 	18:13:45.0	7.98
09/12/08 	19:13:45.0	7.82
09/12/08 	20:13:45.0	7.82
09/12/08 	21:13:45.0	7.82
09/12/08 	22:13:45.0	7.67
09/12/08 	23:13:45.0	7.67
09/13/08 	00:13:45.0	7.67
09/13/08 	01:13:45.0	7.67
09/13/08 	02:13:45.0	7.82
09/13/08 	03:13:45.0	7.98
09/13/08 	04:13:45.0	8.13
09/13/08 	05:13:45.0	7.82
09/13/08 	06:13:45.0	7.67
09/13/08 	07:13:45.0	7.82
09/13/08 	08:13:45.0	7.82
