Date Time	Temperature  (*C)
09/04/08 13:12:55.0	21.11
09/04/08 14:12:55.0	14.39
09/04/08 15:12:55.0	6.06
09/04/08 16:12:55.0	6.06
09/04/08 17:12:55.0	6.06
09/04/08 18:12:55.0	6.06
09/04/08 19:12:55.0	6.06
09/04/08 20:12:55.0	6.06
09/04/08 21:12:55.0	6.21
09/04/08 22:12:55.0	6.21
09/04/08 23:12:55.0	6.21
09/05/08 00:12:55.0	6.37
09/05/08 01:12:55.0	6.37
09/05/08 02:12:55.0	6.21
09/05/08 03:12:55.0	6.21
09/05/08 04:12:55.0	6.21
09/05/08 05:12:55.0	6.06
09/05/08 06:12:55.0	6.21
09/05/08 07:12:55.0	6.21
09/05/08 08:12:55.0	6.21
09/05/08 09:12:55.0	12.69
09/05/08 10:12:55.0	13.16
09/05/08 11:12:55.0	14.71
09/05/08 12:12:55.0	16.28
09/05/08 13:12:55.0	16.76
09/05/08 14:12:55.0	6.06
09/05/08 15:12:55.0	6.06
09/05/08 16:12:55.0	6.21
09/05/08 17:12:55.0	6.21
09/05/08 18:12:55.0	6.21
09/05/08 19:12:55.0	6.37
09/05/08 20:12:55.0	6.21
09/05/08 21:12:55.0	6.21
09/05/08 22:12:55.0	6.21
09/05/08 23:12:55.0	6.21
09/06/08 00:12:55.0	6.21
09/06/08 01:12:55.0	6.06
09/06/08 02:12:55.0	6.06
09/06/08 03:12:55.0	6.06
09/06/08 04:12:55.0	6.21
09/06/08 05:12:55.0	6.21
09/06/08 06:12:55.0	6.21
09/06/08 07:12:55.0	6.21
09/06/08 08:12:55.0	6.21
09/06/08 09:12:55.0	11.31
09/06/08 10:12:55.0	14.87
09/06/08 11:12:55.0	13.93
09/06/08 12:12:55.0	12.08
09/06/08 13:12:55.0	14.55
09/06/08 14:12:55.0	6.21
09/06/08 15:12:55.0	6.21
09/06/08 16:12:55.0	6.21
09/06/08 17:12:55.0	6.06
09/06/08 18:12:55.0	6.06
09/06/08 19:12:55.0	6.06
09/06/08 20:12:55.0	6.06
09/06/08 21:12:55.0	6.21
09/06/08 22:12:55.0	6.06
09/06/08 23:12:55.0	6.21
09/07/08 00:12:55.0	6.21
09/07/08 01:12:55.0	6.06
09/07/08 02:12:55.0	6.21
09/07/08 03:12:55.0	6.21
09/07/08 04:12:55.0	6.21
09/07/08 05:12:55.0	6.06
09/07/08 06:12:55.0	6.06
09/07/08 07:12:55.0	6.21
09/07/08 08:12:55.0	6.21
09/07/08 09:12:55.0	6.06
09/07/08 10:12:55.0	6.06
09/07/08 11:12:55.0	16.28
09/07/08 12:12:55.0	13.47
09/07/08 13:12:55.0	6.37
09/07/08 14:12:55.0	6.21
09/07/08 15:12:55.0	6.37
09/07/08 16:12:55.0	6.21
09/07/08 17:12:55.0	6.37
09/07/08 18:12:55.0	6.37
09/07/08 19:12:55.0	6.37
09/07/08 20:12:55.0	6.37
09/07/08 21:12:55.0	6.37
09/07/08 22:12:55.0	6.37
09/07/08 23:12:55.0	6.21
09/08/08 00:12:55.0	6.37
09/08/08 01:12:55.0	6.37
09/08/08 02:12:55.0	6.37
09/08/08 03:12:55.0	6.37
09/08/08 04:12:55.0	6.37
09/08/08 05:12:55.0	6.37
09/08/08 06:12:55.0	6.37
09/08/08 07:12:55.0	6.37
09/08/08 08:12:55.0	10.84
09/08/08 09:12:55.0	11.00
09/08/08 10:12:55.0	11.16
09/08/08 11:12:55.0	11.16
09/08/08 12:12:55.0	11.62
09/08/08 13:12:55.0	11.62
09/08/08 14:12:55.0	12.23
09/08/08 15:12:55.0	12.08
09/08/08 16:12:55.0	12.08
09/08/08 17:12:55.0	11.77
