Date Time	Temperature  (*C)
09/04/08 	13:02:24.0	19.67
09/04/08 	14:02:24.0	15.22
09/04/08 	15:02:24.0	14.93
09/04/08 	16:02:24.0	6.54
09/04/08 	17:02:24.0	6.26
09/04/08 	18:02:24.0	6.26
09/04/08 	19:02:24.0	6.54
09/04/08 	20:02:24.0	6.54
09/04/08 	21:02:24.0	6.54
09/04/08 	22:02:24.0	6.54
09/04/08 	23:02:24.0	6.54
09/05/08 	00:02:24.0	6.54
09/05/08 	01:02:24.0	6.54
09/05/08 	02:02:24.0	6.54
09/05/08 	03:02:24.0	6.54
09/05/08 	04:02:24.0	6.54
09/05/08 	05:02:24.0	6.54
09/05/08 	06:02:24.0	6.54
09/05/08 	07:02:24.0	6.54
09/05/08 	08:02:24.0	6.54
09/05/08 	09:02:24.0	6.54
09/05/08 	10:02:24.0	12.02
09/05/08 	11:02:24.0	12.89
09/05/08 	12:02:24.0	16.39
09/05/08 	13:02:24.0	19.67
09/05/08 	14:02:24.0	6.26
09/05/08 	15:02:24.0	6.26
09/05/08 	16:02:24.0	6.26
09/05/08 	17:02:24.0	6.26
09/05/08 	18:02:24.0	6.26
09/05/08 	19:02:24.0	6.26
09/05/08 	20:02:24.0	6.26
09/05/08 	21:02:24.0	6.26
09/05/08 	22:02:24.0	6.26
09/05/08 	23:02:24.0	6.26
09/06/08 	00:02:24.0	6.26
09/06/08 	01:02:24.0	6.26
09/06/08 	02:02:24.0	6.26
09/06/08 	03:02:24.0	6.26
09/06/08 	04:02:24.0	6.26
09/06/08 	05:02:24.0	6.26
09/06/08 	06:02:24.0	6.26
09/06/08 	07:02:24.0	6.26
09/06/08 	08:02:24.0	6.26
09/06/08 	09:02:24.0	10.58
09/06/08 	10:02:24.0	10.58
09/06/08 	11:02:24.0	10.58
09/06/08 	12:02:24.0	14.63
09/06/08 	13:02:24.0	16.39
09/06/08 	14:02:24.0	7.70
09/06/08 	15:02:24.0	6.54
09/06/08 	16:02:24.0	6.54
09/06/08 	17:02:24.0	6.54
09/06/08 	18:02:24.0	6.54
09/06/08 	19:02:24.0	6.54
09/06/08 	20:02:24.0	6.54
09/06/08 	21:02:24.0	6.54
09/06/08 	22:02:24.0	6.54
09/06/08 	23:02:24.0	6.54
09/07/08 	00:02:24.0	6.54
09/07/08	01:02:24.0	6.54
09/07/08 	02:02:24.0	6.54
09/07/08 	03:02:24.0	6.54
09/07/08 	04:02:24.0	6.54
09/07/08 	05:02:24.0	6.54
09/07/08 	06:02:24.0	6.54
09/07/08 	07:02:24.0	6.54
09/07/08 	08:02:24.0	6.54
09/07/08 	09:02:24.0	6.54
09/07/08 	10:02:24.0	6.54
09/07/08 	11:02:24.0	14.06
09/07/08 	12:02:24.0	13.77
09/07/08 	13:02:24.0	13.47
09/07/08 	14:02:24.0	6.26
09/07/08 	15:02:24.0	6.26
09/07/08 	16:02:24.0	6.26
09/07/08 	17:02:24.0	5.97
09/07/08 	18:02:24.0	6.26
09/07/08 	19:02:24.0	6.26
09/07/08 	20:02:24.0	6.26
09/07/08 	21:02:24.0	6.26
09/07/08 	22:02:24.0	5.97
09/07/08 	23:02:24.0	6.26
09/08/08 	00:02:24.0	6.26
09/08/08 	01:02:24.0	6.26
09/08/08 	02:02:24.0	6.26
09/08/08 	03:02:24.0	6.26
09/08/08 	04:02:24.0	6.26
09/08/08 	05:02:24.0	6.26
09/08/08 	06:02:24.0	5.97
09/08/08 	07:02:24.0	6.26
09/08/08 	08:02:24.0	6.26
09/08/08 	09:02:24.0	11.73
09/08/08 	10:02:24.0	11.73
09/08/08 	11:02:24.0	11.44
09/08/08 	12:02:24.0	11.73
09/08/08 	13:02:24.0	12.02
09/08/08 	14:02:24.0	12.61
09/08/08 	15:02:24.0	12.61
09/08/08 	16:02:24.0	12.61
09/08/08 	17:02:24.0	11.73
09/08/08 	18:02:24.0	12.02
09/08/08 	19:02:24.0	11.44
09/08/08 	20:02:24.0	11.44
09/08/08 	21:02:24.0	11.16
09/08/08 	22:02:24.0	11.16
09/08/08 	23:02:24.0	11.16
09/09/08 	00:02:24.0	10.58
09/09/08 	01:02:24.0	10.01
09/09/08 	02:02:24.0	10.30
09/09/08 	03:02:24.0	10.58
09/09/08 	04:02:24.0	10.30
09/09/08 	05:02:24.0	10.30
09/09/08 	06:02:24.0	10.01
09/09/08 	07:02:24.0	10.01
09/09/08 	08:02:24.0	10.58
09/09/08 	09:02:24.0	14.63
09/09/08 	10:02:24.0	12.89
09/09/08 	11:02:24.0	12.89
09/09/08 	12:02:24.0	13.47
09/09/08 	13:02:24.0	13.47
09/09/08 	14:02:24.0	14.34
09/09/08 	15:02:24.0	13.77
09/09/08 	16:02:24.0	14.06
09/09/08 	17:02:24.0	13.47
09/09/08 	18:02:24.0	13.47
09/09/08 	19:02:24.0	12.89
09/09/08 	20:02:24.0	12.61
09/09/08 	21:02:24.0	12.32
09/09/08 	22:02:24.0	11.73
09/09/08 	23:02:24.0	11.44
09/10/08 	00:02:24.0	11.16
09/10/08 	01:02:24.0	11.16
09/10/08 	02:02:24.0	11.44
09/10/08 	03:02:24.0	11.16
09/10/08 	04:02:24.0	11.16
09/10/08 	05:02:24.0	10.87
09/10/08 	06:02:24.0	10.58
09/10/08 	07:02:24.0	10.58
09/10/08 	08:02:24.0	10.30
09/10/08 	09:02:24.0	10.58
09/10/08 	10:02:24.0	10.58
09/10/08 	11:02:24.0	10.87
09/10/08 	12:02:24.0	11.73
09/10/08 	13:02:24.0	12.02
09/10/08 	14:02:24.0	6.54
09/10/08 	15:02:24.0	6.54
09/10/08 	16:02:24.0	6.54
09/10/08 	17:02:24.0	6.54
09/10/08 	18:02:24.0	6.54
09/10/08 	19:02:24.0	6.54
09/10/08 	20:02:24.0	6.54
09/10/08 	21:02:24.0	6.54
09/10/08 	22:02:24.0	6.54
09/10/08 	23:02:24.0	6.54
09/11/08 	00:02:24.0	6.54
09/11/08 	01:02:24.0	6.54
09/11/08 	02:02:24.0	6.54
09/11/08 	03:02:24.0	6.54
09/11/08 	04:02:24.0	6.54
09/11/08 	05:02:24.0	6.54
09/11/08 	06:02:24.0	6.54
09/11/08 	07:02:24.0	6.54
09/11/08 	08:02:24.0	6.54
09/11/08 	09:02:24.0	11.73
09/11/08 	10:02:24.0	11.73
09/11/08 	11:02:24.0	12.02
09/11/08 	12:02:24.0	12.02
09/11/08 	13:02:24.0	12.02
09/11/08 	14:02:24.0	13.18
09/11/08 	15:02:24.0	13.77
09/11/08 	16:02:24.0	6.26
09/11/08 	17:02:24.0	6.26
09/11/08 	18:02:24.0	6.26
09/11/08 	19:02:24.0	6.26
09/11/08 	20:02:24.0	6.26
09/11/08 	21:02:24.0	6.26
09/11/08 	22:02:24.0	6.26
09/11/08 	23:02:24.0	6.26
09/12/08 	00:02:24.0	6.26
09/12/08 	01:02:24.0	6.26
09/12/08 	02:02:24.0	6.26
09/12/08 	03:02:24.0	6.26
09/12/08 	04:02:24.0	6.26
09/12/08 	05:02:24.0	6.26
09/12/08 	06:02:24.0	6.26
09/12/08 	07:02:24.0	6.26
09/12/08 	08:02:24.0	6.26
09/12/08 	09:02:24.0	6.26
09/12/08 	10:02:24.0	6.26
09/12/08 	11:02:24.0	6.26
09/12/08 	12:02:24.0	16.09
09/12/08 	13:02:24.0	19.07
09/12/08 	14:02:24.0	18.77
09/12/08 	15:02:24.0	6.83
09/12/08 	16:02:24.0	6.83
09/12/08 	17:02:24.0	6.83
09/12/08 	18:02:24.0	6.83
09/12/08 	19:02:24.0	6.83
09/12/08	20:02:24.0	6.83
09/12/08 	21:02:24.0	6.83
09/12/08 	22:02:24.0	6.83
09/12/08 	23:02:24.0	6.83
09/13/08 	00:02:24.0	6.83
09/13/08 	01:02:24.0	6.83
09/13/08 	02:02:24.0	6.83
09/13/08 	03:02:24.0	6.83
09/13/08 	04:02:24.0	6.83
09/13/08 	05:02:24.0	6.83
09/13/08 	06:02:24.0	6.83
