Date Tim	"e	Temperatu"	e  (*C)
9/7/2008	14:36	6.44
9/7/2008	14:36	6.44
9/7/2008	14:36	6.44
9/7/2008	14:36	6.44
9/7/2008	14:37	6.44
9/7/2008	14:37	6.44
9/7/2008	14:37	6.44
9/7/2008	14:37	6.44
9/7/2008	14:37	6.44
9/7/2008	14:37	6.44
9/7/2008	14:38	6.44
9/7/2008	14:38	6.44
9/7/2008	14:38	6.44
9/7/2008	14:38	6.44
9/7/2008	14:38	6.44
9/7/2008	14:38	6.44
9/7/2008	14:39	6.44
9/7/2008	14:39	6.44
9/7/2008	14:39	6.44
9/7/2008	14:39	6.44
9/7/2008	14:39	6.44
9/7/2008	14:39	6.44
9/7/2008	14:40	6.44
9/7/2008	14:40	6.44
9/7/2008	14:40	6.44
9/7/2008	14:40	6.44
9/7/2008	14:40	6.44
9/7/2008	14:40	6.44
9/7/2008	14:41	6.44
9/7/2008	14:41	6.44
9/7/2008	14:41	6.44
9/7/2008	14:41	6.44
9/7/2008	14:41	6.44
9/7/2008	14:41	6.44
9/7/2008	14:42	6.44
9/7/2008	14:42	6.44
9/7/2008	14:42	6.44
9/7/2008	14:42	6.44
9/7/2008	14:42	6.44
9/7/2008	14:42	6.44
9/7/2008	14:43	6.44
9/7/2008	14:43	6.44
9/7/2008	14:43	6.44
9/7/2008	14:43	6.44
9/7/2008	14:43	6.44
9/7/2008	14:43	6.44
9/7/2008	14:44	6.44
9/7/2008	14:44	6.44
9/7/2008	14:44	6.44
9/7/2008	14:44	6.44
9/7/2008	14:44	6.44
9/7/2008	14:44	6.44
9/7/2008	14:45	6.44
9/7/2008	14:45	6.44
9/7/2008	14:45	6.44
9/7/2008	14:45	6.44
9/7/2008	14:45	6.44
9/7/2008	14:45	6.44
9/7/2008	14:46	6.44
9/7/2008	14:46	6.44
9/7/2008	14:46	6.44
9/7/2008	14:46	6.44
9/7/2008	14:46	6.44
9/7/2008	14:46	6.44
9/7/2008	14:47	6.44
9/7/2008	14:47	6.44
9/7/2008	14:47	6.44
9/7/2008	14:47	6.44
9/7/2008	14:47	6.44
9/7/2008	14:47	6.44
9/7/2008	14:48	6.44
9/7/2008	14:48	6.44
9/7/2008	14:48	6.44
9/7/2008	14:48	6.44
9/7/2008	14:48	6.44
9/7/2008	14:48	6.44
9/7/2008	14:49	6.44
9/7/2008	14:49	6.44
9/7/2008	14:49	6.44
9/7/2008	14:49	6.44
9/7/2008	14:49	6.44
9/7/2008	14:49	6.44
9/7/2008	14:50	6.44
9/7/2008	14:50	6.44
9/7/2008	14:50	6.44
9/7/2008	14:50	6.44
9/7/2008	14:50	6.44
9/7/2008	14:50	6.44
9/7/2008	14:51	6.44
9/7/2008	14:51	6.44
9/7/2008	14:51	6.44
9/7/2008	14:51	6.44
9/7/2008	14:51	6.44
9/7/2008	14:51	6.44
9/7/2008	14:52	6.44
9/7/2008	14:52	6.44
9/7/2008	14:52	6.44
