Date	Time	Temperature  (*C)
10/21/08	13:48:29	24.96
10/21/08	14:48:29	9.71
10/21/08	15:48:29	8.84
10/21/08	16:48:29	7.11
10/21/08	17:48:29	7.11
10/21/08	18:48:29	7.11
10/21/08	19:48:29	7.11
10/21/08	20:48:29	7.40
10/21/08	21:48:29	7.40
10/21/08	22:48:29	7.40
10/21/08	23:48:29	7.11
10/22/08	00:48:29	7.11
10/22/08	01:48:29	7.11
10/22/08	02:48:29	7.11
10/22/08	03:48:29	7.11
10/22/08	04:48:29	7.11
10/22/08	05:48:29	7.11
10/22/08	06:48:29	7.11
10/22/08	07:48:29	7.11
10/22/08	08:48:29	7.11
10/22/08	09:48:29	7.40
10/22/08	10:48:29	7.11
10/22/08	11:48:29	7.69
10/22/08	12:48:29	7.40
10/22/08	13:48:29	7.40
10/22/08	14:48:29	7.11
10/22/08	15:48:29	7.11
10/22/08	16:48:29	7.11
10/22/08	17:48:29	7.11
10/22/08	18:48:29	5.67
10/22/08	19:48:29	5.38
10/22/08	20:48:29	5.38
10/22/08	21:48:29	5.67
10/22/08	22:48:29	5.67
10/22/08	23:48:29	5.38
10/23/08	00:48:29	5.38
10/23/08	01:48:29	5.38
10/23/08	02:48:29	5.38
10/23/08	03:48:29	5.67
10/23/08	04:48:29	5.67
10/23/08	05:48:29	5.38
10/23/08	06:48:29	5.38
10/23/08	07:48:29	5.38
10/23/08	08:48:29	5.38
10/23/08	09:48:29	5.38
10/23/08	10:48:29	5.38
10/23/08	11:48:29	6.24
10/23/08	12:48:29	4.22
10/23/08	13:48:29	4.51
10/23/08	14:48:29	4.51
10/23/08	15:48:29	4.22
10/23/08	16:48:29	4.22
10/23/08	17:48:29	4.81
10/23/08	18:48:29	5.38
10/23/08	19:48:29	5.96
10/23/08	20:48:29	5.96
10/23/08	21:48:29	6.53
10/23/08	22:48:29	6.82
10/23/08	23:48:29	6.82
10/24/08	00:48:29	6.24
10/24/08	01:48:29	6.53
10/24/08	02:48:29	6.53
10/24/08	03:48:29	6.24
10/24/08	04:48:29	6.53
10/24/08	05:48:29	6.53
10/24/08	06:48:29	6.24
10/24/08	07:48:29	6.24
10/24/08	08:48:29	5.67
10/24/08	09:48:29	4.81
10/24/08	10:48:29	5.09
10/24/08	11:48:29	4.22
10/24/08	12:48:29	4.22
10/24/08	13:48:29	4.51
10/24/08	14:48:29	6.53
10/24/08	15:48:29	6.24
10/24/08	16:48:29	6.24
10/24/08	17:48:29	6.24
10/24/08	18:48:29	6.24
10/24/08	19:48:29	5.96
10/24/08	20:48:29	6.24
10/24/08	21:48:29	6.24
10/24/08	22:48:29	6.24
10/24/08	23:48:29	6.24
10/25/08	00:48:29	6.24
10/25/08	01:48:29	6.24
10/25/08	02:48:29	6.24
10/25/08	03:48:29	6.24
10/25/08	04:48:29	6.24
10/25/08	05:48:29	6.24
10/25/08	06:48:29	6.24
10/25/08	07:48:29	5.96
10/25/08	08:48:29	6.24
10/25/08	09:48:29	6.24
10/25/08	10:48:29	6.24
10/25/08	11:48:29	6.82
10/25/08	12:48:29	3.34
10/25/08	13:48:29	3.05
10/25/08	14:48:29	1.87
10/25/08	15:48:29	1.57
10/25/08	16:48:29	6.24
10/25/08	17:48:29	4.81
10/25/08	18:48:29	4.81
10/25/08	19:48:29	4.81
10/25/08	20:48:29	4.81
10/25/08	21:48:29	4.81
10/25/08	22:48:29	4.81
10/25/08	23:48:29	4.81
10/26/08	00:48:29	4.81
10/26/08	01:48:29	4.81
10/26/08	02:48:29	4.81
10/26/08	03:48:29	4.81
10/26/08	04:48:29	4.81
10/26/08	05:48:29	4.81
10/26/08	06:48:29	4.81
10/26/08	07:48:29	4.81
10/26/08	08:48:29	4.81
10/26/08	09:48:29	4.81
10/26/08	10:48:29	6.24
10/26/08	11:48:29	6.53
10/26/08	12:48:29	0.98
10/26/08	13:48:29	1.28
10/26/08	14:48:29	1.57
10/26/08	15:48:29	1.28
10/26/08	16:48:29	5.96
10/26/08	17:48:29	5.38
10/26/08	18:48:29	5.38
10/26/08	19:48:29	5.38
10/26/08	20:48:29	5.67
10/26/08	21:48:29	6.53
