Date 	Time 	Temp
10/02/08 	14:06:43.0	20.13
10/02/08 	15:06:43.0	11.92
10/02/08 	16:06:43.0	13.31
10/02/08 	17:06:43.0	6.83
10/02/08 	18:06:43.0	6.83
10/02/08 	19:06:43.0	6.52
10/02/08 	20:06:43.0	6.52
10/02/08 	21:06:43.0	6.52
10/02/08 	22:06:43.0	6.68
10/02/08 	23:06:43.0	6.83
10/03/08 	00:06:43.0	6.83
10/03/08 	01:06:43.0	6.99
10/03/08 	02:06:43.0	7.14
10/03/08 	03:06:43.0	7.14
10/03/08 	04:06:43.0	6.83
10/03/08 	05:06:43.0	6.83
10/03/08 	06:06:43.0	6.83
10/03/08 	07:06:43.0	6.68
10/03/08 	08:06:43.0	6.68
10/03/08 	09:06:43.0	6.68
10/03/08 	10:06:43.0	6.68
10/03/08 	11:06:43.0	6.83
10/03/08 	12:06:43.0	6.99
10/03/08 	13:06:43.0	8.22
10/03/08 	14:06:43.0	9.14
10/03/08 	15:06:43.0	10.38
10/03/08 	16:06:43.0	11.16
10/03/08 	17:06:43.0	6.52
10/03/08 	18:06:43.0	6.52
10/03/08 	19:06:43.0	6.52
10/03/08 	20:06:43.0	6.52
10/03/08 	21:06:43.0	6.52
10/03/08 	22:06:43.0	6.52
10/03/08 	23:06:43.0	6.37
10/04/08 	00:06:43.0	6.52
10/04/08 	01:06:43.0	6.52
10/04/08 	02:06:43.0	6.52
10/04/08 	03:06:43.0	6.52
10/04/08 	04:06:43.0	6.52
10/04/08 	05:06:43.0	6.52
10/04/08 	06:06:43.0	6.52
10/04/08 	07:06:43.0	6.37
10/04/08 	08:06:43.0	6.83
10/04/08 	09:06:43.0	5.59
10/04/08 	10:06:43.0	5.75
10/04/08 	11:06:43.0	5.44
10/04/08 	12:06:43.0	6.37
10/04/08 	13:06:43.0	6.52
10/04/08 	14:06:43.0	6.52
10/04/08 	15:06:43.0	6.68
10/04/08 	16:06:43.0	6.99
10/04/08 	17:06:43.0	7.91
10/04/08 	18:06:43.0	7.45
10/04/08 	19:06:43.0	7.29
10/04/08 	20:06:43.0	7.29
10/04/08 	21:06:43.0	7.29
10/04/08 	22:06:43.0	7.45
10/04/08 	23:06:43.0	7.45
10/05/08 	00:06:43.0	7.61
10/05/08 	01:06:43.0	7.76
10/05/08 	02:06:43.0	7.76
10/05/08 	03:06:43.0	7.91
10/05/08 	04:06:43.0	7.91
10/05/08 	05:06:43.0	7.76
10/05/08 	06:06:43.0	7.45
10/05/08 	07:06:43.0	7.29
10/05/08 	08:06:43.0	7.29
10/05/08 	09:06:43.0	7.45
10/05/08 	10:06:43.0	7.45
10/05/08 	11:06:43.0	7.45
10/05/08 	12:06:43.0	9.92
10/05/08 	13:06:43.0	8.99
10/05/08 	14:06:43.0	10.38
10/05/08 	15:06:43.0	10.54
10/05/08 	16:06:43.0	8.22
10/05/08 	17:06:43.0	8.22
10/05/08 	18:06:43.0	8.22
10/05/08 	19:06:43.0	8.22
10/05/08 	20:06:43.0	8.22
10/05/08 	21:06:43.0	8.22
10/05/08 	22:06:43.0	8.22
10/05/08 	23:06:43.0	8.22
10/06/08 	00:06:43.0	8.22
10/06/08 	01:06:43.0	8.22
10/06/08 	02:06:43.0	8.22
10/06/08 	03:06:43.0	8.22
10/06/08 	04:06:43.0	8.22
10/06/08 	05:06:43.0	8.22
10/06/08 	06:06:43.0	8.22
10/06/08 	07:06:43.0	8.22
10/06/08 	08:06:43.0	8.22
10/06/08 	09:06:43.0	8.37
10/06/08 	10:06:43.0	5.91
10/06/08 	11:06:43.0	6.06
10/06/08 	12:06:43.0	6.68
10/06/08 	13:06:43.0	7.29
10/06/08 	14:06:43.0	7.76
10/06/08 	15:06:43.0	7.45
10/06/08 	16:06:43.0	6.99
10/06/08 	17:06:43.0	6.83
10/06/08 	18:06:43.0	6.37
10/06/08 	19:06:43.0	6.21
10/06/08 	20:06:43.0	5.91
10/06/08 	21:06:43.0	5.13
10/06/08 	22:06:43.0	4.04
10/06/08 	23:06:43.0	3.56
10/07/08 	00:06:43.0	3.09
