Date	Time	Temp (°C) c:1
12/09/09	08:15:27.0 	23.954
12/09/09	09:15:27.0 	22.968
12/09/09	10:15:27.0 	19.199
12/09/09	11:15:27.0 	12.896
12/09/09	12:15:27.0 	15.796
12/09/09	13:15:27.0 	17.058
12/09/09	14:15:27.0 	18.699
12/09/09	15:15:27.0 	18.343
12/09/09	16:15:27.0 	17.153
12/09/09	17:15:27.0 	16.225
12/09/09	18:15:27.0 	14.768
12/09/09	19:15:27.0 	6.051
12/09/09	20:15:27.0 	6.051
12/09/09	21:15:27.0 	6.000
12/09/09	22:15:27.0 	6.026
12/09/09	23:15:27.0 	5.949
12/10/09	00:15:27.0 	5.898
12/10/09	01:15:27.0 	6.026
12/10/09	02:15:27.0 	6.077
12/10/09	03:15:27.0 	6.102
12/10/09	04:15:27.0 	6.077
12/10/09	05:15:27.0 	6.102
12/10/09	06:15:27.0 	6.051
12/10/09	07:15:27.0 	6.077
12/10/09	08:15:27.0 	6.077
12/10/09	09:15:27.0 	6.077
12/10/09	10:15:27.0 	6.051
12/10/09	11:15:27.0 	6.000
12/10/09	12:15:27.0 	6.026
12/10/09	13:15:27.0 	5.924
12/10/09	14:15:27.0 	6.077
12/10/09	15:15:27.0 	6.102
12/10/09	16:15:27.0 	6.102
12/10/09	17:15:27.0 	22.609
12/10/09	18:15:27.0 	24.146
12/10/09	19:15:27.0 	21.604
12/10/09	20:15:27.0 	24.050
12/10/09	21:15:27.0 	20.007
12/10/09	22:15:27.0 	17.867
12/10/09	23:15:27.0 	16.320
12/11/09	00:15:27.0 	15.151
12/11/09	01:15:27.0 	14.314
12/11/09	02:15:27.0 	13.666
12/11/09	03:15:27.0 	13.161
12/11/09	04:15:27.0 	12.799
12/11/09	05:15:27.0 	12.509
12/11/09	06:15:27.0 	12.292
12/11/09	07:15:27.0 	12.122
12/11/09	08:15:27.0 	11.686
12/11/09	09:15:27.0 	19.579
12/11/09	10:15:27.0 	23.761
12/11/09	11:15:27.0 	24.774
12/11/09	12:15:27.0 	24.774
12/11/09	13:15:27.0 	24.557
12/11/09	14:15:27.0 	24.484
12/11/09	15:15:27.0 	24.412
12/11/09	16:15:27.0 	24.412
12/11/09	17:15:27.0 	24.436
12/11/09	18:15:27.0 	24.388
12/11/09	19:15:27.0 	24.315
12/11/09	20:15:27.0 	24.339
12/11/09	21:15:27.0 	24.002
12/11/09	22:15:27.0 	23.352
12/11/09	23:15:27.0 	22.944
12/12/09	00:15:27.0 	22.657
12/12/09	01:15:27.0 	22.369
12/12/09	02:15:27.0 	22.178
12/12/09	03:15:27.0 	22.082
12/12/09	04:15:27.0 	22.011
12/12/09	05:15:27.0 	21.987
12/12/09	06:15:27.0 	21.939
12/12/09	07:15:27.0 	21.867
12/12/09	08:15:27.0 	21.867
12/12/09	09:15:27.0 	21.891
12/12/09	10:15:27.0 	21.891
12/12/09	11:15:27.0 	21.891
12/12/09	12:15:27.0 	21.891
12/12/09	13:15:27.0 	21.891
12/12/09	14:15:27.0 	21.963
12/12/09	15:15:27.0 	22.202
12/12/09	16:15:27.0 	22.609
12/12/09	17:15:27.0 	22.250
12/12/09	18:15:27.0 	22.034
12/12/09	19:15:27.0 	21.939
12/12/09	20:15:27.0 	21.867
12/12/09	21:15:27.0 	21.772
12/12/09	22:15:27.0 	21.700
12/12/09	23:15:27.0 	21.604
12/13/09	00:15:27.0 	21.509
12/13/09	01:15:27.0 	21.366
12/13/09	02:15:27.0 	21.318
12/13/09	03:15:27.0 	21.270
12/13/09	04:15:27.0 	21.175
12/13/09	05:15:27.0 	21.175
12/13/09	06:15:27.0 	21.056
12/13/09	07:15:27.0 	21.079
12/13/09	08:15:27.0 	20.984
12/13/09	09:15:27.0 	20.960
12/13/09	10:15:27.0 	20.984
12/13/09	11:15:27.0 	21.056
12/13/09	12:15:27.0 	21.079
12/13/09	13:15:27.0 	21.103
12/13/09	14:15:27.0 	21.175
12/13/09	15:15:27.0 	21.652
12/13/09	16:15:27.0 	21.963
12/13/09	17:15:27.0 	22.106
12/13/09	18:15:27.0 	22.298
12/13/09	19:15:27.0 	22.298
12/13/09	20:15:27.0 	22.178
12/13/09	21:15:27.0 	21.891
12/13/09	22:15:27.0 	21.604
12/13/09	23:15:27.0 	21.413
12/14/09	00:15:27.0 	21.318
12/14/09	01:15:27.0 	21.246
12/14/09	02:15:27.0 	21.246
12/14/09	03:15:27.0 	21.199
12/14/09	04:15:27.0 	21.175
12/14/09	05:15:27.0 	21.175
12/14/09	06:15:27.0 	21.127
12/14/09	07:15:27.0 	21.676
12/14/09	08:15:27.0 	22.058
