Date	Time	Temperature  (*C)
06/15/09	11:25:29	22.51
06/15/09	12:25:29	22.17
06/15/09	13:25:29	13.38
06/15/09	14:25:29	4.36
06/15/09	15:25:29	4.36
06/15/09	16:25:29	4.36
06/15/09	17:25:29	4.36
06/15/09	18:25:29	4.36
06/15/09	19:25:29	4.36
06/15/09	20:25:29	4.36
06/15/09	21:25:29	4.36
06/15/09	22:25:29	4.36
06/15/09	23:25:29	4.36
06/16/09	00:25:29	4.36
06/16/09	01:25:29	4.36
06/16/09	02:25:29	4.36
06/16/09	03:25:29	4.36
06/16/09	04:25:29	4.36
06/16/09	05:25:29	4.36
06/16/09	06:25:29	4.36
06/16/09	07:25:29	4.36
06/16/09	08:25:29	4.36
06/16/09	09:25:29	10.74
06/16/09	10:25:29	11.52
06/16/09	11:25:29	12.45
06/16/09	12:25:29	12.14
