Date	Time	Temperature  (*C)
06/03/09	13:15:05	26.88
06/03/09	14:15:05	26.00
06/03/09	15:15:05	4.34
06/03/09	16:15:05	4.34
06/03/09	17:15:05	4.34
06/03/09	18:15:05	4.18
06/03/09	19:15:05	4.18
06/03/09	20:15:05	4.18
06/03/09	21:15:05	4.18
06/03/09	22:15:05	4.18
06/03/09	23:15:05	4.18
06/04/09	00:15:05	4.18
06/04/09	01:15:05	4.18
06/04/09	02:15:05	4.18
06/04/09	03:15:05	4.18
06/04/09	04:15:05	4.18
06/04/09	05:15:05	4.18
06/04/09	06:15:05	4.18
06/04/09	07:15:05	4.18
06/04/09	08:15:05	13.36
06/04/09	09:15:05	12.74
06/04/09	10:15:05	12.74
06/04/09	11:15:05	13.36
06/04/09	12:15:05	13.67
06/04/09	13:15:05	14.76
06/04/09	14:15:05	15.39
06/04/09	15:15:05	16.03
06/04/09	16:15:05	4.96
06/04/09	17:15:05	4.96
06/04/09	18:15:05	4.96
06/04/09	19:15:05	4.96
06/04/09	20:15:05	4.96
06/04/09	21:15:05	4.96
06/04/09	22:15:05	4.81
06/04/09	23:15:05	4.96
06/05/09	00:15:05	4.81
06/05/09	01:15:05	4.96
06/05/09	02:15:05	4.96
06/05/09	03:15:05	4.96
06/05/09	04:15:05	4.96
06/05/09	05:15:05	4.81
06/05/09	06:15:05	4.96
06/05/09	07:15:05	4.81
06/05/09	08:15:05	4.96
06/05/09	09:15:05	4.96
06/05/09	10:15:05	4.96
06/05/09	11:15:05	4.96
06/05/09	12:15:05	17.31
06/05/09	13:15:05	17.79
06/05/09	14:15:05	4.34
06/05/09	15:15:05	4.18
06/05/09	16:15:05	4.34
06/05/09	17:15:05	4.34
06/05/09	18:15:05	4.18
06/05/09	19:15:05	4.18
06/05/09	20:15:05	4.34
06/05/09	21:15:05	4.18
06/05/09	22:15:05	4.18
06/05/09	23:15:05	4.18
06/06/09	00:15:05	4.18
06/06/09	01:15:05	4.18
06/06/09	02:15:05	4.34
06/06/09	03:15:05	4.34
06/06/09	04:15:05	4.34
06/06/09	05:15:05	4.18
06/06/09	06:15:05	4.18
06/06/09	07:15:05	4.18
06/06/09	08:15:05	4.18
06/06/09	09:15:05	13.67
06/06/09	10:15:05	12.89
06/06/09	11:15:05	13.51
06/06/09	12:15:05	13.82
06/06/09	13:15:05	14.44
06/06/09	14:15:05	15.71
06/06/09	15:15:05	17.47
06/06/09	16:15:05	17.95
06/06/09	17:15:05	5.12
06/06/09	18:15:05	4.18
06/06/09	19:15:05	4.18
06/06/09	20:15:05	4.18
06/06/09	21:15:05	4.18
06/06/09	22:15:05	4.18
06/06/09	23:15:05	4.18
06/07/09	00:15:05	4.18
06/07/09	01:15:05	4.18
06/07/09	02:15:05	4.18
06/07/09	03:15:05	4.18
06/07/09	04:15:05	4.18
06/07/09	05:15:05	4.18
06/07/09	06:15:05	4.18
06/07/09	07:15:05	4.18
06/07/09	08:15:05	4.18
06/07/09	09:15:05	4.18
06/07/09	10:15:05	4.18
06/07/09	11:15:05	4.18
06/07/09	12:15:05	16.99
06/07/09	13:15:05	18.11
06/07/09	14:15:05	4.18
06/07/09	15:15:05	4.18
06/07/09	16:15:05	4.18
06/07/09	17:15:05	4.18
06/07/09	18:15:05	4.18
06/07/09	19:15:05	4.18
06/07/09	20:15:05	4.18
06/07/09	21:15:05	4.18
06/07/09	22:15:05	4.18
06/07/09	23:15:05	4.18
06/08/09	00:15:05	4.18
06/08/09	01:15:05	4.18
06/08/09	02:15:05	4.18
06/08/09	03:15:05	4.18
06/08/09	04:15:05	4.18
06/08/09	05:15:05	4.18
06/08/09	06:15:05	4.18
06/08/09	07:15:05	4.34
06/08/09	08:15:05	4.34
06/08/09	09:15:05	12.27
06/08/09	10:15:05	12.27
06/08/09	11:15:05	12.27
06/08/09	12:15:05	11.49
06/08/09	13:15:05	12.89
06/08/09	14:15:05	13.51
06/08/09	15:15:05	13.51
06/08/09	16:15:05	13.82
06/08/09	17:15:05	16.67
06/08/09	18:15:05	15.39
06/08/09	19:15:05	15.39
06/08/09	20:15:05	14.61
06/08/09	21:15:05	13.98
06/08/09	22:15:05	13.82
06/08/09	23:15:05	13.05
06/09/09	00:15:05	12.89
06/09/09	01:15:05	12.89
06/09/09	02:15:05	12.58
06/09/09	03:15:05	12.43
06/09/09	04:15:05	11.96
06/09/09	05:15:05	11.81
06/09/09	06:15:05	12.27
06/09/09	07:15:05	12.58
06/09/09	08:15:05	12.58
06/09/09	09:15:05	11.96
06/09/09	10:15:05	11.81
06/09/09	11:15:05	12.12
06/09/09	12:15:05	12.43
06/09/09	13:15:05	12.74
06/09/09	14:15:05	12.89
06/09/09	15:15:05	12.89
06/09/09	16:15:05	14.76
