Date	Time	Temp (°C) c:1
09/10/09	12:38:01.0 	20.650
09/10/09	13:38:01.0 	13.858
09/10/09	14:38:01.0 	13.570
09/10/09	15:38:01.0 	14.505
09/10/09	16:38:01.0 	6.179
09/10/09	17:38:01.0 	6.179
09/10/09	18:38:01.0 	6.153
09/10/09	19:38:01.0 	6.153
09/10/09	20:38:01.0 	6.128
09/10/09	21:38:01.0 	6.102
09/10/09	22:38:01.0 	6.128
09/10/09	23:38:01.0 	6.204
09/11/09	00:38:01.0 	6.281
09/11/09	01:38:01.0 	6.357
09/11/09	02:38:01.0 	6.382
09/11/09	03:38:01.0 	6.255
09/11/09	04:38:01.0 	6.230
09/11/09	05:38:01.0 	6.204
09/11/09	06:38:01.0 	6.230
09/11/09	07:38:01.0 	6.179
09/11/09	08:38:01.0 	6.204
09/11/09	09:38:01.0 	6.204
09/11/09	10:38:01.0 	11.127
09/11/09	11:38:01.0 	14.002
09/11/09	12:38:01.0 	15.843
09/11/09	13:38:01.0 	22.705
09/11/09	14:38:01.0 	6.026
09/11/09	15:38:01.0 	6.000
09/11/09	16:38:01.0 	6.000
09/11/09	17:38:01.0 	6.000
09/11/09	18:38:01.0 	6.051
09/11/09	19:38:01.0 	6.026
09/11/09	20:38:01.0 	6.153
09/11/09	21:38:01.0 	6.077
09/11/09	22:38:01.0 	6.102
09/11/09	23:38:01.0 	6.153
09/12/09	00:38:01.0 	6.128
09/12/09	01:38:01.0 	6.077
09/12/09	02:38:01.0 	6.000
09/12/09	03:38:01.0 	6.051
09/12/09	04:38:01.0 	6.000
09/12/09	05:38:01.0 	6.000
09/12/09	06:38:01.0 	6.051
09/12/09	07:38:01.0 	6.000
09/12/09	08:38:01.0 	11.151
09/12/09	09:38:01.0 	11.394
09/12/09	10:38:01.0 	11.662
09/12/09	11:38:01.0 	11.734
09/12/09	12:38:01.0 	12.074
09/12/09	13:38:01.0 	12.219
09/12/09	14:38:01.0 	6.484
09/12/09	15:38:01.0 	6.306
09/12/09	16:38:01.0 	6.357
09/12/09	17:38:01.0 	6.458
09/12/09	18:38:01.0 	6.509
09/12/09	19:38:01.0 	6.509
09/12/09	20:38:01.0 	6.458
09/12/09	21:38:01.0 	6.408
09/12/09	22:38:01.0 	6.408
09/12/09	23:38:01.0 	6.357
09/13/09	00:38:01.0 	6.306
09/13/09	01:38:01.0 	6.560
09/13/09	02:38:01.0 	6.535
09/13/09	03:38:01.0 	6.382
09/13/09	04:38:01.0 	6.560
09/13/09	05:38:01.0 	6.535
09/13/09	06:38:01.0 	6.763
09/13/09	07:38:01.0 	6.585
09/13/09	08:38:01.0 	11.273
09/13/09	09:38:01.0 	19.056
09/13/09	10:38:01.0 	13.305
09/13/09	11:38:01.0 	19.413
09/13/09	12:38:01.0 	20.365
09/13/09	13:38:01.0 	20.388
09/13/09	14:38:01.0 	6.306
09/13/09	15:38:01.0 	6.306
09/13/09	16:38:01.0 	6.357
09/13/09	17:38:01.0 	6.382
09/13/09	18:38:01.0 	6.357
09/13/09	19:38:01.0 	6.331
09/13/09	20:38:01.0 	6.306
09/13/09	21:38:01.0 	6.331
09/13/09	22:38:01.0 	6.331
09/13/09	23:38:01.0 	6.331
09/14/09	00:38:01.0 	6.306
09/14/09	01:38:01.0 	6.357
09/14/09	02:38:01.0 	6.357
09/14/09	03:38:01.0 	6.357
09/14/09	04:38:01.0 	6.331
09/14/09	05:38:01.0 	6.306
09/14/09	06:38:01.0 	6.281
09/14/09	07:38:01.0 	6.306
09/14/09	08:38:01.0 	6.281
09/14/09	09:38:01.0 	10.712
09/14/09	10:38:01.0 	11.370
09/14/09	11:38:01.0 	11.370
09/14/09	12:38:01.0 	12.871
09/14/09	13:38:01.0 	13.690
09/14/09	14:38:01.0 	15.127
09/14/09	15:38:01.0 	15.103
09/14/09	16:38:01.0 	13.690
09/14/09	17:38:01.0 	13.690
09/14/09	18:38:01.0 	12.219
09/14/09	19:38:01.0 	11.710
09/14/09	20:38:01.0 	11.346
09/14/09	21:38:01.0 	10.932
09/14/09	22:38:01.0 	11.929
09/14/09	23:38:01.0 	12.025
09/15/09	00:38:01.0 	12.243
09/15/09	01:38:01.0 	12.437
09/15/09	02:38:01.0 	12.195
09/15/09	03:38:01.0 	11.734
09/15/09	04:38:01.0 	12.243
09/15/09	05:38:01.0 	12.437
09/15/09	06:38:01.0 	13.209
09/15/09	07:38:01.0 	13.666
09/15/09	08:38:01.0 	13.185
09/15/09	09:38:01.0 	12.847
09/15/09	10:38:01.0 	13.449
09/15/09	11:38:01.0 	13.714
09/15/09	12:38:01.0 	13.834
09/15/09	13:38:01.0 	14.050
09/15/09	14:38:01.0 	14.026
