Date	Time	Temperature  (*C)
09/15/09	13:27	20.40
09/15/09	14:27	11.86
09/15/09	15:27	5.04
09/15/09	16:27	5.04
09/15/09	17:27	5.04
09/15/09	18:27	5.20
09/15/09	19:27	5.20
09/15/09	20:27	5.20
09/15/09	21:27	5.04
09/15/09	22:27	5.04
09/15/09	23:27	5.04
09/16/09	00:27	5.04
09/16/09	01:27	5.04
09/16/09	02:27	5.04
09/16/09	03:27	5.04
09/16/09	04:27	5.04
09/16/09	05:27	5.04
09/16/09	06:27	5.04
09/16/09	07:27	5.20
09/16/09	08:27	5.04
09/16/09	09:27	13.56
09/16/09	10:27	12.47
09/16/09	11:27	13.09
09/16/09	12:27	12.63
09/16/09	13:27	12.78
09/16/09	14:27	13.24
09/16/09	15:27	11.08
09/16/09	16:27	11.54
09/16/09	17:27	5.04
09/16/09	18:27	5.04
09/16/09	19:27	5.04
09/16/09	20:27	5.04
09/16/09	21:27	5.04
09/16/09	22:27	5.04
09/16/09	23:27	5.04
09/17/09	00:27	5.04
09/17/09	01:27	5.04
09/17/09	02:27	4.89
09/17/09	03:27	4.89
09/17/09	04:27	4.89
09/17/09	05:27	4.89
09/17/09	06:27	5.04
09/17/09	07:27	5.04
09/17/09	08:27	5.04
09/17/09	09:27	5.04
09/17/09	10:27	5.04
09/17/09	11:27	5.04
09/17/09	12:27	11.70
09/17/09	13:27	13.71
09/17/09	14:27	4.89
09/17/09	15:27	4.89
09/17/09	16:27	4.89
09/17/09	17:27	4.89
09/17/09	18:27	4.89
09/17/09	19:27	4.89
09/17/09	20:27	4.89
09/17/09	21:27	4.89
09/17/09	22:27	4.89
09/17/09	23:27	4.89
09/18/09	00:27	4.89
09/18/09	01:27	4.89
09/18/09	02:27	4.89
09/18/09	03:27	4.89
09/18/09	04:27	4.89
09/18/09	05:27	4.89
09/18/09	06:27	4.89
09/18/09	07:27	4.89
09/18/09	08:27	4.89
09/18/09	09:27	10.00
09/18/09	10:27	11.24
09/18/09	11:27	12.16
09/18/09	12:27	11.86
09/18/09	13:27	12.01
09/18/09	14:27	12.47
09/18/09	15:27	13.71
09/18/09	16:27	5.36
09/18/09	17:27	5.36
09/18/09	18:27	5.36
09/18/09	19:27	5.36
09/18/09	20:27	5.20
09/18/09	21:27	5.20
09/18/09	22:27	5.04
09/18/09	23:27	5.04
09/19/09	00:27	5.04
09/19/09	01:27	4.89
09/19/09	02:27	5.04
09/19/09	03:27	5.04
09/19/09	04:27	5.04
09/19/09	05:27	5.36
09/19/09	06:27	5.20
09/19/09	07:27	5.20
09/19/09	08:27	5.36
09/19/09	09:27	5.36
09/19/09	10:27	5.04
09/19/09	11:27	5.04
09/19/09	12:27	10.47
09/19/09	13:27	11.24
09/19/09	14:27	18.29
09/19/09	15:27	23.39
09/19/09	16:27	24.59
09/19/09	17:27	25.12
09/19/09	18:27	24.42
09/19/09	19:27	23.56
09/19/09	20:27	24.25
