Date	Time	Temperature  (*C)
10/06/09	10:57:45	24.64
10/06/09	11:57:45	11.35
10/06/09	12:57:45	11.35
10/06/09	13:57:45	12.13
10/06/09	14:57:45	11.97
10/06/09	15:57:45	12.44
10/06/09	16:57:45	7.01
10/06/09	17:57:45	7.01
10/06/09	18:57:45	7.16
10/06/09	19:57:45	7.16
10/06/09	20:57:45	7.16
10/06/09	21:57:45	7.32
10/06/09	22:57:45	7.32
10/06/09	23:57:45	7.47
10/07/09	00:57:45	7.32
10/07/09	01:57:45	7.32
10/07/09	02:57:45	7.32
10/07/09	03:57:45	7.01
10/07/09	04:57:45	7.01
10/07/09	05:57:45	7.16
10/07/09	06:57:45	7.01
10/07/09	07:57:45	7.01
10/07/09	08:57:45	7.01
10/07/09	09:57:45	7.01
10/07/09	10:57:45	7.16
10/07/09	11:57:45	7.32
10/07/09	12:57:45	7.32
10/07/09	13:57:45	7.32
10/07/09	14:57:45	7.78
10/07/09	15:57:45	7.16
10/07/09	16:57:45	7.16
10/07/09	17:57:45	7.01
10/07/09	18:57:45	7.01
10/07/09	19:57:45	7.16
10/07/09	20:57:45	7.01
10/07/09	21:57:45	7.16
10/07/09	22:57:45	7.01
10/07/09	23:57:45	7.01
10/08/09	00:57:45	7.16
10/08/09	01:57:45	7.16
10/08/09	02:57:45	7.16
10/08/09	03:57:45	7.01
10/08/09	04:57:45	6.85
10/08/09	05:57:45	7.01
10/08/09	06:57:45	7.01
10/08/09	07:57:45	7.16
10/08/09	08:57:45	7.32
10/08/09	09:57:45	7.63
10/08/09	10:57:45	7.78
10/08/09	11:57:45	7.94
10/08/09	12:57:45	9.02
10/08/09	13:57:45	8.87
10/08/09	14:57:45	8.56
10/08/09	15:57:45	8.25
10/08/09	16:57:45	8.09
10/08/09	17:57:45	7.78
10/08/09	18:57:45	7.78
10/08/09	19:57:45	7.63
10/08/09	20:57:45	7.63
10/08/09	21:57:45	7.63
10/08/09	22:57:45	7.63
10/08/09	23:57:45	7.47
10/09/09	00:57:45	7.32
10/09/09	01:57:45	7.47
10/09/09	02:57:45	7.47
10/09/09	03:57:45	7.63
10/09/09	04:57:45	7.47
10/09/09	05:57:45	7.47
10/09/09	06:57:45	7.47
10/09/09	07:57:45	7.47
