Date	Time	Temp (°C) c:1
10/06/09	11:02:11.0 	24.195
10/06/09	12:02:11.0 	11.200
10/06/09	13:02:11.0 	11.151
10/06/09	14:02:11.0 	6.611
10/06/09	15:02:11.0 	5.179
10/06/09	16:02:11.0 	5.179
10/06/09	17:02:11.0 	5.205
10/06/09	18:02:11.0 	5.179
10/06/09	19:02:11.0 	5.179
10/06/09	20:02:11.0 	5.179
10/06/09	21:02:11.0 	5.179
10/06/09	22:02:11.0 	5.205
10/06/09	23:02:11.0 	5.282
10/07/09	00:02:11.0 	5.282
10/07/09	01:02:11.0 	5.308
10/07/09	02:02:11.0 	5.205
10/07/09	03:02:11.0 	5.179
10/07/09	04:02:11.0 	5.179
10/07/09	05:02:11.0 	5.179
10/07/09	06:02:11.0 	5.179
10/07/09	07:02:11.0 	5.179
10/07/09	08:02:11.0 	5.179
10/07/09	09:02:11.0 	5.179
10/07/09	10:02:11.0 	6.458
10/07/09	11:02:11.0 	6.687
10/07/09	12:02:11.0 	6.813
10/07/09	13:02:11.0 	6.940
10/07/09	14:02:11.0 	7.041
10/07/09	15:02:11.0 	7.343
10/07/09	16:02:11.0 	7.795
10/07/09	17:02:11.0 	7.895
10/07/09	18:02:11.0 	7.720
10/07/09	19:02:11.0 	7.995
10/07/09	20:02:11.0 	8.095
10/07/09	21:02:11.0 	8.170
10/07/09	22:02:11.0 	8.095
10/07/09	23:02:11.0 	8.020
10/08/09	00:02:11.0 	8.070
10/08/09	01:02:11.0 	8.045
10/08/09	02:02:11.0 	7.820
10/08/09	03:02:11.0 	7.795
10/08/09	04:02:11.0 	7.845
10/08/09	05:02:11.0 	7.770
10/08/09	06:02:11.0 	7.820
10/08/09	07:02:11.0 	7.870
10/08/09	08:02:11.0 	7.745
10/08/09	09:02:11.0 	7.920
10/08/09	10:02:11.0 	7.970
10/08/09	11:02:11.0 	7.970
10/08/09	12:02:11.0 	8.369
10/08/09	13:02:11.0 	10.516
10/08/09	14:02:11.0 	9.410
10/08/09	15:02:11.0 	9.015
10/08/09	16:02:11.0 	8.519
10/08/09	17:02:11.0 	8.170
10/08/09	18:02:11.0 	7.770
10/08/09	19:02:11.0 	7.870
10/08/09	20:02:11.0 	7.645
10/08/09	21:02:11.0 	7.645
10/08/09	22:02:11.0 	7.645
10/08/09	23:02:11.0 	7.519
10/09/09	00:02:11.0 	7.519
10/09/09	01:02:11.0 	7.318
10/09/09	02:02:11.0 	7.494
10/09/09	03:02:11.0 	7.494
10/09/09	04:02:11.0 	7.619
10/09/09	05:02:11.0 	7.494
10/09/09	06:02:11.0 	7.444
10/09/09	07:02:11.0 	7.419
10/09/09	08:02:11.0 	7.544
10/09/09	09:02:11.0 	7.619
10/09/09	10:02:11.0 	8.568
10/09/09	11:02:11.0 	8.866
10/09/09	12:02:11.0 	9.756
10/09/09	13:02:11.0 	9.509
10/09/09	14:02:11.0 	9.583
10/09/09	15:02:11.0 	6.864
10/09/09	16:02:11.0 	6.839
10/09/09	17:02:11.0 	6.763
10/09/09	18:02:11.0 	6.990
10/09/09	19:02:11.0 	7.066
10/09/09	20:02:11.0 	6.914
10/09/09	21:02:11.0 	6.813
10/09/09	22:02:11.0 	6.763
10/09/09	23:02:11.0 	6.813
10/10/09	00:02:11.0 	6.737
10/10/09	01:02:11.0 	6.788
10/10/09	02:02:11.0 	6.737
10/10/09	03:02:11.0 	6.712
10/10/09	04:02:11.0 	6.712
10/10/09	05:02:11.0 	6.737
10/10/09	06:02:11.0 	6.788
10/10/09	07:02:11.0 	6.889
10/10/09	08:02:11.0 	6.813
10/10/09	09:02:11.0 	7.594
10/10/09	10:02:11.0 	7.619
10/10/09	11:02:11.0 	7.795
10/10/09	12:02:11.0 	7.995
10/10/09	13:02:11.0 	8.170
10/10/09	14:02:11.0 	7.970
10/10/09	15:02:11.0 	8.120
10/10/09	16:02:11.0 	8.891
10/10/09	17:02:11.0 	8.891
10/10/09	18:02:11.0 	8.543
10/10/09	19:02:11.0 	8.145
