"Plot Title: 14 "
"#"	"Time, GMT-08:00"	"Temp, °C()"	"Batt, V()"	"Coupler Detached()"	"Coupler Attached()"	"Host Connected()"	"Stopped()"	"End Of File()"
1	10/26/2009 08:08:04 AM	17.843	3.02					
2	10/26/2009 08:08:14 AM			Logged				
3	10/26/2009 09:08:04 AM	6.712	3.02					
4	10/26/2009 10:08:04 AM	6.889	3.02					
5	10/26/2009 11:08:04 AM	7.142	3.02					
6	10/26/2009 12:08:04 PM	7.695	3.02					
7	10/26/2009 01:08:04 PM	8.990	3.02					
8	10/26/2009 02:08:04 PM	8.568	3.02					
9	10/26/2009 03:08:04 PM	8.319	3.02					
10	10/26/2009 04:08:04 PM	7.318	3.02					
11	10/26/2009 05:08:04 PM	7.444	3.02					
12	10/26/2009 06:08:04 PM	7.242	3.02					
13	10/26/2009 07:08:04 PM	6.585	3.00					
14	10/26/2009 08:08:04 PM	6.408	3.00					
15	10/26/2009 09:08:04 PM	6.357	3.00					
16	10/26/2009 10:08:04 PM	6.255	3.00					
17	10/26/2009 11:08:04 PM	6.051	3.00					
18	10/27/2009 12:08:04 AM	5.898	3.00					
19	10/27/2009 01:08:04 AM	5.975	3.00					
20	10/27/2009 02:08:04 AM	5.796	3.00					
21	10/27/2009 03:08:04 AM	5.024	3.00					
22	10/27/2009 04:08:04 AM	4.947	2.98					
23	10/27/2009 05:08:04 AM	5.128	3.00					
24	10/27/2009 06:08:04 AM	5.693	3.00					
25	10/27/2009 07:08:04 AM	6.230	3.00					
26	10/27/2009 08:08:04 AM	5.719	3.00					
27	10/27/2009 09:08:04 AM	6.153	3.00					
28	10/27/2009 10:08:04 AM	5.693	3.00					
29	10/27/2009 11:08:04 AM	5.488	2.98					
30	10/27/2009 12:08:04 PM	5.898	3.00					
31	10/27/2009 01:08:04 PM	6.408	3.00					
32	10/27/2009 02:08:04 PM	6.864	3.00					
33	10/27/2009 03:08:04 PM	6.331	3.00					
34	10/27/2009 04:08:04 PM	6.509	3.00					
35	10/27/2009 05:08:04 PM	6.102	2.98					
36	10/27/2009 06:08:04 PM	5.437	2.98					
37	10/27/2009 07:08:04 PM	4.973	2.98					
38	10/27/2009 08:08:04 PM	4.921	2.98					
39	10/27/2009 09:08:04 PM	5.076	2.98					
40	10/27/2009 10:08:04 PM	5.154	2.98					
41	10/27/2009 11:08:04 PM	5.128	2.98					
42	10/28/2009 12:08:04 AM	4.714	3.00					
43	10/28/2009 01:08:04 AM	4.376	3.00					
44	10/28/2009 02:08:04 AM	4.532	3.00					
45	10/28/2009 03:08:04 AM	4.298	3.00					
46	10/28/2009 04:08:04 AM	4.220	3.00					
47	10/28/2009 05:08:04 AM	4.168	3.00					
48	10/28/2009 06:08:04 AM	4.298	3.00					
49	10/28/2009 07:08:04 AM	4.246	3.00					
50	10/28/2009 08:08:04 AM	3.722	2.98					
51	10/28/2009 09:08:04 AM	4.089	2.98					
52	10/28/2009 10:08:04 AM	4.428	2.98					
53	10/28/2009 11:08:04 AM	4.454	2.98					
54	10/28/2009 12:08:04 PM	4.766	3.00					
55	10/28/2009 01:08:04 PM	4.792	2.98					
56	10/28/2009 02:08:04 PM	4.999	2.98					
57	10/28/2009 03:08:04 PM	4.844	2.98					
58	10/28/2009 04:08:04 PM	4.921	2.98					
59	10/28/2009 05:08:04 PM	5.076	2.98					
60	10/28/2009 06:08:04 PM	4.662	2.98					
61	10/28/2009 07:08:04 PM	4.428	2.98					
62	10/28/2009 08:08:04 PM	5.128	2.98					
63	10/28/2009 09:08:04 PM	5.128	2.98					
64	10/28/2009 10:08:04 PM	5.205	2.98					
65	10/28/2009 11:08:04 PM	5.024	2.96					
66	10/29/2009 12:08:04 AM	5.205	2.96					
67	10/29/2009 01:08:04 AM	5.050	2.96					
68	10/29/2009 02:08:04 AM	4.636	2.98					
69	10/29/2009 03:08:04 AM	4.168	2.98					
70	10/29/2009 04:08:04 AM	3.985	2.98					
71	10/29/2009 05:08:04 AM	3.591	2.98					
72	10/29/2009 06:08:04 AM	2.956	2.98					
73	10/29/2009 07:08:04 AM	2.983	2.98					
74	10/29/2009 08:08:04 AM	3.089	2.98					
75	10/29/2009 09:08:04 AM	3.274	2.98					
76	10/29/2009 10:08:04 AM	3.670	2.98					
77	10/29/2009 11:08:04 AM	3.932	2.98					
78	10/29/2009 12:08:04 PM	4.636	2.98					
79	10/29/2009 01:08:04 PM	4.558	2.98					
80	10/29/2009 02:08:04 PM	4.089	2.98					
81	10/29/2009 03:08:04 PM	3.512	2.98					
82	10/29/2009 04:08:04 PM	3.512	2.98					
83	10/29/2009 05:08:04 PM	5.514	2.96					
84	10/29/2009 05:15:41 PM				Logged			
85	10/29/2009 05:15:42 PM					Logged		
86	10/29/2009 05:15:45 PM						Logged	Logged
